N	2gram	Propp_Russ_2	Istorich
1	т е	24	29
2	в лес	3	27
3	что он	1	24
4	в сказке	1	21
5	и т	5	19
6	т д	5	18
7	не только	10	18
8	может быть	13	17
9	и в	29	15
10	никогда не	2	15
11	в лесу	10	15
12	мы имеем	6	15
13	но и	8	14
14	так как	13	14
15	так же	4	13
16	а в	9	12
17	то что	5	12
18	что в	22	12
19	об этом	2	11
20	в этих	3	11
21	и не	1	11
22	в этом	11	11
23	что они	1	10
24	его в	8	10
25	то же	4	10
26	этих случаях	4	10
27	и здесь	1	9
28	еще не	6	9
29	в другом	1	9
30	все же	2	9
31	потому что	5	9
32	с тем	6	9
33	очень много	1	8
34	связи с	2	8
35	должны были	2	8
36	мы увидим	1	8
37	в сказках	1	8
38	один из	2	8
39	таким образом	6	7
40	не в	4	7
41	в обряде	6	7
42	и пр	2	7
43	вместе с	6	7
44	смерти и	2	7
45	ничего не	1	7
46	в нем	1	7
47	в царство	1	7
48	том что	22	7
49	видно что	2	6
50	мы здесь	2	6
51	что это	3	6
52	так что	4	6
53	в том	22	6
54	в его	1	6
55	только в	1	6
56	то это	1	6
57	царство мертвых	2	6
58	мы уже	1	6
59	что и	2	6
60	и что	5	6
61	но в	5	6
62	как бы	18	6
63	и наконец	1	5
64	не может	5	5
65	прежде всего	2	5
66	говорят что	1	5
67	к нему	4	5
68	а не	4	5
69	в одном	1	5
70	что она	3	5
71	этом случае	6	5
72	на него	1	5
73	представляет собой	2	5
74	с этим	2	5
75	можно найти	1	5
76	представления о	2	5
77	в котором	3	5
78	же как	4	5
79	она не	3	5
80	так и	1	5
81	и есть	1	5
82	что при	2	5
83	было бы	3	5
84	как в	7	5
85	можно было	2	5
86	но все	1	5
87	в русской	1	5
88	все эти	3	4
89	и с	10	4
90	для нас	6	4
91	таких случаев	1	4
92	вопрос о	4	4
93	но он	3	4
94	и др	1	4
95	в область	1	4
96	показывает что	8	4
97	что здесь	3	4
98	связь с	3	4
99	руки и	3	4
100	к этой	1	4
101	и другие	14	4
102	дело не	2	4
103	тем что	3	4
104	но они	1	4
105	или на	8	4
106	после этого	2	4
107	не будем	3	4
108	а потом	1	4
109	мы должны	1	4
