N	3gram	Savitsky_E_1	Istorich
1	и т д	1	18
2	с другой стороны	2	8
3	с одной стороны	8	7
4	в связи с	1	4
5	так же как	5	3
6	в нем и	1	3
7	для того чтобы	5	3
8	не может быть	2	3
9	друг с другом	3	2
10	мы видели что	1	2
11	это значит что	1	2
12	в том что	6	2
13	же как и	3	2
14	на то что	2	2
15	в некоторых случаях	1	2
16	не только в	4	2
17	в хозяйственной жизни	1	2
18	в данном случае	2	2
19	но и в	1	2
20	но так как	1	2
21	может быть речи	1	1
22	и тем самым	1	1
23	в то же	15	1
24	в том числе	1	1
25	этой точки зрения	5	1
26	мы увидим что	1	1
27	из того что	2	1
28	можно сказать что	3	1
29	уже и сейчас	1	1
30	но и для	1	1
31	всех этих случаях	1	1
32	по себе не	2	1
33	это может быть	1	1
34	как и его	1	1
35	есть ли это	1	1
36	в соответствии с	1	1
37	каждого из них	1	1
38	с тем что	1	1
39	и не только	1	1
40	в пределах одного	1	1
41	в то время	1	1
42	совершенно очевидно что	1	1
43	европа и азия	2	1
44	на земном шаре	2	1
45	что мы знаем	1	1
46	в том смысле	1	1
47	одной стороны и	6	1
48	то же время	14	1
49	как мы видели	2	1
50	во многих отношениях	1	1
51	в северной америке	2	1
52	только в виде	1	1
53	только в том	2	1
54	только тогда когда	1	1
55	в которых может	1	1
56	другой стороны в	1	1
57	том числе и	1	1
58	с точки зрения	16	1
59	то время как	1	1
60	в отличие от	1	1
61	само по себе	4	1
62	во всех этих	1	1
63	что наряду с	1	1
64	во всяком случае	3	1
65	в свою очередь	2	1
66	хотя бы в	2	1
67	с этой точки	5	1
68	можно утверждать что	1	1
