N	2gram	Voloshinov_1	VelikijI
1	и не	4	20
2	и в	16	16
3	так как	4	9
4	то что	3	9
5	еще не	5	8
6	что они	1	7
7	а не	1	7
8	и потому	3	7
9	человека и	1	6
10	не есть	2	6
11	но и	4	5
12	хотя и	1	5
13	в мире	1	5
14	все это	4	5
15	что есть	1	5
16	как бы	5	5
17	и есть	3	4
18	говорить о	2	4
19	в его	4	4
20	в этом	9	4
21	что он	2	4
22	в нем	4	4
23	так и	4	4
24	что не	2	4
25	как и	2	4
26	что мы	2	4
27	в ней	1	4
28	и все	4	4
29	все что	4	4
30	от этого	1	3
31	и что	1	3
32	хотя бы	4	3
33	как не	2	3
34	лишь в	1	3
35	в чем	5	3
36	с его	7	3
37	во всех	3	3
38	что и	2	3
39	в том	3	3
40	тот же	1	3
41	но в	4	3
42	все эти	5	3
43	и они	1	3
44	в конце	1	3
45	их в	3	3
46	в своей	2	3
47	и мы	2	3
48	в жизни	2	3
49	ни в	5	3
50	в них	2	3
51	в этих	3	3
52	нет ничего	1	3
53	что я	1	3
54	к чему	1	3
55	любовь к	1	3
56	этих трех	2	3
57	но это	2	3
58	не имеет	1	3
59	никогда не	2	3
60	и для	2	3
61	к тому	1	3
62	жизни и	3	3
63	что в	3	3
64	оно не	2	3
65	и это	6	2
66	нем нет	2	2
67	того чтобы	1	2
68	и то	1	2
69	но мы	4	2
70	это мы	1	2
71	и сам	1	2
72	можно было	1	2
73	его не	1	2
74	мы не	2	2
75	с ним	2	2
76	нет и	2	2
77	человека как	1	2
78	его к	1	2
79	только в	4	2
80	в себя	1	2
81	конечно не	6	2
82	уже не	1	2
83	не только	7	2
84	на этих	2	2
85	его и	1	2
86	для него	6	2
87	не будет	2	2
88	истории и	1	2
89	а с	1	2
90	прежде всего	9	2
91	для них	1	2
92	с тем	1	2
93	мы и	1	2
94	один из	2	2
95	для человека	1	2
96	не могут	2	2
97	что было	1	2
98	одна из	1	2
99	том что	3	2
100	для нас	2	2
101	и теперь	3	2
102	ее в	2	2
103	а в	3	2
104	но не	1	2
105	в духе	1	2
106	могут быть	3	2
107	во всяком	3	2
108	если б	3	1
109	как мы	4	1
110	бы сделать	1	1
111	быть может	2	1
112	в виду	1	1
113	свободно и	1	1
114	роль в	1	1
115	не имеют	1	1
116	если они	1	1
117	то же	2	1
118	и могут	1	1
119	ли это?	1	1
120	да мы	1	1
121	до времени	1	1
122	из всего	1	1
123	эти силы	1	1
124	это только	1	1
125	по сравнению	3	1
126	вопрос о	1	1
127	еще так	1	1
128	и вообще	2	1
129	находится в	2	1
130	я не	1	1
131	и начало	1	1
132	и ее	4	1
133	по смыслу	1	1
134	ли так	1	1
135	не был	1	1
136	же что	1	1
137	зависимости от	1	1
138	вражда к	1	1
139	теми которые	1	1
140	и на	4	1
141	он был	1	1
142	бы то	1	1
143	оно ни	1	1
144	отказ от	1	1
145	любви к	1	1
146	других людей	1	1
147	это желание	1	1
148	что оно	2	1
149	к нему	1	1
150	ко всякому	3	1
151	но как	2	1
152	человек был	1	1
153	менее всего	1	1
154	а потому	4	1
155	но нет	1	1
156	крайней мере	3	1
157	мире и	1	1
158	и можно	1	1
159	это самое	1	1
160	и мир	1	1
161	пути в	1	1
162	в лицах	1	1
163	все же	1	1
164	себя с	1	1
165	сделать это	2	1
166	мы видим	2	1
167	с ними	4	1
168	мы увидим	1	1
169	утверждают что	1	1
170	и так	2	1
171	в самом	2	1
172	что это	2	1
173	бы ни	1	1
174	современной культуры	1	1
175	теперь в	1	1
176	влечение к	1	1
177	в этой	4	1
178	же и	1	1
179	я в	1	1
180	уже в	1	1
181	жизнь как	1	1
182	в которую	1	1
183	то и	1	1
184	не преодолевается	1	1
185	только себя	1	1
186	не будут	1	1
187	искать в	1	1
188	не сумеет	1	1
189	и вот	3	1
190	вовсе не	1	1
191	отношение к	5	1
192	нашего времени	2	1
193	у него	2	1
194	не случайно	1	1
195	и по	2	1
196	на этом	3	1
197	человека в	1	1
198	для того	1	1
199	то ни	1	1
200	этом нет	1	1
201	в состоянии	1	1
202	их во	1	1
203	конечно в	1	1
204	и с	8	1
205	с другой	1	1
206	этом пути	1	1
207	и марксизм	1	1
208	и быть	1	1
209	весь мир	1	1
210	были в	1	1
211	в высшую	1	1
212	говорит о	1	1
213	них и	1	1
214	мы скажем	1	1
215	основной вопрос	1	1
216	власти и	1	1
217	не всегда	1	1
218	далее и	1	1
219	с которым	1	1
220	жизнь в	1	1
221	между собою	2	1
222	жизни но	1	1
223	их на	1	1
224	в одно	2	1
225	вместе с	3	1
226	так же	2	1
227	как это	3	1
228	является и	1	1
229	и столь	1	1
230	в человеке	1	1
231	у нас	1	1
232	сравнению с	3	1
233	ненависть к	2	1
234	и ведет	1	1
235	в одном	3	1
236	а потом	1	1
237	в мир	2	1
238	у самого	1	1
239	по крайней	3	1
240	скрыто в	1	1
241	есть еще	1	1
242	цель ее	1	1
243	этот мир	1	1
244	и всех	2	1
245	освободиться от	1	1
246	с этой	2	1
247	в атмосфере	1	1
248	можно ли	1	1
249	и внешней	1	1
250	так ли	1	1
251	есть прежде	1	1
252	к ним	2	1
253	на два	2	1
254	не существует	2	1
255	и всегда	1	1
256	мира и	3	1
257	которая в	1	1
258	ничего не	1	1
259	в разных	1	1
260	может быть	17	1
261	факт моего	1	1
262	пути и	1	1
263	в русском	1	1
264	во всем	1	1
265	в сознании	1	1
266	уже и	1	1
267	к ее	1	1
268	связь с	1	1
269	жизни в	1	1
270	что на	2	1
271	в образах	1	1
272	для нашего	1	1
273	есть и	2	1
274	есть то	1	1
275	к этому	2	1
276	ли они	1	1
277	всем мире	1	1
278	в своих	1	1
279	и эта	1	1
280	это в	1	1
281	но к	1	1
282	себя и	2	1
283	она не	1	1
284	они не	2	1
