N	4gram	Voloshinov_1	Problemy
1	и не может быть	1	5
2	в то же время	1	5
3	мы имеем в виду	1	3
4	до сих пор не	1	2
5	может быть более или	1	2
6	как мы уже сказали	1	2
7	но в то же	1	2
8	быть более или менее	1	2
9	дело в том что	4	1
10	по отношению к ним	1	1
11	на самом же деле	1	1
12	героя никогда не бывает	1	1
13	раз подчеркнуть что мы	1	1
14	в том что все	1	1
15	одно и то же	2	1
16	если бы не было	1	1
17	форма сама по себе	1	1
18	так как если бы	4	1
19	звучит так как если	1	1
20	с одной стороны и	2	1
21	что мы имеем в	1	1
22	в самом деле в	1	1
23	что до сих пор	1	1
24	одним и тем же	1	1
25	еще раз подчеркнуть что	1	1
26	как если бы оно	1	1
