N	2gram	Tiupa_Anal_3	Narrotol
1	не только	22	26
2	а не	9	17
3	представляет собой	5	16
4	тогда как	20	15
5	но и	13	15
6	при этом	11	14
7	в том	9	14
8	в качестве	12	14
9	и не	12	14
10	в этом	14	13
11	и в	18	13
12	том что	12	13
13	состоит в	4	12
14	такого рода	5	12
15	только в	2	11
16	в частности	12	11
17	может быть	9	10
18	в данном	4	10
19	своего рода	8	9
20	сводится к	2	9
21	так и	14	9
22	то есть	10	9
23	к тому	6	9
24	а в	10	9
25	в себе	2	8
26	то что	2	8
27	не в	6	8
28	коммуникативного события	11	8
29	в тексте	9	8
30	картина мира	4	8
31	не может	2	8
32	иначе говоря	2	7
33	к себе	1	7
34	не сводится	1	7
35	у него	1	6
36	в рамках	3	6
37	в своем	4	6
38	все же	4	6
39	и к	4	6
40	но в	2	6
41	всего лишь	8	6
42	в жизни	2	6
43	никогда не	5	6
44	ничего не	3	6
45	данном случае	3	6
46	коммуникативное событие	1	6
47	и т.п	5	6
48	можно сказать	4	6
49	а также	2	6
50	в его	7	6
51	вслед за	1	6
52	того что	1	6
53	со стороны	9	6
54	прежде всего	5	6
55	как бы	10	6
56	жизни в	1	6
57	героя в	1	6
58	я не	1	5
59	ответ на	3	5
60	отличие от	2	5
61	что он	4	5
62	как в	3	5
63	хотя и	2	5
64	в нем	2	5
65	тем не	2	5
66	он не	6	5
67	таким образом	4	5
68	по мысли	1	5
69	далеко не	4	5
70	точки зрения	3	5
71	место в	1	5
72	не столько	3	5
73	человеческого я	2	5
74	тем самым	4	5
75	в то	3	5
76	на него	1	5
77	о том	6	5
78	в форме	2	5
79	с одной	2	5
80	по отношению	7	5
81	с другой	7	5
82	одной стороны	2	5
83	себе самому	2	5
84	в той	2	5
85	картиной мира	1	5
86	в отличие	2	5
87	я в	5	5
88	отношению к	7	5
89	то же	3	4
90	в ее	3	4
91	в этой	6	4
92	отнюдь не	4	4
93	перед нами	4	4
94	тому же	3	4
95	в силу	1	4
96	уже не	5	4
97	в мире	5	4
98	об этом	2	4
99	в глазах	2	4
100	все его	1	4
101	в своей	1	4
102	в конце	5	4
103	не менее	4	4
104	при всей	1	4
105	в себя	2	4
106	если бы	1	4
107	как у	1	4
108	и т.д	2	4
109	в другом	1	4
110	истории в	1	4
111	уже говорилось	2	4
112	для него	6	4
113	следует признать	3	4
114	как и	14	4
115	как это	3	4
116	в литературе	1	4
117	не является	5	4
118	и все	2	4
119	с ним	1	4
120	же в	2	4
121	и у	1	4
122	жизни и	1	4
123	что в	9	4
124	все что	1	4
125	поскольку не	1	3
126	субъекта самоопределения	1	3
127	для себя	1	3
128	самом деле	2	3
129	говорилось выше	1	3
130	едва ли	3	3
131	мы имеем	5	3
