N	3gram	Nazirov_Tr_1	Problema
1	о том что	2	14
2	тем не менее	1	12
3	во всяком случае	1	10
4	в конце концов	1	7
5	и то что	1	7
6	в этом случае	1	7
7	в данном случае	2	5
8	в связи с	1	5
9	в то же	5	4
10	в том что	2	4
11	хотя бы и	1	3
12	точно так же	2	3
13	и в частности	2	3
14	и в этом	1	3
15	не может быть	1	3
16	самостоятельное значение и	1	2
17	в самом деле	1	2
18	с самого начала	1	2
19	но уже не	1	2
20	это и есть	1	2
21	не только не	1	2
22	мысль о том	1	2
23	несмотря на всю	1	2
24	для чего же	1	1
25	предстает перед нами	1	1
26	конце концов сам	1	1
27	это очень важный	1	1
28	в и ленина	1	1
29	и не может	1	1
30	что он вообще	1	1
31	связаны между собой	1	1
32	что все это	1	1
33	ничего не значит	1	1
34	в известной мере	1	1
35	это может быть	1	1
36	он перестает быть	1	1
37	в общем смысле	1	1
38	обстоит дело с	1	1
39	самое большее что	1	1
40	она все же	1	1
41	мы отнюдь не	1	1
42	это должно быть	1	1
43	так и в	3	1
44	но все же	2	1
45	мы бы сказали	1	1
46	по нашему мнению	1	1
47	в какой-то мере	1	1
48	то и дело	1	1
