N	3gram	Savitsky_E_1	Stilisti
1	в то же	15	9
2	то же время	14	7
3	для того чтобы	5	7
4	с точки зрения	16	5
5	того или иного	4	5
6	прежде всего в	2	4
7	ту или иную	3	4
8	в свою очередь	2	4
9	той или иной	4	4
10	но и в	1	3
11	заключает в себе	3	3
12	то или иное	1	3
13	не только в	4	3
14	и тем самым	1	3
15	как мы видели	2	3
16	или хотя бы	2	2
17	тех случаях когда	1	2
18	и не только	1	2
19	и в то	8	2
20	в этом отношении	3	2
21	и для того	1	2
22	в значительной степени	1	2
23	но в то	2	2
24	смысле этого слова	1	2
25	чуть ли не	1	2
26	не может быть	2	2
27	в тех случаях	1	2
28	связи с этим	1	2
29	только в области	1	2
30	можно сказать что	3	2
31	в связи с	1	2
32	к тому что	1	2
33	тех или иных	1	2
34	мы видели что	1	2
35	и того же	1	1
36	нужно помнить что	1	1
37	по себе не	2	1
38	хотя бы только	1	1
39	более или менее	1	1
40	не говоря уже	2	1
41	говоря уже об	1	1
42	и в отношении	1	1
43	не является ли	3	1
44	то есть к	1	1
45	гораздо большей степени	1	1
46	в нем и	1	1
47	того в какой	1	1
48	и та же	1	1
49	котором мы говорили	1	1
50	и в мире	1	1
51	от того в	1	1
52	независимо от того	1	1
53	можно было бы	3	1
54	на этот вопрос	1	1
55	в своем развитии	1	1
56	говорить не о	1	1
57	хотя бы и	3	1
58	в большинстве случаев	2	1
59	тому или иному	2	1
60	в качестве примера	1	1
61	и в этом	4	1
62	и не было	1	1
63	по сравнению с	2	1
64	по большей части	1	1
65	ни на минуту	1	1
66	представить себе в	1	1
67	в качестве одного	1	1
68	одна и та	1	1
69	но не только	2	1
70	о котором мы	1	1
71	в определенный момент	1	1
72	мы не можем	1	1
73	не только ее	1	1
74	не может не	1	1
75	само по себе	4	1
76	между тем в	3	1
77	хотя бы в	2	1
78	на то или	1	1
79	и тем более	1	1
80	только тогда когда	1	1
81	с другой стороны	2	1
82	только в том	2	1
83	одного и того	1	1
84	и ту же	1	1
85	в гораздо большей	1	1
86	с течением времени	2	1
87	та или иная	1	1
88	не будет уже	1	1
89	одну и ту	1	1
90	в том что	6	1
91	именно потому что	1	1
92	мы увидим что	1	1
93	в пределах одного	1	1
