1	не что иное как	4	7
2	д и т д	4	5
3	и т д и	4	5
4	т д и т	4	5
5	есть не что иное	4	5
6	одно и то же	3	4
7	бы то ни было	3	4
8	то это значит что	2	2
9	дело в том что	2	2
10	то время как другие	1	1
11	то же самое время	4	1
12	и как бы ни	1	1
13	с этой точки зрения	1	1
14	уж во всяком случае	3	1
15	когда мы говорим что	1	1
16	еще и потому что	1	1
17	и тем не менее	3	1
18	тут все дело заключается	1	1
19	когда имеется в виду	1	1
20	тут не может быть	1	1
21	но если это так	1	1
22	если это так то	1	1
23	что они состоят из	1	1
24	заключается в том что	2	1
25	можно только то что	1	1
26	т д все это	1	1
27	и то и другое	1	1
28	вовсе не есть только	1	1
29	в то же самое	4	1
30	одного и того же	1	1
31	на самом же деле	4	1
32	до сих пор мы	1	1
33	как и во всяком	1	1
34	сама по себе а	2	1
35	мы еще не знали	1	1
36	и т д все	1	1
37	ничего общего ни с	1	1
38	это и значит что	1	1
39	взятый сам по себе	2	1
40	также и то что	4	1
41	самой по себе без	1	1
42	это не значит что	1	1
43	не только то что	1	1
44	в том смысле что	3	1
45	в то время как	4	1
46	ни с чем не	1	1
47	по крайней мере в	1	1
