N	2gram	Medvedev_I_1	Problema
1	и не	2	37
2	и в	1	35
3	в этом	2	17
4	того что	1	12
5	что в	2	11
6	говорить о	1	10
7	ничего не	2	10
8	и с	3	10
9	есть только	1	8
10	все эти	1	7
11	так и	1	7
12	с другой	1	6
13	и без	1	5
14	же это	1	5
15	другой стороны	1	5
16	что при	1	4
17	и о	1	4
18	если бы	1	4
19	то и	1	4
20	тем что	1	4
21	все это	1	4
22	а в	1	4
23	в целом	1	3
24	и тот	1	3
25	введение в	1	3
26	как о	1	3
27	в основе	1	3
28	как только	1	3
29	значительной мере	1	3
30	в значительной	1	3
31	для того	1	3
32	что для	1	3
33	бы в	1	3
34	и ничего	1	2
35	бы что	2	2
36	нам в	1	2
37	он не	2	2
38	в них	1	2
39	того чтобы	1	2
40	и сам	1	2
41	при такой	1	2
42	а также	1	2
43	это было	1	2
44	многое другое	1	2
45	не так	1	2
46	и др	1	2
47	самого себя	2	2
48	по поводу	1	2
49	бы его	1	2
50	стали бы	1	1
51	я не	1	1
52	и и	1	1
53	и еще	1	1
54	а для	1	1
55	оба они	2	1
56	и очень	1	1
57	никогда не	1	1
58	от нее	1	1
59	то она	1	1
60	к нам	1	1
61	во многом	1	1
62	и та	1	1
63	и многое	1	1
64	стр а	3	1
65	без этого	1	1
66	и со	1	1
67	бы все	1	1
68	а с	1	1
69	от этого	1	1
70	а если	1	1
71	другое дело	1	1
72	но когда	1	1
