N	3gram	Tiupa_Anal_3	SlovoVZh
1	по отношению к	7	11
2	не может быть	1	7
3	можно сказать что	2	5
4	дело в том	2	4
5	как если бы	1	4
6	в том что	7	4
7	тем не менее	2	3
8	до сих пор	1	3
9	на самом деле	1	2
10	с другой стороны	5	2
11	с точки зрения	2	2
12	в зависимости от	1	2
13	до известной степени	3	2
14	с этой стороны	1	2
15	в данном случае	3	2
16	с одной стороны	2	2
17	один и тот	1	1
18	а между тем	1	1
19	имеем дело с	1	1
20	мы имеем дело	4	1
21	уже не может	1	1
22	можно с уверенностью	1	1
23	во всяком случае	2	1
24	не должно быть	1	1
25	они как бы	1	1
26	в самом деле	1	1
27	в этом смысле	1	1
28	между тем как	1	1
29	герой нашего времени	1	1
30	сам по себе	1	1
31	как это бывает	1	1
32	в свою очередь	4	1
33	о том что	5	1
34	в этом отношении	3	1
35	в конечном счете	2	1
36	и прежде всего	2	1
37	внутренней и внешней	1	1
38	в большинстве своем	1	1
39	то же время	3	1
40	подобно тому как	2	1
41	между тем это	1	1
42	в русской литературе	3	1
43	и здесь мы	1	1
44	в основе своей	1	1
45	мы обратимся к	1	1
46	со всех сторон	1	1
47	по крайней мере	4	1
48	в то же	3	1
49	случае мы имеем	1	1
50	отнюдь не является	1	1
51	в значительной степени	2	1
52	сама по себе	2	1
53	этих моментов в	1	1
54	на передний план	1	1
55	автору и его	1	1
56	как и в	4	1
57	далеко не всегда	1	1
58	позицию по отношению	1	1
59	к тому же	3	1
60	и тот же	1	1
