1	и т д все	2	3
2	и тем не менее	3	2
3	дело в том что	2	2
4	бы то ни было	1	2
5	то же самое что	1	2
6	на этот вопрос мы	1	2
7	быта и т д	2	1
8	есть не что иное	2	1
9	в соответствии с этим	1	1
10	и в этом смысле	1	1
11	какой бы то ни	1	1
12	ответ на этот вопрос	2	1
13	в большей или меньшей	1	1
14	и т д а	2	1
15	не говоря уже о	1	1
16	т д все это	1	1
17	большей или меньшей степенью	1	1
18	т д все эти	1	1
19	и т д мы	1	1
20	не что иное как	4	1
21	в том отношении что	3	1
22	говоря уже о том	1	1
23	с одной стороны и	3	1
24	с другой стороны как	1	1
25	уже о том что	1	1
