N	2gram	Bakhtin_Pr_1	ViktorSh
1	и в	38	2
2	том что	3	2
3	в том	8	2
4	и только	4	1
5	ни к	2	1
6	в другом	2	1
7	хотя бы	4	1
8	и не	42	1
9	все время	1	1
10	и его	16	1
11	я не	2	1
12	впрочем не	1	1
13	поэтического творчества	1	1
14	самом деле	6	1
15	к созданию	1	1
16	все это	3	1
17	по поводу	2	1
18	именно в	1	1
19	чего не	1	1
20	в их	10	1
21	дело в	2	1
22	в частности	2	1
23	все то	3	1
24	столь же	2	1
25	время в	1	1
26	в которых	1	1
27	в значительной	2	1
28	в самом	7	1
29	для них	1	1
30	дело именно	1	1
31	только в	13	1
32	то же	5	1
33	говорится в	1	1
34	ясно что	3	1
35	их границах	1	1
36	далеко не	5	1
37	бы уже	1	1
38	к чему	2	1
39	не будем	3	1
40	но это	3	1
41	что язык	1	1
42	в этом	15	1
43	одном и	1	1
44	да и	3	1
45	имеется в	1	1
46	а только	2	1
47	для формализма	1	1
48	по существу	2	1
49	к этому	2	1
50	значительной степени	1	1
51	том же	2	1
