N	2gram	Tiupa_Anal_1	Tragedij
1	и в	18	18
2	в романе	1	10
3	в году	1	9
4	в этом	13	9
5	не только	15	8
6	он сам	1	7
7	и с	2	7
8	и на	5	7
9	может быть	29	7
10	как бы	5	7
11	и не	21	7
12	ивана петровича	1	6
13	но в	8	6
14	и его	5	6
15	же время	6	6
16	что он	3	6
17	у него	1	6
18	то же	9	5
19	все же	4	5
20	что это	1	5
21	это не	6	5
22	как и	13	5
23	несмотря на	2	5
24	в то	9	5
25	так и	4	5
26	не может	22	5
27	а я	1	5
28	он всегда	1	4
29	я не	1	4
30	еще не	3	4
31	в себе	11	4
32	в целом	5	4
33	что достоевский	1	4
34	в этой	5	4
35	в нем	3	4
36	том что	12	4
37	и что	1	4
38	но и	17	4
39	и даже	1	4
40	прежде всего	6	4
41	но это	1	4
42	что в	5	4
43	и все	3	4
44	то что	6	4
45	в мире	8	3
46	своего рода	3	3
47	эпизод с	1	3
48	отнюдь не	15	3
49	как в	1	3
50	и как	5	3
51	все эти	2	3
52	при этом	12	3
53	то есть	11	3
54	должно быть	2	3
55	тем самым	7	3
56	о чем	1	3
57	и сам	2	3
58	с ним	4	3
59	к нему	3	3
60	в его	13	3
61	один из	2	3
62	для него	2	3
63	никто не	3	3
64	как будто	3	3
65	один в	2	3
66	как это	1	3
67	в первом	2	2
68	и до	2	2
69	а как	2	2
70	никогда не	2	2
71	и то	2	2
72	он был	1	2
73	столь же	4	2
74	с его	3	2
75	отношение к	2	2
76	отличие от	6	2
77	тут же	1	2
78	не просто	2	2
79	так что	1	2
80	как говорит	2	2
81	о жизни	1	2
82	перед нами	1	2
83	я к	1	2
84	в самом	6	2
85	то и	1	2
86	он не	3	2
87	но все	1	2
88	что все	1	2
89	его в	1	2
90	я все	1	2
91	ни в	4	2
92	с тем	1	2
93	в ходе	3	2
94	в отличие	6	2
95	что говорит	1	2
96	вопрос о	2	2
97	одном из	1	2
98	не в	14	2
99	раз и	1	2
100	одна из	1	2
101	не могут	3	2
102	он и	1	2
103	к тому	7	2
104	но при	1	2
105	в ее	1	2
106	данном случае	2	2
107	еще в	2	2
108	ничего не	1	2
109	о том	5	2
110	теперь и	1	2
111	времени в	1	2
112	что и	3	2
113	в том	27	2
114	даже если	1	2
115	который в	2	2
116	и ее	1	2
117	уже не	4	2
118	в виде	1	2
119	в душе	1	2
120	не так	1	2
121	в одном	1	2
122	друг друга	1	2
123	не случайно	3	2
124	говорит о	1	2
125	в рассказе	1	2
126	для искусства	1	2
127	в данном	2	2
128	о его	1	2
129	она должна	1	2
130	еще раз	1	2
131	потому что	2	2
132	личности и	1	2
133	в частности	19	2
134	по поводу	1	2
135	в таком	3	2
136	я и	6	1
137	и т	3	1
138	одним из	3	1
139	например в	1	1
140	человека и	1	1
141	это сюжетное	1	1
142	сам по	1	1
143	он показывает	1	1
144	и др	1	1
145	самом деле	2	1
146	и есть	3	1
147	смысл этого	1	1
148	его сюжетной	1	1
149	сам автор	1	1
150	в какой-то	1	1
151	должна быть	1	1
152	той же	2	1
153	для достижения	1	1
154	которую я	1	1
155	не вполне	1	1
156	на себя	2	1
157	событий и	1	1
158	в виду	1	1
159	не способен	1	1
160	в ней	1	1
161	и ждет	1	1
162	литературы и	1	1
163	представляет собой	16	1
164	между собой	2	1
165	быть в	1	1
166	и служит	1	1
167	в чем	1	1
168	сюжетные линии	1	1
169	во всех	1	1
170	встречи со	1	1
171	но не	10	1
172	но как	1	1
