N	3gram	Tiupa_Lite_1	DiskursI
1	в отличие от	5	12
2	в данном случае	4	6
3	в том что	11	6
4	то же время	5	5
5	по отношению к	2	4
6	в этом отношении	2	4
7	в то же	5	4
8	с одной стороны	2	4
9	не может быть	1	3
10	о том что	2	3
11	и того же	1	2
12	состоит в том	5	2
13	как и всякое	1	2
14	подобно тому как	2	2
15	в соответствии с	1	2
16	с точки зрения	2	2
17	в наше время	1	2
18	ивана петровича белкина	1	2
19	и то что	2	2
20	в повестях белкина	2	2
21	на мой взгляд	1	2
22	и мн др	1	2
23	не сводится к	3	2
24	но при этом	2	2
25	несет в себе	2	2
26	дело в том	2	2
27	на первый взгляд	1	2
28	я в мире	2	2
29	это еще не	1	2
30	и прежде всего	3	2
31	одного и того	1	2
32	в творчестве чехова	1	2
33	по большей части	1	2
34	при этом в	3	2
35	в русской литературе	3	2
36	в другом месте	1	1
37	лирический герой тютчева	2	1
38	но и от	1	1
39	не в состоянии	1	1
40	присутствия я в	1	1
41	но в большинстве	1	1
42	к себе самому	1	1
43	мы имеем дело	1	1
44	прежде всего в	3	1
45	в самом деле	1	1
46	в качестве своего	1	1
47	с другой стороны	1	1
48	такова же и	1	1
49	бы то ни	1	1
50	от всего божьего	1	1
51	только то что	1	1
52	по аналогии с	3	1
53	при этом не	1	1
54	в своих истоках	1	1
55	в той мере	1	1
56	а с другой	1	1
57	в этом качестве	1	1
58	субъекта объекта и	1	1
59	покойного ивана петровича	1	1
60	не приводит к	1	1
61	и в частности	1	1
62	в это время	1	1
63	в значительной степени	1	1
64	в романтическую эпоху	1	1
65	в рамках которого	1	1
66	человеческого я в	1	1
67	всего божьего света	1	1
68	внешнее и внутреннее	1	1
69	пределах одной фразы	1	1
70	например в стихотворении	1	1
71	то ни было	1	1
72	жизни но и	1	1
73	говоря уже о	1	1
74	а также и	1	1
75	в области художественного	1	1
76	не столько в	1	1
77	в равной степени	1	1
78	области художественного письма	1	1
79	а не как	1	1
80	я и ты	1	1
81	переходного обряда инициации	1	1
82	тогда как новый	1	1
83	во всяком случае	2	1
84	объекта и адресата	2	1
85	решающую роль в	1	1
86	только в качестве	1	1
87	оказывается своего рода	1	1
88	между тем как	1	1
89	между я и	2	1
90	не идет о	1	1
91	во внешнем мире	1	1
92	с самого начала	1	1
93	в пределах одной	1	1
94	в себя и	1	1
95	в конечном счете	4	1
96	что ведет к	1	1
97	всего в том	1	1
98	речь не идет	1	1
99	но не менее	1	1
100	столкновения и взаимодействия	1	1
101	в полной мере	1	1
102	в большинстве случаев	1	1
103	в том числе	1	1
104	в силу своей	3	1
105	тем не менее	2	1
106	может позволить себе	1	1
107	тех же ситуаций	1	1
108	здесь как и	1	1
109	по крайней мере	1	1
110	не только от	1	1
111	не говоря уже	2	1
