N	2gram	Nazirov_Vr_1	NovoeSre
1	и в	8	16
2	не может	2	16
3	совсем не	1	12
4	и не	5	11
5	и есть	1	10
6	что в	7	9
7	в том	3	8
8	жизни и	1	8
9	он не	3	8
10	в этом	8	7
11	может быть	4	7
12	не будет	1	7
13	как и	6	7
14	высшей степени	1	6
15	с его	3	6
16	в высшей	1	6
17	никогда не	2	6
18	но это	2	6
19	с ее	1	5
20	в ней	4	5
21	не только	9	5
22	в жизни	1	5
23	все это	4	5
24	в нем	6	5
25	быть может	1	4
26	о том	4	4
27	в них	2	4
28	то что	7	4
29	это не	4	4
30	прежде всего	1	4
31	не было	5	4
32	по своему	1	4
33	истории к	1	4
34	не менее	2	4
35	не имеет	1	4
36	и все	7	4
37	потому что	1	4
38	с другой	1	3
39	в ее	1	3
40	человека и	1	3
41	еще не	2	3
42	во всех	1	3
43	в истории	4	3
44	наряду с	3	3
45	как в	1	3
46	к ним	2	3
47	в мире	2	3
48	но и	7	3
49	это было	1	3
50	не есть	1	3
51	в своей	2	3
52	в россии	5	3
53	к реальному	1	3
54	в духе	1	3
55	которых не	1	2
56	и это	2	2
57	же как	2	2
58	это и	1	2
59	роль в	1	2
60	так и	1	2
61	и с	6	2
62	еще до	1	2
63	я не	3	2
64	и что	8	2
65	но не	1	2
66	с этим	1	2
67	хотя и	1	2
68	не хотят	1	2
69	но в	6	2
70	себя в	1	2
71	в себе	2	2
72	уже не	2	2
73	не могла	1	2
74	нашего времени	2	2
75	у него	5	2
76	в одну	2	2
77	и даже	6	2
78	и т.п	2	2
79	этом смысле	1	2
80	права на	2	2
81	но я	1	2
82	том что	3	2
83	вместе с	2	2
84	так же	4	2
85	место в	2	2
86	не знал	1	2
87	другой стороны	1	2
88	не могли	1	2
89	возвращается к	1	2
90	такой же	1	2
91	но для	1	2
92	равно как	1	2
93	в то	5	2
94	одна из	2	2
95	в мировой	1	2
96	и от	1	2
97	приближаемся к	1	2
98	а в	2	2
99	и начинается	1	2
100	ли это	1	2
101	могут быть	1	2
102	сама жизнь	1	2
103	от этой	1	1
104	также что	1	1
105	что образ	1	1
106	не имел	1	1
107	тут нет	1	1
108	россию и	1	1
109	россии в	2	1
110	по преимуществу	1	1
111	может идти	1	1
112	и этот	1	1
113	стремится быть	1	1
114	на нее	1	1
115	не с	1	1
116	во многом	4	1
117	все свои	1	1
118	еще в	1	1
119	просвещение и	1	1
120	на место	2	1
121	мы приближаемся	1	1
122	с ним	4	1
123	говорить о	1	1
124	не был	1	1
125	разобраться в	1	1
126	в виду	4	1
127	это время	1	1
128	в недрах	1	1
129	на них	1	1
130	и русской	1	1
131	в чем	3	1
132	это была	1	1
133	и во	3	1
134	все в	1	1
135	партии и	1	1
136	своего рода	1	1
137	вели к	1	1
138	к нему	1	1
139	то он	1	1
140	вопросу о	1	1
141	в его	3	1
142	в эти	2	1
143	есть по	1	1
144	я думаю	1	1
145	не хотел	1	1
146	николая i	1	1
147	к которому	1	1
148	в своем	3	1
149	известном смысле	1	1
150	человека в	3	1
151	что он	4	1
152	во всем	1	1
153	по своей	1	1
154	в этот	3	1
155	в самом	1	1
156	не хочет	1	1
157	то время	1	1
158	в известном	2	1
159	для всех	1	1
160	истории человечества	1	1
161	и у	3	1
162	уже в	4	1
163	из них	2	1
164	к своим	1	1
165	одному из	1	1
166	и их	1	1
167	всяком случае	1	1
168	по всем	1	1
169	в конце	3	1
170	но ведь	1	1
171	друг друга	1	1
172	людей и	1	1
173	тем что	3	1
174	от того	1	1
175	перед ними	1	1
176	это конечно	1	1
177	этом он	1	1
178	не должна	1	1
179	в глубине	1	1
180	из всех	1	1
181	и из	1	1
182	в будущее	1	1
183	был в	1	1
184	было бы	1	1
185	а это	1	1
186	труд и	1	1
187	они не	1	1
188	в этой	2	1
189	этого не	1	1
190	всю жизнь	1	1
191	не всегда	1	1
192	ближе к	1	1
193	он и	1	1
194	одного и	1	1
195	во франции	1	1
196	себя на	1	1
197	в эту	2	1
198	в этих	1	1
199	во время	2	1
200	уже давно	1	1
201	отцы и	2	1
202	с идеями	1	1
203	и а	2	1
204	на это	2	1
205	к себе	2	1
206	в котором	6	1
207	одну из	1	1
208	в силу	1	1
209	войне и	1	1
210	но он	3	1
211	есть еще	1	1
212	их в	2	1
213	что этот	1	1
214	времени а	1	1
215	сам этот	1	1
216	в это	2	1
217	в той	2	1
218	сих пор	1	1
219	оба они	1	1
220	привела к	1	1
221	человечества и	1	1
222	мире а	1	1
223	к вопросу	1	1
224	до сих	1	1
225	из их	1	1
226	чтобы разобраться	1	1
227	мыслей и	1	1
228	русский народ	1	1
229	к этой	1	1
230	более всего	1	1
231	и его	3	1
232	а также	2	1
233	давно уже	3	1
234	гораздо больше	1	1
235	нет ничего	1	1
236	в период	2	1
237	в каком	1	1
238	ему не	1	1
239	в свою	2	1
240	франции не	1	1
241	лежал в	1	1
242	россия в	1	1
243	того же	1	1
244	в речах	1	1
245	во все	1	1
246	ли он	1	1
247	эти слова	3	1
248	во всяком	1	1
249	который не	1	1
250	как на	1	1
251	все что	1	1
252	он часто	1	1
