N	2gram	Voloshinov_1	Sotsiolo
1	все это	5	7
2	в том	4	5
3	в этом	13	5
4	и только	4	3
5	как же	1	3
6	не только	5	3
7	и в	15	3
8	не в	4	3
9	в его	9	3
10	за пределы	2	2
11	но и	4	2
12	было бы	6	2
13	к которому	1	2
14	в смысле	1	2
15	должна быть	1	2
16	только в	6	2
17	далеко не	4	2
18	тем более	1	2
19	том что	5	2
20	как будто	1	2
21	идей и	1	2
22	то что	10	2
23	главным образом	4	2
24	и что	3	2
25	еще не	7	2
26	только как	1	2
27	таким образом	21	2
28	это и	1	2
29	им не	1	2
30	отношению к	9	2
31	что в	6	2
32	может быть	13	2
33	как бы	11	2
34	по отношению	11	2
35	по существу	1	2
36	то же	7	2
37	крайней мере	1	1
38	в свои	1	1
39	тотчас же	1	1
40	что все	5	1
41	я и	6	1
42	стиля как	1	1
43	быть не	1	1
44	нашей работы	1	1
45	наконец в	1	1
46	по себе	2	1
47	даже в	1	1
48	в мире	1	1
49	эти вопросы	1	1
50	в этой	5	1
51	тому что	3	1
52	отнюдь не	2	1
53	полемизируя с	1	1
54	и должны	3	1
55	выходит за	1	1
56	даже не	1	1
57	этой области	3	1
58	на все	2	1
59	этот основной	2	1
60	с другой	1	1
61	ни одно	1	1
62	его в	8	1
63	дает нам	2	1
64	ровно ничего	1	1
65	с ним	12	1
66	это не	2	1
67	науки о	1	1
68	на этот	1	1
69	именно в	3	1
70	в чем	4	1
71	все же	5	1
72	один из	4	1
73	и есть	2	1
74	перед нами	1	1
75	психологии и	2	1
76	в то	6	1
77	что таким	1	1
78	тем же	1	1
79	это дает	1	1
80	и наконец	10	1
81	только то	3	1
82	а с	1	1
83	тем что	1	1
84	в наше	1	1
85	и как	1	1
86	бы видеть	1	1
87	в процессе	4	1
88	на ней	1	1
89	что он	8	1
90	прежде всего	11	1
91	бы он	3	1
92	так и	10	1
93	не было	4	1
94	одной стороны	1	1
95	те же	4	1
96	и не	16	1
97	это вовсе	1	1
98	полагает что	1	1
99	на тех	1	1
100	никогда не	7	1
101	различает два	1	1
102	на основании	2	1
103	наше время	1	1
104	зависит от	1	1
105	он по	1	1
106	мы не	4	1
107	это как	3	1
108	со своими	1	1
109	же время	5	1
110	ничего не	2	1
111	переходим к	1	1
112	как то	1	1
113	между собою	1	1
114	мы еще	1	1
115	и ценное	1	1
116	развития и	1	1
117	и о	3	1
118	все эти	9	1
119	по широте	1	1
120	же законы	1	1
121	именно на	1	1
122	как и	6	1
123	между собой	4	1
124	бы в	2	1
125	с помощью	9	1
126	для этого	4	1
127	в настоящее	1	1
128	мы должны	7	1
129	в таких	3	1
130	благодаря тому	2	1
131	образом в	1	1
132	конечно не	3	1
133	часть нашей	1	1
134	на первый	1	1
135	и его	15	1
136	в этих	2	1
137	связи с	1	1
138	или не	1	1
139	хотя бы	7	1
140	отвечает требованиям	1	1
141	в целом	2	1
142	не может	13	1
143	в своей	9	1
144	а в	6	1
145	как совокупность	1	1
146	благодаря этому	1	1
147	него и	1	1
148	что она	2	1
149	о том	1	1
150	изучать в	1	1
151	не дает	1	1
152	именно и	3	1
153	в области	3	1
154	и потому	8	1
155	же это	1	1
156	настоящее время	1	1
157	он ни	1	1
158	в него	2	1
159	но именно	1	1
160	в котором	1	1
161	между ними	2	1
162	из тех	1	1
163	конечно только	1	1
164	единства и	1	1
165	все то	2	1
166	перенес в	1	1
167	время в	2	1
168	всяком случае	3	1
169	когда мы	1	1
170	ни на	2	1
171	наука о	2	1
172	в конечном	1	1
173	не без	3	1
174	что это	3	1
175	вовсе не	2	1
176	с одной	1	1
177	а между	1	1
178	в заключение	3	1
179	есть совокупность	2	1
180	но не	5	1
181	у него	3	1
182	в систему	2	1
183	в данном	3	1
184	между тем	2	1
185	но как	1	1
186	и по	5	1
187	и им	1	1
188	что на	1	1
189	конечном счете	1	1
190	по крайней	1	1
191	бы о	1	1
192	во всяком	4	1
193	перейти к	1	1
194	они не	2	1
