N	2gram	Propp_Isto_1	ViktorSh
1	в книге	3	3
2	и в	28	2
3	том что	7	2
4	в том	9	2
5	в конце	1	2
6	и только	2	1
7	все дело	1	1
8	ни к	2	1
9	в другом	3	1
10	хотя бы	4	1
11	и не	9	1
12	связаны и	1	1
13	и его	3	1
14	потому что	4	1
15	я не	3	1
16	даже не	2	1
17	сводится к	1	1
18	и то	1	1
19	а отсюда	1	1
20	степени уже	1	1
21	другом месте	1	1
22	все это	4	1
23	совершенно ясно	1	1
24	от других	1	1
25	именно в	3	1
26	главным образом	1	1
27	в их	3	1
28	то чего	1	1
29	дело в	3	1
30	с большой	1	1
31	в частности	2	1
32	так в	4	1
33	стоит на	2	1
34	столь же	2	1
35	время в	1	1
36	в которых	1	1
37	в значительной	1	1
38	не играет	1	1
39	только в	11	1
40	то же	12	1
41	других и	1	1
42	ясно что	2	1
43	охотой и	1	1
44	так как	6	1
45	к чему	3	1
46	не будем	5	1
47	но это	4	1
48	в этом	8	1
49	находится под	1	1
50	да и	1	1
51	имеется в	1	1
52	а только	2	1
53	по существу	5	1
54	к этому	2	1
55	значительной степени	1	1
56	гораздо более	1	1
