N	3gram	Berdyaev_N_1	Istorich
1	с другой стороны	2	7
2	до сих пор	1	5
3	в том что	1	5
4	с одной стороны	2	2
5	то время как	1	2
6	во всяком случае	1	2
7	в то время	1	2
8	о том что	1	2
9	как и в	1	2
10	что в этом	1	1
11	будет сказать что	1	1
12	подобно тому как	3	1
13	в том числе	1	1
14	сами по себе	1	1
15	но и в	1	1
16	что в нем	2	1
17	можно было бы	1	1
18	большую роль в	2	1
19	вполне возможно что	1	1
20	вместе с тем	2	1
21	в том смысле	1	1
22	не только в	1	1
23	в такой же	1	1
24	и к ней	1	1
25	так же как	2	1
26	как это делали	1	1
27	на них нельзя	1	1
28	и вместе с	1	1
29	это и есть	1	1
30	а не с	1	1
31	одна из сторон	1	1
32	равно как и	2	1
33	не может быть	4	1
34	у него как	1	1
35	в большинстве случаев	1	1
36	о том чтобы	1	1
37	так и должно	1	1
38	поставлен вопрос о	1	1
39	она не может	2	1
