N	2gram	Vinokur_St_2	VerxiiNi
1	и в	29	26
2	таким образом	10	22
3	с тем	7	18
4	в этом	21	15
5	вместе с	7	15
6	точки зрения	5	13
7	как бы	5	12
8	в том	27	11
9	из этих	1	10
10	не только	19	10
11	и с	4	10
12	может быть	2	10
13	связи с	4	9
14	в области	2	9
15	так как	2	9
16	но и	19	9
17	что в	19	9
18	но не	3	8
19	в общем	3	8
20	с другой	4	8
21	и не	9	8
22	как на	9	8
23	но в	8	7
24	но все	7	7
25	из них	3	7
26	том что	27	7
27	потому что	9	7
28	в эпоху	1	7
29	то что	11	7
30	а с	3	7
31	того же	2	6
32	представление о	1	6
33	все же	6	6
34	все эти	2	6
35	в себе	2	6
36	всяком случае	3	6
37	с точки	2	6
38	в отношении	2	6
39	к тому	10	6
40	так и	9	6
41	о том	17	6
42	в конце	2	6
43	что и	2	6
44	несмотря на	2	6
45	и потому	2	6
46	все это	11	6
47	во всяком	3	6
48	отношение к	1	5
49	сих пор	5	5
50	и к	4	5
51	тому же	3	5
52	или менее	2	5
53	не имеет	2	5
54	того чтобы	6	5
55	никогда не	3	5
56	для того	7	5
57	образом в	1	5
58	в его	13	5
59	до сих	6	5
60	а не	5	5
61	и для	1	5
62	так же	3	5
63	одной из	3	5
64	более или	2	5
65	том числе	1	5
66	в котором	7	4
67	то же	2	4
68	при жизни	1	4
69	в течение	6	4
70	целый ряд	1	4
71	в самом	7	4
72	в этой	2	4
73	и по	3	4
74	что все	1	4
75	с другими	1	4
76	должен был	4	4
77	он не	9	4
78	в то	2	4
79	очень мало	2	4
80	в нем	4	4
81	а в	1	4
82	что оно	1	4
83	и что	6	4
84	только в	2	4
85	и вместе	1	4
86	на этот	2	4
87	ничем не	1	4
88	не может	2	4
89	и от	1	4
90	в этих	3	4
91	во время	2	4
92	что он	13	4
93	же как	3	3
94	из всех	1	3
95	не вполне	1	3
96	к сожалению	2	3
97	в своем	9	3
98	когда он	1	3
99	и как	2	3
100	за собой	1	3
101	в которой	11	3
102	что это	3	3
103	так или	1	3
104	и те	2	3
105	и если	1	3
106	при этом	2	3
107	тем не	2	3
108	если бы	2	3
109	не менее	3	3
110	представляет собой	1	3
111	к концу	1	3
112	и о	4	3
113	в народных	1	3
114	с самого	3	3
115	на нее	3	3
116	можно сказать	1	3
117	в значительной	2	3
118	того что	5	3
119	но с	4	3
120	хотя бы	3	3
121	в качестве	5	3
122	так что	3	3
123	а после	1	3
124	для него	4	3
125	в одном	6	3
126	случае не	2	3
127	и даже	3	3
128	или иначе	1	3
129	в связи	1	3
130	с этой	2	3
131	в результате	2	3
132	конце концов	1	3
133	отношению к	1	3
134	и другие	2	3
135	к этому	4	3
136	в таком	1	3
137	точно так	1	3
138	одним из	6	2
139	в русских	1	2
140	и это	2	2
141	его не	3	2
142	смотреть на	1	2
143	ни у	3	2
144	еще не	1	2
145	и на	6	2
146	бы то	2	2
147	с его	2	2
148	в создании	1	2
149	отличаются от	1	2
150	общего с	1	2
151	что именно	2	2
152	с тех	1	2
153	на то	2	2
154	из этой	2	2
155	перестает быть	1	2
156	с именем	1	2
157	не к	2	2
158	не как	1	2
159	его от	1	2
160	связан с	3	2
161	то ни	2	2
162	те же	1	2
163	к другу	1	2
164	на все	1	2
165	в них	2	2
166	к которым	1	2
167	мы видели	1	2
168	народных массах	1	2
169	но если	1	2
170	и сейчас	3	2
171	не в	4	2
172	в россии	3	2
173	иной раз	1	2
174	вплоть до	1	2
175	самого начала	3	2
176	тех пор	1	2
177	героев и	1	2
178	не могло	3	2
179	только не	2	2
180	больше чем	1	2
181	же время	1	2
182	так например	7	2
183	этом отношении	9	2
184	не потому	2	2
185	и здесь	3	2
186	и проч	1	2
187	не могут	1	2
188	в среде	1	2
189	похож на	1	2
190	отличается от	1	2
191	утверждать что	2	2
192	ничего общего	1	2
193	и сами	1	2
194	в образе	3	2
195	не с	1	2
196	особенно в	2	2
197	так называемую	1	2
198	связанных с	1	2
199	по тому	1	2
200	по сравнению	1	2
201	мысль о	1	2
202	в виду	7	2
203	к одной	1	2
204	с того	1	2
205	а также	2	2
206	в пользу	3	2
207	должно было	3	2
208	между тем	5	2
209	востока и	1	2
210	наконец в	3	2
211	у всех	2	2
212	один из	1	2
213	тот же	1	2
214	и действительно	1	2
215	очень много	1	2
216	от них	1	2
217	конечно не	1	2
218	уже в	1	2
219	больше не	1	2
220	в начале	3	2
221	одно из	1	2
222	мы можем	1	2
223	но вместе	1	2
224	именно в	4	2
225	по своим	1	2
226	к которому	1	2
227	прежде всего	5	2
228	связано с	1	2
229	не было	3	2
230	от подлинной	1	2
231	и все	1	2
232	если не	2	2
233	должна была	2	2
234	виде в	1	2
235	связь с	2	2
236	по своему	2	2
237	сравнению с	1	2
238	по существу	2	2
239	на пути	1	2
240	со времени	1	2
241	пути к	1	2
242	в эту	3	2
243	только что	2	2
244	ни было	2	2
245	в свою	1	2
246	в процессе	2	2
247	сказать что	2	2
248	к его	1	2
249	одновременно и	1	2
250	из этого	1	2
251	жизни и	1	2
252	можно назвать	1	2
253	все что	1	2
254	как известно	2	1
255	вряд ли	3	1
256	это однако	1	1
257	речь идет	4	1
258	языка с	1	1
259	а между	1	1
260	смысле слова	1	1
261	самом деле	3	1
262	забывали что	1	1
263	это и	1	1
264	мере в	2	1
265	что когда	1	1
266	тем же	2	1
267	в первом	1	1
268	и до	1	1
269	все были	1	1
270	где я	2	1
271	равнодушен к	1	1
272	той же	1	1
273	их и	1	1
274	а как	4	1
275	далее в	2	1
276	мы не	1	1
277	совершенно так	2	1
278	что самый	1	1
279	в сущности	1	1
280	совпадает с	1	1
281	образом уже	1	1
282	к началу	1	1
283	мы и	1	1
284	не совсем	1	1
285	надо иметь	1	1
286	при таких	1	1
287	в ней	7	1
288	на них	1	1
289	участвовать в	1	1
290	не представляется	2	1
291	в чем	1	1
292	друг к	1	1
293	в сторону	1	1
294	народа уже	1	1
295	по отношению	1	1
296	языке так	1	1
297	отличие от	2	1
298	к своей	1	1
299	что они	2	1
300	смотрел на	3	1
301	идет о	3	1
302	работа в	1	1
303	русского и	1	1
304	в одной	2	1
305	как в	3	1
306	народа в	2	1
307	с их	1	1
308	образцом для	2	1
309	это был	2	1
310	что касается	1	1
311	следует сказать	1	1
312	них как	1	1
313	не приходится	4	1
314	а во-вторых	1	1
315	формы в	1	1
316	не был	3	1
317	то время	1	1
318	что к	1	1
319	с царем	2	1
320	безусловно был	1	1
321	и тот	1	1
322	образом при	1	1
323	вследствие этого	1	1
324	на его	2	1
325	пути с	1	1
326	но именно	1	1
327	именно то	1	1
328	в первую	1	1
329	к одному	1	1
330	народ не	1	1
331	и более	2	1
332	новое и	1	1
333	на этом	1	1
334	прежде чем	1	1
335	что она	1	1
336	не следует	1	1
337	том же	2	1
338	факт что	6	1
339	а по	1	1
340	на этой	1	1
341	его в	2	1
342	это было	2	1
343	заключается в	1	1
344	было в	1	1
345	первую очередь	1	1
346	и отдельные	1	1
347	было бы	5	1
348	на почве	2	1
349	не совпадает	1	1
350	что один	1	1
351	лишь на	1	1
352	некоторое представление	1	1
353	не выше	1	1
354	ни в	3	1
355	нет в	1	1
356	о которых	2	1
357	жизни то	1	1
358	видел в	2	1
359	как и	2	1
360	во внимание	2	1
361	которой не	1	1
362	сделан в	1	1
363	ни с	2	1
364	не противоречат	1	1
365	она была	1	1
366	к тем	1	1
367	от своего	1	1
368	в своей	7	1
369	что среди	1	1
370	что такое	2	1
371	в их	3	1
372	то для	1	1
373	фактом что	2	1
374	место в	1	1
375	народу в	1	1
