N	2gram	Potebnia_M_4	UchenyiS
1	и в	23	14
2	а не	12	10
3	не только	10	10
4	прежде всего	1	8
5	и не	18	8
6	не может	11	7
7	в этом	23	7
8	то что	29	7
9	может быть	26	6
10	в искусстве	3	6
11	то же	14	5
12	и только	3	5
13	художественное произведение	2	5
14	все это	5	5
15	хотя бы	4	5
16	перестает быть	1	5
17	с другой	2	4
18	но и	11	4
19	что такое	7	4
20	в их	1	4
21	в этой	1	4
22	конечно не	2	4
23	вряд ли	1	3
24	и то	5	3
25	это не	7	3
26	было бы	8	3
27	как и	14	3
28	в частности	1	3
29	в своей	1	3
30	очевидно что	7	3
31	и формы	1	3
32	в то	4	3
33	все же	1	3
34	но в	8	3
35	формы в	3	3
36	не следует	2	3
37	же время	3	3
38	в области	2	3
39	только к	1	3
40	у нас	2	3
41	другой стороны	1	3
42	для него	5	3
43	не как	2	3
44	тем менее	2	2
45	что все	4	2
46	а между	4	2
47	крайней мере	5	2
48	одним из	1	2
49	и с	4	2
50	художественного произведения	1	2
51	и через	1	2
52	а его	1	2
53	до сих	4	2
54	каждом шагу	1	2
55	а как	2	2
56	это было	2	2
57	самом деле	3	2
58	художественных произведений	1	2
59	должна быть	1	2
60	превращается в	2	2
61	мы не	8	2
62	является в	1	2
63	на эту	1	2
64	если бы	13	2
65	что мы	10	2
66	ничего не	1	2
67	если не	1	2
68	должна была	1	2
69	том что	12	2
70	на первый	1	2
71	но даже	2	2
72	мы и	2	2
73	меньшей степени	1	2
74	надо было	1	2
75	на каждом	1	2
76	нам представляется	2	2
77	нас в	2	2
78	но конечно	1	2
79	но не	1	2
80	не все	1	2
81	в его	5	2
82	по крайней	5	2
83	что и	7	2
84	по себе	11	2
85	более чем	3	2
86	сих пор	4	2
87	но это	3	2
88	могли бы	4	2
89	в том	23	2
90	и для	2	2
91	что он	4	2
92	в себе	14	2
93	при таком	1	2
94	в самом	3	2
95	между тем	9	2
96	и у	2	2
97	только в	15	2
98	не в	11	2
99	не есть	9	2
100	этом отношении	1	2
101	бы и	5	2
102	не могут	2	2
103	могут быть	7	2
104	смысле этого	1	2
105	а о	1	2
106	же самое	4	2
107	тем что	10	2
108	что она	2	2
109	таким образом	24	2
110	даже и	3	2
111	он прежде	1	1
112	и это	2	1
113	что такой	1	1
114	об этом	2	1
115	поэзии и	7	1
116	есть конечно	1	1
117	человека и	3	1
118	даже не	2	1
119	то есть	34	1
120	в виду	3	1
121	деле есть	1	1
122	сам по	4	1
123	входит в	1	1
124	материал поэзии	1	1
125	данном случае	2	1
126	или иначе	2	1
127	существует в	1	1
128	и прежде	2	1
129	и быть	2	1
130	было и	2	1
131	в произведении	1	1
132	в пределах	1	1
133	и др	2	1
134	еще одно	1	1
135	из первых	1	1
136	слова а	1	1
137	никогда не	3	1
138	так и	6	1
139	одной стороны	1	1
140	той же	3	1
141	в сфере	1	1
142	относится к	1	1
143	которой все	1	1
144	столько же	1	1
145	с тем	7	1
146	мы имеем	4	1
147	смысле можно	1	1
148	основной признак	1	1
149	представлений и	2	1
150	об искусстве	1	1
151	в словах	1	1
152	и даже	2	1
153	должно быть	5	1
154	на слово	1	1
155	можно сказать	4	1
156	восприятия и	1	1
157	смысле и	1	1
158	не вполне	2	1
159	состоять в	1	1
160	стороны в	1	1
161	о нем	1	1
162	сводятся к	2	1
163	к лицу	1	1
164	не исключительно	1	1
165	как искусство	3	1
166	как на	1	1
167	о том	8	1
168	только возможно	1	1
169	в ней	2	1
170	и потому	10	1
171	во мне	1	1
172	относятся к	2	1
173	в котором	4	1
174	осталось бы	1	1
175	только для	2	1
176	научного анализа	1	1
177	и что	7	1
178	тех и	1	1
179	заключенных в	2	1
180	и этого	1	1
181	все его	1	1
182	в различных	2	1
183	быть в	1	1
184	из которых	2	1
185	признать что	2	1
186	слово как	1	1
187	все в	2	1
188	в течение	2	1
189	является только	1	1
190	в той	4	1
191	словами как	1	1
192	он может	1	1
193	в данном	4	1
194	что же	5	1
195	не то	5	1
196	бы в	2	1
197	того что	14	1
198	что основной	1	1
199	друг другу	1	1
200	в которых	3	1
201	эта работа	1	1
202	не без	1	1
203	их в	3	1
204	на его	3	1
205	форма в	1	1
206	тому чтобы	1	1
207	это значит	1	1
208	что этот	1	1
209	нет и	1	1
210	за пределы	1	1
211	на то	7	1
212	быть не	2	1
213	к изучению	1	1
214	течение многих	1	1
215	еще один	1	1
216	его как	1	1
217	она не	2	1
218	этом случае	5	1
219	первый взгляд	1	1
220	нас самих	1	1
221	данное время	1	1
222	независимо от	6	1
223	его на	1	1
224	в своем	8	1
225	что с	1	1
226	как нам	1	1
227	но для	1	1
228	имеет свою	2	1
229	и все	4	1
230	обе эти	1	1
231	того как	6	1
232	что только	2	1
233	по меньшей	1	1
234	произведений и	1	1
235	тот же	2	1
236	в поэтическом	1	1
237	не существует	2	1
238	как части	1	1
239	настолько насколько	1	1
240	по мнению	1	1
241	почему в	1	1
