N	4gram	Bakhtin_fo_2	Myshleni
1	одно и то же	1	6
2	одного и того же	1	5
3	с этой точки зрения	1	4
4	в том что они	1	2
5	в том числе и	2	2
6	как мы уже говорили	1	2
7	что в основе их	1	2
8	все более и более	1	2
9	только в том что	1	2
10	одна и та же	2	1
11	которая в свою очередь	1	1
12	с двух сторон как	1	1
13	мы наблюдаем и в	1	1
14	это значит что если	1	1
15	это мы наблюдаем и	1	1
16	друг с другом в	1	1
17	все больше и больше	1	1
18	на первый план выступает	1	1
19	то что в основе	1	1
20	в том что он	1	1
21	как и во всех	1	1
22	в то время как	1	1
