N	2gram	Medvedev_F_2	EvropaiC
1	таким образом	20	32
2	в том	11	31
3	и в	38	24
4	том что	2	20
5	все эти	6	19
6	не может	14	18
7	то что	6	17
8	может быть	23	15
9	все же	8	15
10	точки зрения	8	13
11	самом деле	8	12
12	в своем	1	12
13	до сих	1	12
14	в этом	27	12
15	сих пор	1	12
16	с этим	5	11
17	между тем	2	11
18	все это	3	11
19	во всех	5	10
20	так и	8	10
21	из себя	1	10
22	мы знаем	3	10
23	как бы	4	10
24	того же	1	9
25	на то	1	9
26	при этом	9	9
27	как и	9	9
28	в результате	6	9
29	что в	7	9
30	в самом	16	8
31	с точки	7	8
32	знаем что	1	8
33	не в	15	8
34	ясно что	1	8
35	если бы	5	8
36	так же	1	8
37	и все	3	8
38	на самом	3	7
39	из этих	3	7
40	или менее	1	7
41	не менее	1	7
42	по существу	7	7
43	того чтобы	3	7
44	к тому	4	7
45	для этого	2	7
46	о том	1	7
47	что он	5	7
48	для того	3	7
49	но и	13	7
50	и не	20	7
51	более или	1	7
52	из этого	2	7
53	должна быть	5	6
54	и на	3	6
55	в общем	5	6
56	в этой	6	6
57	несмотря на	1	6
58	и при	1	6
59	с ним	2	6
60	что и	8	6
61	того что	3	6
62	только в	6	6
63	все они	1	6
64	так что	1	6
65	так как	4	6
66	с другой	3	6
67	вместе с	6	6
68	отличается от	1	6
69	как на	1	6
70	между двумя	2	5
71	столь же	2	5
72	как к	3	5
73	и к	4	5
74	но в	4	5
75	в которой	2	5
76	что это	3	5
77	в целом	3	5
78	в себе	1	5
79	не только	9	5
80	но все	3	5
81	не будет	2	5
82	и с	9	5
83	лишь в	7	5
84	его в	3	5
85	и без	1	5
86	так называемого	1	5
87	в то	5	5
88	как будто	1	5
89	в его	10	5
90	потому что	2	5
91	и их	3	5
92	именно в	5	5
93	далеко не	1	5
94	ничем не	2	5
95	другой стороны	4	5
96	быть и	3	5
97	и для	5	5
98	и от	2	5
99	случае если	1	5
100	к этому	4	5
101	одним из	1	4
102	в такой	2	4
103	и то	2	4
104	то же	6	4
105	та же	2	4
106	из того	1	4
107	что его	1	4
108	отношение к	2	4
109	хотя и	3	4
110	своем развитии	2	4
111	он не	6	4
112	всех этих	3	4
113	том случае	2	4
114	из них	4	4
115	должно быть	2	4
116	в их	6	4
117	сходства с	1	4
118	тем не	1	4
119	этой области	1	4
120	что эта	2	4
121	связи с	13	4
122	многие из	1	4
123	в дальнейшем	4	4
124	никогда не	2	4
125	если мы	5	4
126	не есть	3	4
127	в виде	1	4
128	не так	2	4
129	в конце	2	4
130	без того	1	4
131	в области	3	4
132	социальной жизни	1	4
133	в в	2	4
134	конце концов	2	4
135	не могут	7	4
136	этом случае	1	4
137	мы должны	1	4
138	хотя бы	6	4
139	совершенно не	4	4
140	в таком	2	4
141	как известно	1	3
142	же как	3	3
143	слагается из	1	3
144	вопрос о	1	3
145	не вполне	1	3
146	но даже	1	3
147	в данном	1	3
148	мы будем	1	3
149	очевидно что	2	3
150	в истории	6	3
151	целый ряд	1	3
152	и наконец	4	3
153	так или	1	3
154	в нашем	1	3
155	в тех	2	3
156	развиваться в	1	3
157	в нем	13	3
158	и по	2	3
159	и может	3	3
160	они должны	2	3
161	это не	2	3
162	на почве	9	3
163	с тем	11	3
164	чем в	1	3
165	в этих	2	3
166	что если	1	3
167	представление о	2	3
168	даже в	2	3
169	образом в	1	3
170	для нас	1	3
171	во всем	1	3
172	а лишь	3	3
173	у нас	1	3
174	должны быть	1	3
175	что оно	4	3
176	как для	1	3
177	ничего общего	1	3
178	и это	2	3
179	то ни	2	3
180	данном случае	1	3
181	с одной	1	3
182	настоящее время	1	3
183	различия между	1	3
184	тот же	1	3
185	в эти	1	3
186	конечно не	1	3
187	при помощи	2	3
188	и других	2	3
189	от тех	2	3
190	каждый из	3	3
191	отличие от	2	3
192	или иначе	1	3
193	прежде всего	15	3
194	а наоборот	3	3
195	же не	1	3
196	в связи	10	3
197	представляют из	1	3
198	в настоящее	1	3
199	ее и	2	3
200	не то	3	3
201	от него	2	3
202	бы в	5	3
203	а в	6	3
204	можно назвать	1	3
205	в котором	2	2
206	и до	3	2
207	со своей	2	2
208	входящих в	1	2
209	теперь мы	1	2
210	в сущности	4	2
211	так чтобы	1	2
212	и ее	6	2
