N	2gram	Ircho_Kome_2	EvropaiE
1	и в	26	37
2	в пределах	1	25
3	точки зрения	4	23
4	что в	9	21
5	не только	7	18
6	с точки	1	17
7	в то	6	16
8	то же	3	15
9	хотя бы	2	15
10	в своем	6	14
11	но в	3	14
12	же время	3	14
13	в качестве	5	14
14	но и	10	14
15	и не	14	14
16	в этом	10	12
17	в их	3	11
18	в области	1	11
19	в том	11	11
20	с и	4	10
21	так и	12	10
22	отнюдь не	2	9
23	в себе	1	9
24	только в	4	9
25	прежде всего	4	9
26	все более	1	9
27	не может	3	9
28	так же	1	9
29	т е	1	9
30	в ее	2	8
31	думать что	1	8
32	было бы	8	8
33	в своей	3	8
34	к тому	12	8
35	между тем	4	8
36	с одной	2	8
37	одной стороны	2	8
38	а также	1	7
39	так как	4	7
40	с другой	2	7
41	как и	4	7
42	по своему	2	7
43	может быть	11	6
44	и на	7	6
45	во всех	3	6
46	том что	9	6
47	того чтобы	6	6
48	вслед за	2	6
49	вовсе не	2	6
50	для того	5	6
51	в последние	4	6
52	и даже	1	6
53	как бы	2	6
54	с этой	3	6
55	то что	6	6
56	столь же	9	5
57	но не	3	5
58	не в	2	5
59	но если	3	5
60	тем самым	1	5
61	как мы	4	5
62	одной из	4	5
63	со стороны	2	5
64	от этого	2	5
65	в частности	4	5
66	в течение	2	5
67	в той	2	5
68	мы не	2	4
69	вопрос о	3	4
70	в полной	1	4
71	но даже	1	4
72	в ней	3	4
73	независимо от	5	4
74	в самом	4	4
75	то ни	2	4
76	того или	1	4
77	несмотря на	1	4
78	чем в	2	4
79	из числа	3	4
80	даже в	2	4
81	не имеет	3	4
82	иными словами	1	4
83	той или	1	4
84	бы то	2	4
85	по себе	1	4
86	тем более	1	4
87	именно в	1	4
88	ни было	2	4
89	само по	1	4
90	или иной	1	4
91	не на	1	4
92	мира в	4	4
93	как это	4	4
94	для нас	3	4
95	сказать что	1	4
96	или иного	1	4
97	в каком	1	4
98	идет о	2	3
99	бы и	2	3
100	на себя	7	3
101	того же	3	3
102	время в	1	3
103	в общем	1	3
104	как в	3	3
105	когда он	1	3
106	и к	2	3
107	представляет собой	1	3
108	мы можем	3	3
109	по общему	1	3
110	большинстве случаев	1	3
111	и мы	1	3
112	этом смысле	2	3
113	в них	4	3
114	с тем	5	3
115	мы видели	1	3
116	и некоторые	1	3
117	во второй	1	3
118	европейской культуры	1	3
119	никогда не	1	3
120	потому что	6	3
121	с другом	2	3
122	всех случаях	1	3
123	можно было	4	3
124	о том	6	3
125	от них	1	3
126	место в	4	3
127	что и	7	3
128	всяком случае	2	3
129	из них	7	3
130	в известной	1	3
131	на долю	1	3
132	тем что	3	3
133	в свою	1	3
134	говорит о	1	3
135	до г	1	3
136	там где	1	3
137	друг с	2	3
138	в остальном	1	3
139	не является	2	3
140	и для	4	3
141	и от	4	3
142	в результате	1	3
