N	2gram	Bakhtin_Pr_1	VerxiiNi
1	и в	38	26
2	таким образом	10	22
3	с тем	1	18
4	в этом	15	15
5	вместе с	1	15
6	точки зрения	8	13
7	как бы	22	12
8	в том	8	11
9	не только	9	10
10	и с	17	10
11	может быть	26	10
12	связи с	2	9
13	в области	11	9
14	но и	9	9
15	что в	7	9
16	но не	12	8
17	в общем	1	8
18	и у	2	8
19	с другой	7	8
20	и не	42	8
21	но в	4	7
22	из них	1	7
23	том что	3	7
24	к нему	10	7
25	с одной	3	7
26	то что	8	7
27	одной стороны	3	7
28	все же	6	6
29	все эти	5	6
30	в себе	4	6
31	с точки	6	6
32	к тому	1	6
33	так и	5	6
34	о том	4	6
35	что и	2	6
36	несмотря на	3	6
37	и потому	4	6
38	все это	3	6
39	мы должны	2	6
40	отношение к	10	5
41	сих пор	1	5
42	и к	3	5
43	в мире	3	5
44	лишь в	2	5
45	не имеет	9	5
46	того чтобы	2	5
47	никогда не	5	5
48	для того	2	5
49	образом в	1	5
50	в его	43	5
51	до сих	1	5
52	а не	5	5
53	и для	11	5
54	так же	1	5
55	одной из	3	5
56	в котором	2	4
57	то же	5	4
58	целый ряд	1	4
59	в самом	7	4
60	в этой	1	4
61	что все	2	4
62	то есть	46	4
63	с другими	3	4
64	он не	3	4
65	далеко не	5	4
66	в которых	1	4
67	в то	4	4
68	очень мало	1	4
69	в нем	15	4
70	а в	6	4
71	что оно	2	4
72	и что	2	4
73	и только	4	4
74	только в	13	4
75	на этот	1	4
76	не может	27	4
77	из которых	2	4
78	в смысле	1	4
79	и от	3	4
80	в этих	2	4
81	что он	2	4
82	в виде	2	4
83	из всех	1	3
84	не вполне	2	3
85	так называемые	1	3
86	если в	1	3
87	от связи	1	3
88	в своем	5	3
89	и как	8	3
90	в которой	1	3
91	что это	2	3
92	и те	2	3
93	и если	1	3
94	при этом	5	3
95	и при	2	3
96	тем не	3	3
97	если бы	3	3
98	не менее	4	3
99	как о	1	3
100	к концу	1	3
101	в других	4	3
102	и о	5	3
103	культуры и	3	3
104	на нее	1	3
105	ясно что	3	3
106	можно сказать	2	3
107	в значительной	2	3
108	того что	2	3
109	но с	3	3
110	хотя бы	4	3
111	уже не	1	3
112	связывается с	1	3
113	для него	1	3
114	в одном	1	3
115	к ним	1	3
116	случае не	2	3
117	и даже	3	3
118	или иначе	1	3
119	в связи	2	3
120	в результате	1	3
121	отношению к	19	3
122	и другие	2	3
123	к этому	2	3
124	в таком	3	3
125	и это	3	2
126	через эти	1	2
127	его не	2	2
128	мы имеем	2	2
129	так чтобы	1	2
130	еще не	7	2
131	и на	3	2
132	бы то	3	2
133	с его	2	2
134	во всех	11	2
135	различия между	1	2
136	в новом	1	2
137	оно является	1	2
138	или иное	2	2
139	относится к	4	2
140	и наконец	6	2
141	ни один	1	2
142	на то	2	2
143	не могла	1	2
144	перестает быть	4	2
145	они в	1	2
146	не к	6	2
147	не как	1	2
148	его от	1	2
149	его можно	1	2
150	связан с	1	2
151	то ни	3	2
152	в глазах	1	2
153	в них	5	2
154	творца и	3	2
155	не всегда	6	2
156	но если	1	2
157	которые в	1	2
158	не в	7	2
159	в россии	2	2
160	иной раз	1	2
161	вплоть до	1	2
162	в самой	2	2
163	же время	3	2
164	и является	1	2
165	так например	1	2
166	этом отношении	2	2
167	ли это	1	2
168	и здесь	2	2
169	и проч	28	2
170	не могут	2	2
171	отличается от	2	2
172	той или	2	2
173	то или	2	2
174	приводит к	3	2
175	не с	4	2
176	особенно в	2	2
177	можно только	6	2
178	по сравнению	1	2
179	творец и	1	2
180	в виду	4	2
181	а также	1	2
182	между тем	7	2
183	быть и	1	2
184	и действительно	1	2
185	в объединении	1	2
186	между этими	1	2
187	от них	2	2
188	со всеми	3	2
189	для всех	1	2
190	конечно не	5	2
191	в начале	2	2
192	мы можем	6	2
193	или иной	2	2
194	именно в	1	2
195	к которому	4	2
196	прежде всего	13	2
197	связано с	1	2
198	не было	2	2
199	и все	3	2
200	так называемой	1	2
201	всех других	1	2
202	связь с	3	2
203	и особенно	1	2
204	и иной	3	2
205	и мир	2	2
206	по своему	1	2
207	сравнению с	1	2
208	есть как	1	2
209	по существу	2	2
210	благодаря этому	1	2
