N	3gram	Bakhtin_sl_1	Literetu
1	в том что	1	11
2	так или иначе	1	8
3	в отличие от	1	5
4	то же время	12	5
5	в то же	12	5
6	в данном случае	3	4
7	не только в	2	4
8	прежде всего в	1	3
9	по аналогии с	1	3
10	с этой точки	1	3
11	этой точки зрения	1	3
12	и прежде всего	1	3
13	дело в том	1	2
14	с точки зрения	8	2
15	в этом отношении	1	2
16	не могло быть	1	2
17	в виду не	1	2
18	с одной стороны	4	2
19	во всяком случае	5	2
20	о том что	1	2
21	тем не менее	1	2
22	бы ни были	2	1
23	произведение в целом	1	1
24	исключают друг друга	1	1
25	одним из существеннейших	1	1
26	каковы бы ни	1	1
27	максим максимыч в	1	1
28	в зависимости от	3	1
29	бы то ни	1	1
30	адекватного подхода к	1	1
31	можно было бы	2	1
32	в лучшем случае	2	1
33	по крайней мере	1	1
34	не столько в	1	1
35	глубокое различие между	1	1
36	и в частности	1	1
37	в значительной степени	1	1
38	а как бы	1	1
39	становится одним из	1	1
40	но в то	4	1
41	жизни но и	1	1
42	на задний план	1	1
43	в отношении к	6	1
44	а также и	1	1
45	в сущности только	1	1
46	и в этом	2	1
47	в евгении онегине	2	1
48	о себе как	1	1
49	автора и его	1	1
50	а не как	2	1
51	в различных его	1	1
52	с другой стороны	4	1
53	не может быть	1	1
54	не исключают друг	1	1
55	себе самому и	1	1
56	в свою очередь	2	1
57	до сих пор	2	1
58	с самого начала	1	1
59	никогда не бывает	1	1
60	в пределах одной	2	1
61	не только на	2	1
62	себя в них	1	1
63	то ни было	1	1
64	не выходит за	3	1
65	себе как бы	1	1
66	в большинстве случаев	6	1
67	единого и единственного	4	1
68	тех или иных	1	1
69	оттесняет на задний	1	1
70	обычно квалифицируются как	1	1
71	в основе этой	1	1
