1	но в то же	2	3
2	в то же время	10	3
3	с начала и до	3	2
4	в той или иной	1	2
5	начала и до конца	3	2
6	той или иной степени	1	2
7	в том числе и	2	2
8	в большинстве случаев в	1	1
9	точку зрения на мир	1	1
10	в большей или меньшей	3	1
11	в годах то есть	1	1
12	друг к другу и	1	1
13	и др в некоторых	1	1
14	подчеркиваем что дело идет	1	1
15	до сих пор еще	4	1
16	дело в том что	2	1
17	мы уже говорили в	1	1
18	то же время не	1	1
19	ни с одним из	2	1
20	большей или меньшей степени	3	1
21	весь с начала и	1	1
22	мы уже говорили что	5	1
23	можно сказать что в	1	1
24	мы можем судить о	1	1
