N	4gram	Vygotskiy__4	TeoriaLi
1	состоит в том что	3	3
2	одно и то же	6	2
3	одного и того же	5	2
4	мы имеем дело с	1	1
5	даже в том случае	1	1
6	в том случае если	1	1
7	бы то ни было	1	1
8	с этой точки зрения	4	1
9	в том что он	1	1
10	с логической точки зрения	2	1
11	не содержит в себе	1	1
12	в том что в	1	1
13	а с другой стороны	1	1
14	в том числе и	2	1
15	точно так же как	1	1
16	в отличие от ряда	1	1
17	оно состоит в том	1	1
18	с точки зрения логики	1	1
19	бы они ни были	1	1
20	едва ли не первым	1	1
