N	2gram	Losev_Prob_2	Problema
1	то есть	39	46
2	в его	7	43
3	и не	37	42
4	и в	35	38
5	не может	13	27
6	может быть	18	26
7	как бы	4	22
8	отнюдь не	5	19
9	и с	10	17
10	и его	1	16
11	в этом	17	15
12	в нем	1	15
13	и т	6	14
14	только в	14	13
15	прежде всего	11	13
16	независимо от	2	13
17	но не	4	12
18	во всех	2	11
19	в области	6	11
20	ни в	6	11
21	и для	6	11
22	не входит	1	10
23	отношение к	1	10
24	таким образом	4	10
25	в их	3	10
26	к нему	2	10
27	не только	24	9
28	не имеет	7	9
29	его в	3	9
30	но и	16	9
31	и как	4	8
32	входит в	2	8
33	было бы	8	8
34	точки зрения	2	8
35	место в	1	8
36	в том	12	8
37	и др	2	8
38	то что	38	8
39	еще не	10	7
40	в самом	5	7
41	вообще не	4	7
42	в плане	2	7
43	как и	5	7
44	не в	2	7
45	как мы	5	7
46	с другой	6	7
47	как форма	1	7
48	между тем	1	7
49	слова в	1	7
50	но отнюдь	1	7
51	совершенно не	2	7
52	что в	11	7
53	отношения к	1	6
54	самом деле	4	6
55	и наконец	3	6
56	в пределах	1	6
57	в психике	1	6
58	не есть	33	6
59	можно только	2	6
60	ничего не	10	6
61	дело с	1	6
62	есть чисто	1	6
63	содержания и	5	6
64	мы можем	6	6
65	все же	8	6
66	а в	4	6
67	только как	3	6
68	тем как	1	5
69	в своем	4	5
70	все эти	7	5
71	при этом	3	5
72	то же	5	5
73	это не	1	5
74	в них	2	5
75	далеко не	4	5
76	в содержание	1	5
77	так и	7	5
78	на содержание	1	5
79	в основе	3	5
80	и о	4	5
81	никогда не	1	5
82	не нужно	3	5
83	с ним	1	5
84	может иметь	2	5
85	и прежде	2	5
86	конечно не	2	5
87	не на	1	5
88	а не	10	5
89	его чисто	1	5
90	быть только	3	5
91	должно быть	2	5
92	все они	1	5
93	мы здесь	3	4
94	на самом	4	4
95	должна быть	1	4
96	конечно и	1	4
97	в виду	8	4
98	в ней	2	4
99	как вещь	1	4
100	относится к	6	4
101	как в	1	4
102	но в	6	4
103	в нашем	3	4
104	в себе	5	4
105	перестает быть	3	4
106	в данном	10	4
107	значение слова	4	4
108	не менее	13	4
109	но они	1	4
110	тем самым	7	4
111	о значении	3	4
112	в то	6	4
113	форма не	1	4
114	представлять себе	1	4
115	должны быть	1	4
116	здесь не	2	4
117	данном случае	5	4
118	можно было	5	4
119	о том	18	4
120	которых мы	1	4
121	в предмете	1	4
