N	2gram	Bakhtin_Fr_5	Freidism
1	таким образом	8	24
2	и не	15	23
3	не может	5	20
4	точки зрения	4	19
5	прежде всего	10	18
6	в этом	14	15
7	в его	13	15
8	и пр	1	15
9	с помощью	3	14
10	в душе	1	13
11	мы можем	2	13
12	может быть	2	13
13	и его	13	12
14	все эти	5	11
15	как и	10	11
16	с точки	2	11
17	как бы	12	11
18	то что	2	11
19	самом деле	5	10
20	но в	14	10
21	его в	5	10
22	с ним	5	10
23	как мы	8	10
24	так и	6	10
25	и потому	1	10
26	с его	7	9
27	во всех	13	9
28	по отношению	1	9
29	и в	45	9
30	то же	11	8
31	не только	14	8
32	он не	6	8
33	в своей	3	8
34	еще не	1	8
35	что он	6	8
36	только в	4	8
37	так как	6	8
38	все это	7	8
39	и все	7	8
40	отношению к	1	8
41	в самом	4	7
42	мы уже	4	7
43	и наконец	2	7
44	ни в	3	7
45	мы видели	7	7
46	те же	1	7
47	к нему	2	7
48	один из	2	7
49	тот же	1	7
50	мы знаем	1	7
51	сказать что	4	7
52	во всяком	1	7
53	в ней	8	6
54	за пределы	1	6
55	все те	1	6
56	так сказать	1	6
57	и с	10	6
58	на протяжении	1	6
59	и ее	1	6
60	точку зрения	2	6
61	того что	3	6
62	для него	3	6
63	вовсе не	8	6
64	никогда не	1	6
65	хотя бы	2	6
66	на самом	5	5
67	и на	5	5
68	в чем	2	5
69	и к	5	5
70	в этой	6	5
71	не в	7	5
72	в то	11	5
73	в себя	5	5
74	для этого	1	5
75	но мы	2	5
76	можно сказать	2	5
77	для того	6	5
78	в большинстве	2	5
79	большинстве случаев	2	5
80	и прежде	3	5
81	а в	4	5
82	но и	10	5
83	связь с	3	5
84	с этим	4	5
85	в период	2	5
86	в свою	1	5
87	что в	12	5
88	и за	2	4
89	той же	4	4
90	связанных с	3	4
91	мы не	4	4
92	говорить о	2	4
93	но не	4	4
94	все же	2	4
95	не было	3	4
96	из этих	3	4
97	в пределах	2	4
98	в нем	10	4
99	всех этих	6	4
100	на этом	5	4
101	связанные с	3	4
102	при этом	2	4
103	об этом	4	4
104	в жизни	1	4
105	нигде не	1	4
106	во время	12	4
107	не менее	3	4
108	в основе	4	4
109	же время	9	4
110	потому что	7	4
111	и для	3	4
112	к тому	2	4
113	если мы	2	4
114	того чтобы	6	4
115	данном случае	2	4
116	характер и	1	4
117	это только	1	4
118	другими словами	1	4
119	которой мы	1	4
120	и образы	5	4
121	с ними	1	4
122	конечно не	2	4
123	не дает	1	4
124	в котором	1	4
125	мы находим	4	4
126	как раз	5	4
127	от того	3	4
128	и др	8	4
129	себя и	2	4
130	в данном	2	4
131	и о	4	4
132	в более	1	4
133	в следующей	1	4
134	между ними	1	4
135	в таком	1	4
136	и есть	2	3
137	он был	7	3
138	конечном счете	1	3
139	в общем	4	3
140	как в	3	3
141	и той	1	3
142	и как	5	3
143	следующей главе	1	3
144	в себе	1	3
145	о которой	1	3
146	и вот	3	3
147	одной и	1	3
148	и по	1	3
149	что все	2	3
150	конечно в	2	3
151	зрения на	4	3
152	было бы	2	3
153	отца и	1	3
154	такой же	4	3
155	нисколько не	3	3
156	он дает	1	3
157	мысли и	6	3
158	случае не	1	3
159	тому что	1	3
160	одна из	1	3
161	на него	2	3
162	чем не	2	3
163	он пытается	1	3
164	ни о	1	3
165	не могут	2	3
166	настоящего в	1	3
167	бы он	1	3
168	ничего общего	1	3
169	с ее	5	3
170	свою очередь	1	3
171	приводит к	1	3
172	если бы	1	3
173	и смерть	1	3
174	вражда к	1	3
175	и что	2	3
176	на всех	2	3
177	в конечном	1	3
178	и она	2	3
179	со всеми	5	3
180	человека с	5	3
181	себя в	1	3
182	у него	4	3
183	в них	6	3
184	и т.п	16	3
185	на этот	3	3
186	о себе	1	3
187	вместе с	3	3
188	по своему	4	3
189	слова и	2	3
190	сейчас же	1	3
191	и от	4	3
192	но это	5	3
193	когда он	2	3
194	не знает	1	3
195	от всех	5	3
196	жизни и	8	3
197	ни на	1	3
198	ее в	1	3
199	по поводу	4	3
200	и выражение	1	2
201	чтобы не	2	2
202	не остается	1	2
203	это и	5	2
204	тем же	1	2
205	и до	2	2
206	большую роль	1	2
207	нам в	1	2
208	не совсем	1	2
209	того же	3	2
210	видели что	1	2
211	но как	1	2
212	отличие от	2	2
213	из важнейших	2	2
214	относится к	2	2
215	чем же	4	2
216	в своем	11	2
217	сознания в	1	2
218	от этого	2	2
219	в этот	2	2
220	что это	2	2
221	последующей жизни	1	2
222	человек не	1	2
223	что она	3	2
224	освобождение от	4	2
225	врача и	2	2
226	их в	1	2
227	но все	1	2
228	в одну	1	2
229	на всю	1	2
230	них не	1	2
231	на этой	1	2
232	всех областях	1	2
233	это было	4	2
234	это не	3	2
235	но их	2	2
236	чаще всего	1	2
237	отсюда и	1	2
238	же объясняется	1	2
239	и смерти	2	2
240	по всему	1	2
241	только о	1	2
242	этом мы	1	2
243	жизни но	1	2
244	том что	7	2
245	в эту	2	2
246	во второй	2	2
247	и при	1	2
248	в их	4	2
249	мы говорили	2	2
250	в отличие	2	2
251	сих пор	3	2
252	страх и	1	2
253	как это	4	2
254	в отношении	2	2
255	его целом	1	2
256	что с	1	2
257	правда в	1	2
258	и притом	2	2
259	к этим	1	2
260	тому кто	1	2
261	в процессе	1	2
262	не нуждается	2	2
263	для всего	1	2
264	являются только	1	2
265	тем не	1	2
