1	бы то ни было	2	3
2	с одной стороны и	2	2
3	игру все время вмешивается	1	1
4	самое восприятие художественного произведения	1	1
5	существеннейшее влияние на все	1	1
6	того о ком или	1	1
7	героя и слушателя мы	1	1
8	автора героя и слушателя	1	1
9	лишь поскольку они входят	1	1
10	художественного события а лишь	1	1
11	и того о ком	1	1
12	со специфической социальной структурой	1	1
13	взаимодействия трех говорящего автора	1	1
14	все время учитывает третьего	1	1
15	не вне художественного события	1	1
16	время вмешивается третий участник	1	1
17	поскольку они входят в	1	1
18	на все моменты произведения	1	1
19	художественного события со специфической	1	1
20	форма все время учитывает	1	1
21	трех говорящего автора слушателя	1	1
22	слушателя который и оказывает	1	1
23	события со специфической социальной	1	1
24	говорящего автора слушателя читателя	1	1
25	берем не вне художественного	1	1
26	автора слушателя читателя и	1	1
27	третий участник слушатель который	1	1
28	о ком или о	1	1
29	вне художественного события а	1	1
30	все время вмешивается третий	1	1
31	есть выражение и продукт	1	1
32	слушателя читателя и того	1	1
33	всякое действительно произнесенное или	1	1
34	входят в самое восприятие	1	1
35	ком или о чем	1	1
36	взаимоотношением двоих форма все	1	1
37	читателя и того о	1	1
38	учитывает третьего слушателя который	1	1
39	и оказывает существеннейшее влияние	1	1
40	и героя никогда не	1	1
41	свое незаместимое место в	1	1
42	интимным взаимоотношением двоих форма	1	1
43	все время берем не	1	1
44	события а лишь поскольку	1	1
45	который и оказывает существеннейшее	1	1
46	социального взаимодействия трех говорящего	1	1
47	слушатель который меняет и	1	1
48	вмешивается третий участник слушатель	1	1
49	время берем не вне	1	1
50	продукт социального взаимодействия трех	1	1
51	в самое восприятие художественного	1	1
52	двух других творца и	1	1
53	и продукт социального взаимодействия	1	1
54	они входят в самое	1	1
55	о чем говорят героя	1	1
56	слово есть выражение и	1	1
57	или о чем говорят	1	1
58	произнесенное или осмысленно написанное	1	1
59	мы все время берем	1	1
60	в то же время	7	1
61	а лишь поскольку они	1	1
62	оказывает существеннейшее влияние на	1	1
63	слушателя мы все время	1	1
64	в игру все время	1	1
65	героя никогда не бывает	1	1
66	и слушателя мы все	1	1
67	время учитывает третьего слушателя	1	1
68	других творца и героя	1	1
69	третьего слушателя который и	1	1
70	что в игру все	1	1
71	участник слушатель который меняет	1	1
72	двоих форма все время	1	1
73	влияние на все моменты	1	1
74	действительно произнесенное или осмысленно	1	1
75	выражение и продукт социального	1	1
76	автора и героя никогда	1	1
