N	3gram	Berdyaev_M_1	Literetu
1	в том что	1	11
2	в отличие от	1	5
3	не только в	2	4
4	прежде всего в	2	3
5	по отношению к	2	2
6	несет в себе	1	2
7	во всяком случае	1	2
8	о том что	1	2
9	может быть назван	1	1
10	на том что	1	1
11	в частности может	1	1
12	а не в	4	1
13	может быть названа	1	1
14	в русской поэзии	1	1
15	означает не только	1	1
16	так и не	1	1
17	начале xix века	1	1
18	в зависимости от	1	1
19	процесса в этой	1	1
20	между тем как	1	1
21	в наше время	1	1
22	в иной в	1	1
23	к тому чтобы	2	1
24	можно было бы	1	1
25	жизни и в	1	1
26	человеческого духа и	2	1
27	в значительной степени	1	1
28	может быть постигнут	2	1
29	а не только	2	1
30	преступления и наказания	1	1
31	сознание уже не	1	1
32	в самом деле	1	1
33	в отношении к	1	1
34	в начале xix	1	1
35	каждый человек в	1	1
36	все более и	1	1
37	тем что в	1	1
38	не может быть	17	1
39	не мог бы	1	1
40	толстого и достоевского	1	1
41	не несет в	1	1
42	имел в виду	1	1
43	что есть свобода	1	1
44	нет ничего кроме	1	1
45	до сих пор	2	1
46	и не должно	1	1
47	более и более	1	1
48	себя в них	1	1
49	но и от	1	1
50	но не менее	1	1
51	во имя свободы	1	1
52	не только от	1	1
53	то что открывается	1	1
54	может быть он	1	1
55	и никто не	1	1
