N	4gram	Losev_Prob_5	StatiiOP
1	в то время как	3	4
2	в то же время	1	3
3	состоит в том что	1	2
4	и в этом смысле	1	2
5	что у него есть	1	1
6	то обстоятельство что несмотря	1	1
7	в одной из своих	1	1
8	но это не так	1	1
9	с этой точки зрения	1	1
10	в том смысле что	1	1
11	в связи с этим	1	1
12	обстоятельство что несмотря на	1	1
13	а с другой стороны	3	1
14	тем не менее в	1	1
15	с одной стороны он	1	1
16	и в конце концов	1	1
17	о том что он	1	1
18	не говоря уже о	1	1
19	с начала до конца	1	1
20	по крайней мере три	1	1
