N	2gram	Losev_Vesc_1	Freidism
1	таким образом	8	24
2	и не	29	23
3	– это	1	21
4	не может	17	20
5	точки зрения	5	19
6	прежде всего	9	18
7	в его	2	15
8	в этом	4	15
9	и пр	6	15
10	это –	25	14
11	мы можем	4	13
12	может быть	16	13
13	и его	2	12
14	все эти	3	11
15	как и	8	11
16	– в	5	11
17	с точки	3	11
18	то что	27	11
19	как бы	12	11
20	как мы	4	10
21	так и	3	10
22	с ним	8	10
23	его в	2	10
24	и потому	5	10
25	жизни человека	1	10
26	но в	5	10
27	самом деле	4	10
28	во всех	2	9
29	и в	21	9
30	с его	1	9
31	еще не	8	8
32	и все	5	8
33	в своей	5	8
34	оно и	4	8
35	то же	6	8
36	все это	5	8
37	только в	14	8
38	не только	36	8
39	так как	7	8
40	все что	1	8
41	что он	1	8
42	и наконец	1	7
43	во всяком	3	7
44	к нему	1	7
45	что же	8	7
46	отношение к	1	7
47	мы видели	1	7
48	тот же	3	7
49	сказать что	17	7
50	один из	3	7
51	всяком случае	2	7
52	мы уже	3	7
53	в самом	9	7
54	– не	9	7
55	ни в	1	7
56	мы знаем	1	7
57	и с	8	6
58	вовсе не	10	6
59	хотя бы	6	6
60	для него	4	6
61	в ней	12	6
62	совершенно не	5	6
63	того что	8	6
64	никогда не	2	6
65	– как	7	6
66	и ее	18	6
67	– все	1	6
68	оно –	3	5
69	можно сказать	6	5
70	обыденной жизни	1	5
71	в этой	3	5
72	что в	9	5
73	я и	6	5
74	не в	5	5
75	но мы	1	5
76	а в	4	5
77	мы должны	2	5
78	в себя	13	5
79	на самом	1	5
80	но и	18	5
81	могут быть	1	5
82	что такое	12	5
83	в чем	6	5
84	с этим	3	5
85	для того	2	5
86	для этого	4	5
87	в то	3	5
88	и прежде	1	5
89	и к	1	5
90	в свою	4	5
91	в которой	1	4
92	сводится к	2	4
93	– только	4	4
94	же –	2	4
95	все же	4	4
96	которой мы	1	4
97	данном случае	2	4
98	в собственном	2	4
99	говорить о	6	4
100	другими словами	5	4
101	при этом	1	4
102	в более	1	4
103	и для	9	4
104	мы находим	2	4
105	не было	1	4
106	не менее	3	4
107	в жизни	3	4
108	как раз	9	4
109	в нем	2	4
110	сознания и	1	4
111	мы не	6	4
112	того чтобы	3	4
113	не дает	1	4
114	потому что	16	4
115	– и	2	4
116	но не	5	4
117	всех этих	1	4
118	между ними	3	4
119	это только	1	4
120	организма и	1	4
121	в этих	1	4
122	из этих	1	4
123	с другими	8	4
124	то ни	4	4
125	и о	3	4
126	зависимости от	1	4
127	конечно не	1	4
128	той же	2	4
129	уже не	9	4
130	об этом	3	4
131	в основе	3	4
132	с ними	3	4
133	в котором	3	4
134	в зависимости	1	4
135	от того	3	4
136	себя и	4	4
137	к тому	3	4
138	на этом	2	4
139	– с	2	4
140	я не	4	4
141	если мы	8	4
142	в пределах	1	4
143	этот вопрос	1	4
144	в данном	5	4
145	главным образом	1	3
146	приводит к	1	3
147	и вот	2	3
148	от всех	4	3
149	и оно	3	3
150	бы то	4	3
151	случае не	1	3
152	в себе	14	3
153	вместе с	1	3
154	внутренней и	1	3
155	нисколько не	4	3
156	а только	3	3
157	только то	2	3
158	ничего общего	1	3
159	человек на	1	3
160	и может	2	3
161	выражение и	1	3
162	нет никакого	2	3
163	конечно в	1	3
164	о которой	2	3
165	собственном смысле	3	3
166	мысли и	3	3
167	между двумя	1	3
168	всех своих	1	3
169	ее в	1	3
170	человека и	1	3
171	жизни и	2	3
172	свою очередь	4	3
173	всего к	1	3
174	ни о	1	3
175	и она	1	3
176	другому человеку	1	3
177	мы имеем	7	3
178	что все	2	3
179	по поводу	1	3
180	одна из	5	3
181	у него	2	3
182	когда он	1	3
183	слова и	5	3
184	и что	15	3
185	она не	4	3
186	тому что	2	3
187	но ведь	2	3
188	в общем	1	3
189	не сможет	2	3
190	со всеми	1	3
191	из которого	1	3
192	на этот	1	3
193	себя в	10	3
194	и есть	26	3
195	и по	1	3
196	другой –	1	3
197	на себя	1	3
198	может стать	1	3
199	к себе	4	3
200	и внешней	1	3
201	с ее	6	3
202	не является	1	3
203	со стороны	5	3
204	если бы	5	3
205	и от	3	3
206	было бы	14	3
207	ни на	3	3
208	и как	8	3
209	чем не	2	3
210	но это	10	3
211	во втором	2	3
212	жизни –	1	2
213	они и	1	2
214	что между	2	2
215	из этой	1	2
216	для всех	1	2
217	когда мы	6	2
218	и выражение	2	2
219	самого себя	1	2
220	для нас	2	2
221	– очень	1	2
222	из них	4	2
223	в другом	2	2
224	в него	1	2
225	должны быть	4	2
226	конце концов	2	2
227	когда человек	1	2
228	и ни	1	2
229	того же	5	2
230	от этого	2	2
231	так же	1	2
232	отличается от	7	2
233	из всего	1	2
234	для себя	5	2
235	что как	1	2
236	для всего	1	2
237	это уже	1	2
238	всей той	1	2
239	только на	3	2
240	себя с	5	2
241	зависит от	1	2
242	ни было	4	2
243	только о	1	2
244	сих пор	1	2
245	его и	2	2
246	что это	13	2
247	и другие	1	2
248	в конце	2	2
249	до сих	1	2
250	как это	2	2
251	то или	2	2
