N	2gram	Tiupa_Lite_2	Retstnzi
1	не может	9	4
2	и в	19	3
3	один из	4	2
4	если в	2	2
5	нет и	1	1
6	в иную	1	1
7	в особенности	1	1
8	художественного целого	1	1
9	и не	11	1
10	можно и	1	1
11	и поэтика	1	1
12	тому что	1	1
13	вещей и	1	1
14	не только	8	1
15	ни один	1	1
16	связи с	1	1
17	точки зрения	4	1
18	во второй	1	1
19	но и	10	1
20	не менее	6	1
21	в системе	1	1
22	с другими	1	1
23	русской литературы	1	1
24	в школе	1	1
25	в ней	4	1
26	о художественной	1	1
27	в то	9	1
28	с точки	3	1
29	и на	6	1
30	для него	4	1
31	о литературе	1	1
32	сравнении с	2	1
33	искусство как	1	1
34	на нее	1	1
35	к тому	1	1
36	а не	20	1
37	может быть	17	1
38	в его	4	1
39	же время	9	1
40	то же	12	1
41	и все	1	1
42	можно назвать	1	1
43	аудитории и	1	1
44	в каждом	2	1
45	бы в	1	1
