N	2gram	Losev_Vesc_1	Hudozhes
1	том что	8	16
2	и в	21	14
3	так и	3	13
4	не только	36	12
5	при этом	1	12
6	о том	6	12
7	в том	8	12
8	а не	19	12
9	и т	19	11
10	в себе	14	11
11	в этом	4	11
12	прежде всего	9	11
13	в своей	5	10
14	для него	4	10
15	то же	6	9
16	как и	8	9
17	что он	1	9
18	в качестве	1	9
19	у него	2	9
20	в этой	3	8
21	то что	27	8
22	ничего не	3	8
23	в его	2	8
24	в то	3	8
25	еще не	8	7
26	тогда как	1	7
27	это не	5	7
28	не в	5	7
29	личности в	1	7
30	к тому	3	7
31	быть может	1	7
32	уже не	9	7
33	не случайно	2	7
34	именно в	1	7
35	не может	17	7
36	как бы	12	7
37	а в	4	7
38	в первой	2	6
39	человека в	1	6
40	было бы	14	6
41	никогда не	2	6
42	жизни в	1	6
43	что в	9	6
44	самом деле	4	5
45	с его	1	5
46	перед нами	2	5
47	но в	5	5
48	об этом	3	5
49	ни в	1	5
50	точки зрения	5	5
51	не менее	3	5
52	и его	2	5
53	потому что	16	5
54	к себе	4	5
55	и он	1	5
56	можно было	2	5
57	только в	14	5
58	может быть	16	5
59	но и	18	5
60	в частности	1	5
61	и а	2	5
62	в аспекте	1	5
63	в этих	1	5
64	жизни и	2	5
65	с с	1	4
66	к другому	1	4
67	мы уже	3	4
68	и о	3	4
69	в ней	12	4
70	а только	3	4
71	в своем	6	4
72	и к	1	4
73	в действительности	7	4
74	то в	4	4
75	в самом	9	4
76	та же	1	4
77	на то	4	4
78	что она	15	4
79	и с	8	4
80	несмотря на	1	4
81	тем не	3	4
82	тому что	2	4
83	с ним	8	4
84	она не	4	4
85	по своей	2	4
86	как будто	1	4
87	в духе	1	4
88	и это	14	4
89	можно сказать	6	4
90	того что	8	4
91	один из	3	4
92	и быть	1	4
93	себя в	10	4
94	из них	4	4
95	в конце	2	4
96	как раз	9	4
97	не было	1	4
98	и все	5	4
99	человеческой жизни	1	4
100	бытия и	2	4
101	только что	2	4
102	т е	55	4
103	и от	3	4
104	по преимуществу	2	3
105	с точки	3	3
106	едва ли	1	3
107	говорить о	6	3
108	в ее	7	3
109	отнюдь не	5	3
110	как к	4	3
111	все же	4	3
112	но он	2	3
113	в нем	2	3
114	т д	19	3
115	и по	1	3
116	на этом	2	3
117	его в	2	3
118	с этим	3	3
119	в своих	1	3
120	ничем не	3	3
121	все эти	3	3
