N	3gram	Bakhtin_sl_1	Psycholo
1	для того чтобы	1	19
2	в том что	1	14
3	с одной стороны	4	12
4	в зависимости от	3	6
5	о том что	1	6
6	к тому что	2	6
7	до сих пор	2	5
8	с другой стороны	4	5
9	не только не	1	4
10	в лучшем случае	2	3
11	одно и то	2	3
12	мы все же	1	3
13	и то же	2	3
14	в двух планах	1	3
15	с самого начала	1	3
16	и т п	23	3
17	мы видим что	1	3
18	можно было бы	2	3
19	друг с другом	2	3
20	и т д	5	3
21	в этом отношении	1	3
22	и той же	1	2
23	в этом случае	2	2
24	может быть и	1	2
25	с точки зрения	8	2
26	в отличие от	1	2
27	одной и той	1	2
28	в данном случае	3	2
29	если бы мы	1	2
30	не только в	2	2
31	в том и	2	2
32	о которых мы	1	2
33	не может быть	1	2
34	обстоит дело и	1	2
35	той или иной	9	2
36	можно сказать что	1	2
37	именно потому что	1	2
38	и в сущности	2	1
39	которых мы говорили	1	1
40	прямо сказать что	1	1
41	дело в том	1	1
42	мы имеем в	1	1
43	более или менее	3	1
44	равно как и	1	1
45	в каждый данный	5	1
46	в тесной связи	1	1
47	то есть к	1	1
48	между собой в	1	1
49	и в этом	2	1
50	каждый данный момент	4	1
51	в процессе творчества	1	1
52	до известной степени	2	1
53	или наоборот как	1	1
54	еще далеко не	1	1
55	которая могла бы	1	1
56	с этой точки	1	1
57	по крайней мере	1	1
58	и не в	1	1
59	то или иное	1	1
60	не вносит в	1	1
61	он никогда не	1	1
62	и в частности	1	1
63	в эстетический объект	1	1
64	не могло быть	1	1
65	то время как	2	1
66	как только он	1	1
67	и потому как	1	1
68	каждый из этих	1	1
69	лежит в основе	1	1
70	у нее нет	1	1
71	жизни но и	1	1
72	на задний план	1	1
73	не могут быть	2	1
74	могут быть отнесены	1	1
75	то есть не	1	1
76	а не как	2	1
77	мы все время	1	1
78	не есть еще	1	1
79	и в том	2	1
80	этой точки зрения	1	1
81	собой в его	1	1
82	того или иного	2	1
83	на нескольких примерах	1	1
84	в то время	2	1
85	в свою очередь	2	1
86	тесной связи с	1	1
87	те или иные	3	1
88	как раз те	1	1
89	самого начала в	1	1
90	между романом и	1	1
91	двух планах в	1	1
92	между ними и	1	1
93	он может быть	1	1
94	в евгении онегине	2	1
95	было бы его	1	1
96	оно конечно совершенно	1	1
97	быть отнесены к	1	1
98	но во всяком	1	1
99	для этого поэт	1	1
100	именно для того	1	1
101	они как бы	2	1
102	себя и свою	1	1
103	привело к тому	1	1
104	таким образом с	1	1
105	образом с одной	1	1
106	и в другом	2	1
