N	2gram	Bakhtin_sl_2	StatiiOP
1	и в	39	44
2	в том	5	36
3	что в	3	30
4	и т	35	30
5	том что	5	29
6	т д	2	21
7	в этом	16	21
8	вовсе не	10	19
9	то что	2	18
10	не только	24	18
11	а в	4	17
12	о том	2	17
13	и не	22	16
14	а не	14	16
15	может быть	37	15
16	в области	2	14
17	в данном	2	14
18	как в	13	13
19	не в	9	12
20	точки зрения	8	11
21	того чтобы	2	11
22	в этой	1	11
23	но и	21	10
24	для того	2	10
25	только в	5	10
26	но в	6	10
27	что он	2	10
28	как и	6	9
29	т п	33	9
30	того что	1	9
31	в его	7	9
32	в отношении	4	9
33	во второй	1	9
34	в то	4	9
35	также и	2	9
36	с другой	5	9
37	так и	15	9
38	все же	6	8
39	не может	20	8
40	у пушкина	1	8
41	во всех	12	8
42	например в	5	8
43	с точки	3	8
44	и его	33	8
45	это не	5	8
46	таким образом	8	7
47	этом отношении	3	7
48	прежде всего	8	7
49	сих пор	2	7
50	до сих	2	7
51	для нас	5	7
52	в самом	1	7
53	сказать что	3	7
54	другой стороны	1	7
55	и об	1	7
56	во всяком	3	6
57	хотя бы	3	6
58	в своей	1	6
59	для него	7	6
60	именно в	2	6
61	что и	3	6
62	в той	4	6
63	дело в	2	6
64	всяком случае	2	6
65	и языка	4	6
66	но это	3	6
67	все эти	6	5
68	жизни и	6	5
69	в целом	1	5
70	не менее	4	5
71	в нем	19	5
72	там где	6	5
73	никогда не	7	5
74	и даже	7	5
75	тем что	1	5
76	в слове	6	5
77	той же	3	5
78	пушкина для	1	5
79	то же	4	5
80	могут быть	7	5
81	такой же	1	5
82	все это	16	5
83	так как	4	5
84	и по	1	5
85	нужно сказать	1	5
86	в частности	1	4
87	же время	4	4
88	даже не	1	4
89	это слово	1	4
90	не было	2	4
91	гораздо более	1	4
92	на то	1	4
93	как раз	1	4
94	дело не	1	4
95	как это	3	4
96	бы и	3	4
97	того или	1	4
98	мы находим	1	4
99	но все	5	4
100	в новом	2	4
101	языка и	9	4
102	для изучения	1	4
103	в качестве	1	4
104	это и	2	4
105	и что	1	4
106	еще более	2	4
107	же и	2	4
108	или иного	1	4
109	речь идет	1	4
110	научной работы	1	4
111	что она	1	4
112	как бы	7	4
113	материал для	2	3
114	не является	1	3
115	не значит	1	3
116	еще не	7	3
117	п в	2	3
118	в другом	2	3
119	говорит о	1	3
120	в двух	1	3
121	того же	1	3
122	и тем	1	3
123	и для	5	3
124	должна быть	3	3
125	что не	1	3
126	конечно и	2	3
127	в какой	1	3
128	даже в	2	3
129	связанные с	4	3
130	в конце	1	3
131	в виде	2	3
132	и без	1	3
133	и за	1	3
134	работы в	1	3
135	а на	1	3
136	эпохи и	2	3
137	в чужую	1	3
138	тем или	1	3
139	и с	9	3
140	или иным	1	3
141	с одной	5	3
142	это очень	2	3
143	но не	6	3
144	и только	1	3
145	ни в	4	3
146	а именно	2	3
147	в таком	4	3
148	по отношению	4	3
149	между тем	3	3
150	лишь в	3	3
151	в применении	1	3
152	в чем	3	3
153	не все	2	3
154	с этим	2	3
155	да и	1	3
156	в результате	2	3
157	к сожалению	1	3
158	в истории	11	3
159	об этом	1	3
160	в основе	4	3
161	в каждом	1	3
162	очень мало	1	3
163	точку зрения	3	3
164	эпохи в	1	3
165	поэтому в	1	3
166	как к	3	3
167	отношению к	4	3
168	ведь и	2	3
169	о значении	1	3
170	чем в	2	3
171	в ней	3	3
172	должен быть	2	3
173	а во	1	3
174	что оно	4	3
175	что так	1	3
176	письма и	1	3
177	применении к	1	3
178	может не	2	2
179	не знает	2	2
180	говорить о	3	2
181	его же	1	2
182	но он	2	2
183	не всегда	2	2
184	не была	3	2
185	что как	1	2
186	и все	5	2
187	его собственной	1	2
188	сожалению не	1	2
189	и их	5	2
190	числе и	1	2
191	в сторону	1	2
192	в себе	2	2
193	к нему	3	2
194	в сознании	1	2
195	и иные	1	2
196	при этом	7	2
197	то есть	26	2
198	мы не	2	2
199	немало таких	1	2
200	самого же	2	2
201	нисколько не	1	2
202	и те	1	2
203	евгений онегин	1	2
204	одно из	1	2
205	со всеми	2	2
206	например во	2	2
207	его в	4	2
208	совсем не	1	2
209	по своей	1	2
210	превращается в	1	2
211	далее в	2	2
212	отношение к	4	2
213	должно было	1	2
214	отношения к	4	2
215	дело с	4	2
216	истории литературы	3	2
217	этой категории	4	2
218	в иных	1	2
219	в этих	7	2
220	сам в	1	2
221	этом случае	6	2
222	за пределы	2	2
223	именно такое	1	2
224	и сам	1	2
225	на него	2	2
226	которые в	2	2
227	и речи	2	2
228	ведь если	1	2
229	а как	1	2
230	идет о	1	2
231	в других	1	2
232	произведения в	1	2
233	при его	2	2
234	что при	1	2
235	кстати сказать	1	2
236	конечно это	1	2
237	только с	2	2
238	в сущности	6	2
239	но на	1	2
240	подчеркнуть что	2	2
241	и потому	7	2
242	ничего не	1	2
243	тем не	1	2
244	даже и	4	2
245	без всякого	2	2
246	однако и	1	2
247	одной стороны	5	2
248	для этого	4	2
249	этого слова	1	2
250	нет ни	1	2
251	случае не	1	2
252	всех этих	4	2
253	у него	3	2
254	не для	1	2
255	она не	6	2
256	он не	2	2
257	должен был	1	2
258	несмотря на	1	2
259	в своих	1	2
260	в свой	2	2
261	быть и	3	2
262	том числе	1	2
263	отметить что	3	2
264	в такой	1	2
265	из которого	1	2
266	а также	3	2
267	вообще не	1	2
268	целый ряд	1	2
269	и уже	1	2
270	быть в	1	2
271	языка не	4	2
272	и это	1	2
273	уже в	2	2
274	конечно не	5	2
275	или иначе	1	2
276	материала и	3	2
277	пушкина до	1	2
278	но именно	1	2
279	как о	2	2
280	литературы и	1	2
281	также в	1	2
282	и более	2	2
283	в своем	6	2
284	точек зрения	3	1
285	языка который	1	1
286	о которых	1	1
287	и там	3	1
288	и этот	1	1
289	целом ряде	1	1
290	это может	1	1
291	для ее	1	1
292	как мы	7	1
293	интонациями и	1	1
294	отношении к	4	1
295	бы быть	1	1
296	дело обстояло	1	1
297	языка но	4	1
298	и обратно	1	1
299	входит в	4	1
300	случаев в	1	1
301	в одно	2	1
302	языка может	3	1
303	заключается именно	1	1
304	место в	1	1
305	это то	1	1
306	ни была	1	1
307	или в	2	1
308	слов о	2	1
309	в плане	5	1
310	мы говорим	1	1
311	на том	1	1
312	какого бы	1	1
313	отличается от	2	1
314	с одним	2	1
315	в один	1	1
316	этот разрыв	1	1
317	от подлинной	2	1
318	здесь например	1	1
319	как по	1	1
320	материала для	1	1
321	на тему	1	1
322	его не	4	1
323	себя самого	1	1
324	обращается к	1	1
325	просто не	2	1
326	кроме того	2	1
327	нуждается в	2	1
328	иногда такие	1	1
329	этого произведения	1	1
330	где уже	1	1
331	те или	1	1
332	тексты у	1	1
333	другом случае	1	1
334	его и	2	1
335	темы о	6	1
336	зрения его	1	1
337	и другие	2	1
338	говорим о	1	1
339	было вполне	1	1
340	в некоторых	3	1
341	не были	1	1
342	языка а	5	1
343	на котором	2	1
344	именно там	1	1
345	при условии	1	1
346	таким путем	1	1
347	по себе	5	1
348	на нем	2	1
349	так в	2	1
350	вообще в	1	1
351	лежащий в	1	1
352	с каким	1	1
353	п но	2	1
354	xx века	1	1
355	но их	1	1
356	проявляется в	1	1
357	бы говорить	1	1
358	если он	1	1
359	более того	2	1
360	в изобилии	1	1
361	в одном	2	1
362	слов от	1	1
363	тот факт	2	1
364	слова не	4	1
365	это кажется	1	1
366	в нашем	2	1
367	именно такой	1	1
368	притом в	2	1
369	свою задачу	1	1
370	литературного языка	12	1
371	с существующими	1	1
372	содержанием и	1	1
373	в свете	3	1
374	является результатом	1	1
375	опираться на	1	1
376	оно не	8	1
377	одной из	1	1
378	с той	1	1
379	ряде случаев	1	1
380	между собой	1	1
381	всего что	1	1
382	не знают	1	1
383	вместе с	2	1
384	включает в	2	1
385	к своему	9	1
386	или иной	5	1
387	сказать очень	1	1
388	той или	5	1
389	здесь в	3	1
390	речи в	1	1
391	но зато	1	1
392	правильного понимания	1	1
393	в корне	1	1
394	себе как	2	1
395	и притом	1	1
396	притом не	1	1
397	здесь нет	1	1
398	дело и	1	1
399	работы и	2	1
400	сами по	1	1
401	обращения с	1	1
402	для понимания	1	1
403	должны были	1	1
404	которая на	1	1
405	текста и	1	1
406	и бывшими	1	1
407	но как	2	1
408	изложения и	1	1
409	и имеет	1	1
410	слов иногда	1	1
411	значительной степени	6	1
412	хотя и	2	1
413	в таких	1	1
414	современного литературного	1	1
415	точного воспроизведения	1	1
416	стороны и	3	1
417	на все	1	1
418	за свое	1	1
419	не могут	5	1
420	узком смысле	4	1
421	и грубой	2	1
422	можно сказать	1	1
423	материала на	1	1
424	и интерпретации	3	1
425	себе представить	1	1
426	которая является	1	1
427	всегда и	1	1
428	они не	2	1
429	конечно совершенно	1	1
430	не разрешают	1	1
431	мог бы	1	1
432	и при	2	1
433	больше всего	1	1
434	являются такими	1	1
435	лиц и	1	1
436	похоже на	1	1
437	именно на	2	1
438	тогда когда	2	1
439	можно говорить	2	1
440	ведь на	1	1
441	что его	1	1
442	к его	2	1
443	момент его	1	1
444	в прошлом	2	1
445	и язык	4	1
446	что такое	1	1
447	не на	1	1
448	значение как	2	1
449	он является	1	1
450	слово как	7	1
451	ответы на	1	1
452	как он	2	1
453	именно так	1	1
454	до его	1	1
455	поэтического языка	1	1
456	разрыв между	3	1
457	и от	3	1
458	никогда и	1	1
459	или иные	1	1
460	и о	1	1
461	зависимости от	4	1
462	выйти за	1	1
463	первостепенное значение	1	1
464	связано с	3	1
465	в одной	1	1
466	характерны для	1	1
467	значение этого	1	1
468	бы только	2	1
469	в научном	1	1
470	на основании	1	1
471	было глубоко	1	1
472	и таким	1	1
473	к ним	1	1
474	не столько	3	1
475	в последнем	1	1
476	на них	2	1
477	его современников	1	1
478	для правильного	1	1
479	представить себе	1	1
480	уже не	5	1
481	не о	1	1
482	то все	1	1
483	это было	1	1
484	в форме	2	1
485	стиле но	1	1
486	как например	2	1
487	xix века	4	1
488	с их	3	1
489	ему самому	1	1
490	в них	6	1
491	и другим	2	1
492	этом и	1	1
493	чтобы оно	1	1
494	одна из	4	1
495	и всей	1	1
496	слова в	13	1
497	в зависимости	4	1
498	и традиций	1	1
499	и других	4	1
500	без исключения	1	1
501	не зная	1	1
502	этой стилистической	1	1
503	он в	1	1
504	она ни	1	1
505	а вовсе	2	1
506	создавать образ	1	1
507	во всякой	1	1
508	того как	2	1
509	или нет	1	1
510	факт что	2	1
511	тем и	1	1
512	во всей	1	1
513	этой традиции	1	1
514	и на	4	1
515	в рассмотрение	1	1
516	и этим	1	1
517	наоборот для	1	1
518	в процессе	13	1
519	бы она	1	1
520	лучшем случае	1	1
521	как известно	1	1
522	до конца	17	1
523	не просто	1	1
524	в лучшем	1	1
525	ближе к	1	1
526	язык и	7	1
527	далеко не	2	1
528	лежит на	2	1
529	один только	1	1
530	постановке вопроса	1	1
531	и устойчивой	1	1
532	несколько слов	2	1
533	материалом для	1	1
534	с его	7	1
535	в наше	1	1
536	за каждым	1	1
537	и говорит	1	1
538	указать на	1	1
539	и никогда	1	1
540	последующего времени	1	1
541	не приходится	3	1
542	однако в	2	1
543	самое слово	1	1
544	или иную	1	1
545	слова с	4	1
546	всех его	3	1
547	и говорить	1	1
548	с самого	1	1
549	этого в	1	1
550	литературы вообще	1	1
551	время и	1	1
552	две точки	1	1
553	правда не	1	1
554	в духе	1	1
555	случае она	4	1
556	и до	1	1
557	себя в	8	1
558	и к	6	1
559	и есть	1	1
560	не должны	1	1
561	наук и	1	1
562	них и	2	1
563	к этому	1	1
564	с некоторыми	1	1
565	лишь о	2	1
566	важно для	1	1
567	которых очень	1	1
568	на которую	1	1
569	но эта	2	1
570	с другим	1	1
571	всем его	2	1
572	на протяжении	2	1
573	можно утверждать	1	1
574	мы теперь	1	1
575	перед нами	3	1
576	которых мы	2	1
577	только и	2	1
578	слово в	11	1
579	для этой	1	1
580	в потенции	1	1
581	такое отношение	1	1
582	в виду	1	1
583	и могут	1	1
584	с этими	1	1
585	о нем	2	1
586	литературного и	1	1
587	от необходимости	1	1
588	от которых	1	1
589	др но	1	1
590	образом в	1	1
591	еще в	1	1
592	и др	4	1
593	и такой	1	1
594	лишь при	2	1
595	чем не	2	1
596	даже по	1	1
597	в узком	4	1
598	пор не	2	1
599	интерпретации и	1	1
