N	2gram	Trubetskoy_1	Literetu
1	и не	8	22
2	тогда как	1	17
3	в мире	5	16
4	и в	26	16
5	при этом	3	15
6	в этом	15	14
7	не только	10	14
8	но и	9	14
9	в том	11	12
10	может быть	10	12
11	а не	5	12
12	то что	7	12
13	не в	2	10
14	то же	4	9
15	так и	6	9
16	в то	4	9
17	того что	3	9
18	в этой	4	8
19	в жизни	1	8
20	том что	7	8
21	не может	4	8
22	как бы	12	8
23	в своей	1	7
24	же время	2	7
25	только в	4	7
26	себя в	1	7
27	точки зрения	13	7
28	еще не	2	6
29	с его	2	6
30	в себе	6	6
31	состоит в	2	6
32	о том	6	6
33	и его	1	6
34	в его	5	6
35	с другой	8	6
36	к тому	6	6
37	в отличие	1	5
38	отличие от	1	5
39	как в	1	5
40	тому же	5	5
41	то есть	4	5
42	лишь в	5	5
43	это не	1	5
44	соответствии с	1	5
45	как и	1	5
46	этом отношении	2	5
47	в ее	1	5
48	что он	4	5
49	в качестве	3	5
50	именно в	2	5
51	а именно	1	5
52	вместе с	15	5
53	а в	4	5
54	одним из	2	4
55	но не	8	4
56	по отношению	1	4
57	в рамках	3	4
58	и если	3	4
59	входит в	1	4
60	должно быть	1	4
61	место в	1	4
62	однако в	1	4
63	даже в	1	4
64	никогда не	5	4
65	данном случае	1	4
66	а также	2	4
67	с одной	7	4
68	в начале	2	4
69	из них	7	4
70	одно из	2	4
71	в одном	3	4
72	одной стороны	7	4
73	в данном	1	4
74	по существу	2	4
75	и для	5	4
76	отношению к	3	4
77	отношения к	1	3
78	самом деле	1	3
79	той же	1	3
80	с ее	1	3
81	личности с	1	3
82	в сторону	1	3
83	однако не	1	3
84	и как	3	3
85	и наконец	2	3
86	и к	5	3
87	но в	7	3
88	то в	1	3
89	бы и	1	3
90	на его	1	3
91	в глазах	2	3
92	в слове	1	3
93	взгляд на	2	3
94	с точки	6	3
95	только для	2	3
96	по своей	2	3
97	потому что	7	3
98	в области	9	3
99	прежде всего	2	3
100	между тем	2	3
101	вслед за	2	3
102	ни к	1	3
103	совершенно не	1	3
104	уже не	3	3
105	в самом	4	3
106	наконец в	2	3
107	в соответствии	1	3
108	о чем	1	3
109	мира в	1	3
110	там где	1	3
111	это как	1	3
112	жизни и	2	3
113	как на	8	3
114	том числе	5	3
115	того же	6	2
116	в первом	1	2
117	так чтобы	2	2
118	не вполне	3	2
119	мы и	1	2
120	и на	2	2
121	бы то	2	2
122	во всех	2	2
123	сказать и	1	2
124	а и	1	2
125	отношение к	5	2
126	все же	6	2
127	когда он	3	2
128	могли бы	1	2
129	еще на	2	2
130	так или	3	2
131	представляет собой	3	2
132	он в	2	2
133	на то	2	2
134	вследствие этого	1	2
135	все они	1	2
136	в нем	4	2
137	чтобы он	1	2
138	не как	2	2
139	человека в	1	2
140	то ни	2	2
141	и с	10	2
142	а по	1	2
143	его в	1	2
144	было бы	1	2
145	и даже	3	2
146	лишь на	1	2
147	той или	2	2
148	она и	1	2
149	далеко не	4	2
150	не всегда	2	2
151	несмотря на	6	2
152	и тогда	4	2
153	и при	3	2
154	и ее	1	2
155	одном из	1	2
156	вплоть до	2	2
157	ни было	2	2
158	в конце	6	2
159	по себе	1	2
160	не менее	3	2
161	как о	3	2
162	того чтобы	5	2
163	как раз	1	2
164	другой стороны	1	2
165	у нас	1	2
166	же самое	2	2
167	числе и	4	2
168	этот путь	2	2
169	с образом	1	2
170	для себя	1	2
171	не с	2	2
172	мира и	1	2
173	если бы	3	2
174	и перед	2	2
175	одного из	1	2
176	можно сказать	3	2
177	во втором	1	2
178	что и	6	2
179	во всей	1	2
180	и только	4	2
181	в ту	1	2
182	и об	1	2
183	но с	3	2
184	здесь не	1	2
185	с ними	1	2
186	со всеми	2	2
187	связи с	9	2
