N	3gram	Potebnia_M_2	formyVre
1	и т п	3	11
2	в связи с	1	7
3	для того чтобы	2	7
4	то же время	2	4
5	в то же	2	4
6	о том как	1	3
7	от прикосновения к	2	3
8	и в этом	1	3
9	во всех этих	1	3
10	в большинстве случаев	1	3
11	в том что	7	3
12	и т д	3	3
13	в этом случае	1	2
14	до сих пор	4	2
15	и во всех	2	2
16	сами по себе	7	2
17	друг на друга	1	2
18	не было бы	4	2
19	бы она ни	1	2
20	она ни была	1	2
21	не для того	1	2
22	друг от друга	1	2
23	во все стороны	1	2
24	и того же	6	1
25	не имеем в	1	1
26	и связанные с	1	1
27	то есть не	3	1
28	и для самого	1	1
29	на самом деле	2	1
30	как и во	2	1
31	есть прежде всего	2	1
32	том что он	1	1
33	во времени в	1	1
34	и для него	1	1
35	только в том	1	1
36	в отличие от	1	1
37	и др и	1	1
38	между тем как	2	1
39	то что в	2	1
40	далеко не полное	1	1
41	вместе с этим	1	1
42	со всех сторон	1	1
43	с этой точки	1	1
44	вместе с тем	1	1
45	только для того	1	1
46	одно и то	2	1
47	и ни для	1	1
48	то время как	3	1
49	то есть здесь	1	1
50	как и в	1	1
51	каждый из этих	1	1
52	она еще не	1	1
53	о которых мы	1	1
54	что во время	1	1
55	с одной стороны	3	1
56	себя и других	1	1
57	и то же	2	1
58	по сравнению с	1	1
59	они с самого	2	1
60	во всех отношениях	1	1
61	с другой стороны	2	1
62	не может быть	2	1
63	что то же	1	1
64	и как бы	1	1
65	с точкой зрения	1	1
66	то есть в	1	1
67	внутренняя форма слов	1	1
68	в то время	4	1
69	в свою очередь	6	1
70	ни для кого	1	1
71	о том что	1	1
72	в одном из	1	1
73	с тем что	1	1
74	с самого начала	2	1
75	как бы ни	3	1
76	только свет и	1	1
77	но все же	1	1
78	одного и того	6	1
79	очень важную роль	1	1
80	это как бы	1	1
81	имеет существенное значение	1	1
82	вместе с числом	1	1
83	во всех случаях	1	1
84	в себе в	1	1
85	человек вовсе не	1	1
86	так как на	1	1
87	форма в которой	1	1
88	что и в	1	1
89	вне связи с	1	1
