N	2gram	Voloshinov_1	ViktorSh
1	конце концов	3	2
2	и в	19	2
3	том что	3	2
4	в том	6	2
5	в конце	5	2
6	и только	2	1
7	в устах	1	1
8	стилистики в	1	1
9	под влиянием	1	1
10	ни к	2	1
11	в другом	2	1
12	хотя бы	5	1
13	и не	26	1
14	связаны и	1	1
15	и его	19	1
16	потому что	1	1
17	сводится к	3	1
18	и то	1	1
19	теснейшим образом	1	1
20	себе лишь	1	1
21	самом деле	10	1
22	им столь	1	1
23	и т.д	2	1
24	языка если	1	1
25	все это	3	1
26	именно в	5	1
27	главным образом	1	1
28	вещь и	1	1
29	как же	4	1
30	техники и	1	1
31	в частности	2	1
32	речи и	3	1
33	история языка	2	1
34	столь же	1	1
35	в значительной	1	1
36	в самом	10	1
37	для них	2	1
38	только в	9	1
39	то же	7	1
40	на заре	1	1
41	ясно что	5	1
42	так как	2	1
43	далеко не	4	1
44	что слово	4	1
45	не будем	4	1
46	что язык	2	1
47	в этом	16	1
48	находится под	1	1
49	имеется в	1	1
50	от общего	1	1
51	а только	1	1
52	по существу	1	1
53	к этому	5	1
54	значительной степени	1	1
55	гораздо более	1	1
