N	3gram	Medvedev_F_1	Komedia
1	до сих пор	6	9
2	в том что	1	9
3	в свою очередь	6	6
4	в то же	8	4
5	то же время	8	4
6	с самого начала	1	4
7	по отношению к	4	3
8	с точки зрения	13	3
9	и т п	4	3
10	вместе с тем	1	3
11	здесь нет и	1	3
12	в связи с	2	3
13	во всяком случае	4	3
14	до тех пор	1	3
15	и речи о	1	3
16	с одной стороны	4	3
17	тем не менее	1	3
18	состоит в том	1	2
19	так или иначе	1	2
20	не мешает ему	1	2
21	по сравнению с	1	2
22	бы то ни	3	2
23	в этом отношении	1	2
24	т е в	1	2
25	то ни было	1	2
26	с другой стороны	1	2
27	но все же	1	2
28	что и в	1	2
29	более или менее	6	1
30	не говоря уже	1	1
31	прежде всего это	1	1
32	в том числе	1	1
33	а с точки	1	1
34	должно было бы	1	1
35	так и не	1	1
36	одной стороны и	4	1
37	бы при этом	1	1
38	говоря уже о	1	1
39	и в то	1	1
40	в зависимости от	2	1
41	в отличие от	1	1
42	он должен быть	1	1
43	отнюдь не является	1	1
44	и не может	2	1
45	с этой точки	1	1
46	и в частности	2	1
47	в самом начале	1	1
48	довести до конца	1	1
49	в настоящее время	10	1
50	в том чтобы	2	1
51	не сводится к	2	1
52	зависимости от того	1	1
53	и в пределах	1	1
54	и вся его	1	1
55	мы остановимся здесь	1	1
56	но вместе с	1	1
57	для нашего времени	1	1
58	в нем к	1	1
59	как и всякий	1	1
60	не могла не	1	1
61	этой точки зрения	1	1
62	и в свою	1	1
63	так и в	4	1
64	было ясно что	1	1
65	ничего общего с	1	1
66	точки зрения самого	1	1
67	и до сих	1	1
68	на фоне этих	1	1
69	не менее в	1	1
70	не с точки	1	1
71	как мы знаем	1	1
72	в ней как	1	1
73	сводится к одной	1	1
74	к тому что	1	1
75	друг от друга	2	1
76	в отношении к	1	1
77	и в этом	2	1
78	жизни вовсе не	1	1
79	на то чтобы	1	1
80	том числе и	1	1
81	и т д	8	1
82	и здесь не	1	1
