N	3gram	Nazirov_Tv_1	Literetu
1	в том что	6	11
2	в отличие от	1	5
3	то же время	12	5
4	в то же	13	5
5	на наш взгляд	1	5
6	в данном случае	2	4
7	не только в	2	4
8	в связи с	1	4
9	в конечном счете	4	4
10	в русской литературе	2	3
11	в том же	1	3
12	дело в том	3	2
13	по отношению к	1	2
14	дело не только	1	2
15	все та же	1	2
16	ту или иную	1	2
17	с одной стороны	1	2
18	но при этом	1	2
19	чуть ли не	1	2
20	о том что	5	2
21	тем не менее	2	2
22	друг для друга	1	2
23	литературного процесса в	1	1
24	может быть назван	1	1
25	в чем он	1	1
26	это уже не	2	1
27	все тот же	1	1
28	в основе всех	1	1
29	нет не только	1	1
30	в медном всаднике	1	1
31	в году когда	1	1
32	мы никогда не	1	1
33	на самом деле	2	1
34	в эпилоге преступления	1	1
35	в соответствии с	3	1
36	потому что я	1	1
37	и как раз	1	1
38	в одной из	2	1
39	на том или	1	1
40	в первой главе	1	1
41	бы то ни	1	1
42	в наше время	2	1
43	по крайней мере	2	1
44	с той же	1	1
45	в этой связи	2	1
46	а как бы	1	1
47	преступления и наказания	4	1
48	но в то	4	1
49	в xix веке	1	1
50	на первый взгляд	1	1
51	в отношении к	1	1
52	как один из	1	1
53	ипполит в романе	1	1
54	что он сам	1	1
55	все более и	1	1
56	что ведет к	1	1
57	время у достоевского	2	1
58	с другой стороны	1	1
59	не может и	1	1
60	в творчестве чехова	1	1
61	во всей русской	1	1
62	что в конечном	1	1
63	только то что	1	1
64	только в качестве	1	1
65	в финале рассказа	1	1
66	в войне и	1	1
67	имел в виду	1	1
68	всей русской литературе	1	1
69	поняв это мы	1	1
70	в свою очередь	1	1
71	и того же	1	1
72	до сих пор	1	1
73	эпилоге преступления и	1	1
74	с самого начала	3	1
75	войне и мире	1	1
76	более и более	1	1
77	то ни было	1	1
78	стихах и прозе	1	1
79	одного и того	1	1
80	в художественном мире	1	1
81	в стихах и	1	1
82	к тому же	1	1
83	в основе этой	1	1
