N	3gram	Medvedev_V_1	Mirosoze
1	не может быть	8	17
2	не было бы	4	5
3	вместе с тем	3	5
4	но и в	1	4
5	и вместе с	1	4
6	это и есть	3	4
7	заключает в себе	1	3
8	в братьях карамазовых	1	3
9	толстой и достоевский	1	3
10	не может не	2	2
11	по отношению к	7	2
12	до сих пор	1	2
13	и не может	2	2
14	л толстой и	1	2
15	хотя бы и	5	2
16	что он не	1	2
17	в том смысле	1	2
18	в своем творчестве	3	2
19	то время как	1	2
20	не только в	2	2
21	в конце концов	2	2
22	как будто бы	1	2
23	не могут быть	1	2
24	а не только	1	2
25	может быть принята	1	2
26	в то время	1	2
27	никогда не может	1	2
28	для того чтобы	3	2
29	бросается в глаза	1	1
30	и есть то	1	1
31	нет и не	1	1
32	но она не	1	1
33	имеем в виду	1	1
34	в самом деле	1	1
35	если он не	1	1
36	романы достоевского и	1	1
37	как и все	1	1
38	человека а не	1	1
39	том случае если	1	1
40	в зависимости от	5	1
41	и т п	9	1
42	свои творческие силы	1	1
43	может быть свободен	1	1
44	есть то что	1	1
45	в том случае	1	1
46	неизбежно приходит к	1	1
47	может быть и	1	1
48	в свои произведения	1	1
49	не было еще	1	1
50	т е от	1	1
51	и в творчестве	1	1
52	ни к какому	1	1
53	и не быть	1	1
54	быть и речи	1	1
55	и по отношению	1	1
56	по сравнению с	1	1
57	во всех этих	1	1
58	не только для	1	1
59	не в том	2	1
60	во всяком случае	1	1
61	своей личности в	1	1
62	и речи о	1	1
63	что они не	1	1
64	между этими двумя	1	1
65	от того что	2	1
66	том смысле что	1	1
67	ставил и разрешал	1	1
68	даже и в	1	1
69	выйти за пределы	1	1
70	и достоевский в	1	1
71	и никогда не	1	1
72	может быть выражена	1	1
73	но и он	2	1
74	своем творчестве он	1	1
75	о том что	3	1
76	и ту же	1	1
77	не значит что	1	1
78	можно было бы	2	1
79	одну и ту	1	1
80	в том что	5	1
81	все это не	1	1
