1	в то же время	3	5
2	и в то же	1	3
3	с одной стороны и	2	2
4	и не может быть	1	2
5	в большей или меньшей	1	2
6	не в том что	1	2
7	большей или меньшей степени	1	2
8	в том числе и	2	2
9	с большей или меньшей	1	1
10	в том случае если	1	1
11	не говоря уже о	2	1
12	нет и не может	1	1
13	одно и то же	1	1
14	только в том что	1	1
15	только в том случае	1	1
16	в том или ином	1	1
17	именно в том что	1	1
18	может быть определена как	2	1
19	говорит о том что	1	1
20	а в том что	2	1
21	мы имеем дело с	1	1
22	дело не в том	1	1
