N	2gram	Tiupa_Teor_1	Sovremen
1	не может	4	17
2	может быть	17	12
3	точки зрения	9	12
4	таким образом	3	11
5	в каждом	1	8
6	в этом	8	7
7	и в	18	7
8	как и	4	6
9	и не	13	6
10	в результате	1	6
11	все эти	2	5
12	прежде всего	2	5
13	с точки	3	5
14	в условиях	1	5
15	вопрос о	1	4
16	в том	16	4
17	в целом	3	4
18	если мы	2	4
19	из них	1	4
20	так как	1	4
21	не только	16	4
22	с помощью	1	4
23	как бы	5	4
24	вместе с	2	4
25	это не	2	4
26	их в	3	4
27	а в	13	4
28	в первом	2	3
29	на две	3	3
30	то же	7	3
31	и т.д	3	3
32	между собой	3	3
33	отнюдь не	3	3
34	еще не	4	3
35	но в	9	3
36	он в	1	3
37	у каждого	1	3
38	в этой	3	3
39	в себе	9	3
40	в наших	1	3
41	что она	2	3
42	ведь это	1	3
43	в одном	2	3
44	в конце	2	3
45	в нем	4	3
46	при этом	12	3
47	было бы	1	3
48	а не	9	3
49	и потому	2	3
50	не в	7	3
51	все это	2	3
52	не подлежит	1	3
53	в системе	1	3
54	у нас	2	3
55	и к	3	3
56	отличается от	2	3
57	в области	4	3
58	как мы	1	2
59	свою очередь	2	2
60	между всеми	1	2
61	тем же	1	2
62	приводит к	5	2
63	роль в	2	2
64	той же	1	2
65	времени и	2	2
66	каждого из	1	2
67	на этом	1	2
68	и даже	2	2
69	говорить о	3	2
70	говорим о	1	2
71	и что	3	2
72	на их	1	2
73	в которую	1	2
74	говорить об	1	2
75	в его	6	2
76	каждая из	1	2
77	развития но	1	2
78	быть и	2	2
79	в самом	4	2
80	к чему	2	2
81	в которой	2	2
82	что это	1	2
83	в нашем	4	2
84	из этих	3	2
85	тот или	2	2
86	с одной	2	2
87	уже не	4	2
88	на его	1	2
89	тем не	3	2
90	у него	1	2
91	и по	2	2
92	отличие от	6	2
93	ее на	1	2
94	то ни	1	2
95	что все	1	2
96	значение в	1	2
97	или иной	4	2
98	а на	3	2
99	первые два	1	2
100	свою собственную	1	2
101	он должен	2	2
102	в отличие	6	2
103	такого рода	8	2
104	о жизни	1	2
105	не менее	4	2
106	можно назвать	1	2
107	на котором	1	2
108	этих двух	2	2
109	в третьем	1	2
110	мы видим	1	2
111	тот же	1	2
112	в свою	3	2
113	совершенно не	1	2
114	не могут	2	2
115	могут быть	4	2
116	же самое	1	2
117	что в	9	2
118	и наиболее	1	1
119	должен быть	1	1
120	и это	2	1
121	можно говорить	1	1
122	значении в	1	1
123	своего развития	1	1
124	с жизнью	1	1
125	человека и	1	1
126	с ее	3	1
127	живое существо	1	1
128	начало нового	1	1
129	между двумя	3	1
130	здесь и	1	1
131	отношению к	4	1
132	так в	4	1
133	мире можно	2	1
134	по преимуществу	4	1
135	и до	1	1
136	между ним	1	1
137	иметь место	1	1
138	в мире	19	1
139	можно было	1	1
140	те же	1	1
141	действительную роль	1	1
142	есть не	1	1
143	принадлежит только	2	1
144	при одном	1	1
145	осуществляется в	1	1
146	мы имеем	7	1
147	же как	1	1
148	смысле можно	1	1
149	мы в	2	1
150	если бы	3	1
151	существенно отличается	1	1
152	с человеком	1	1
153	развернуть в	1	1
154	что иное	1	1
155	и соответственно	2	1
156	имеют место	1	1
157	того же	3	1
158	подчеркнуть что	1	1
159	о том	1	1
160	определенным образом	2	1
161	что каждый	2	1
162	одного из	1	1
163	на них	1	1
164	иное как	1	1
165	же время	5	1
166	бы то	1	1
167	что его	1	1
168	его в	2	1
169	с его	5	1
170	во всех	1	1
171	эта перемена	1	1
172	данном случае	5	1
173	совсем не	1	1
174	но не	9	1
175	но как	1	1
176	и внутренний	1	1
177	если в	2	1
178	в конечном	6	1
179	во втором	3	1
180	конечном счете	6	1
181	по отношению	4	1
182	ним и	1	1
183	во всей	1	1
184	крайней мере	1	1
185	идет о	1	1
186	человека как	1	1
187	независимо от	1	1
188	к которому	3	1
189	к нему	1	1
190	известном смысле	1	1
191	один из	2	1
192	одной из	2	1
193	природой и	1	1
194	в действительности	1	1
195	только в	6	1
196	явления жизни	1	1
197	именно эта	1	1
198	целого и	1	1
199	может оказаться	2	1
200	к другому	1	1
201	части на	1	1
202	одном случае	1	1
203	в известном	1	1
204	не механический	1	1
205	и те	1	1
206	в большинстве	2	1
207	только на	1	1
208	в следующих	1	1
209	пусть это	1	1
210	вследствие этого	1	1
211	отвечающее всем	1	1
212	он не	3	1
213	эта система	1	1
214	все перечисленные	1	1
215	и их	1	1
216	к одному	1	1
217	по существу	1	1
218	необходимо для	1	1
219	вовсе не	3	1
220	ему принадлежит	1	1
221	не случайно	5	1
222	случае не	2	1
223	явлений жизни	1	1
224	разрешения проблемы	1	1
225	заключает в	1	1
226	о каком	1	1
227	и только	1	1
228	не будет	2	1
229	а затем	1	1
230	в другом	3	1
231	том случае	1	1
232	одной стороны	2	1
233	и т.п	4	1
234	с другой	7	1
235	как у	1	1
236	дома и	2	1
237	на ее	1	1
238	две половины	1	1
239	именно в	3	1
240	этом смысле	2	1
241	должен был	1	1
242	весь мир	1	1
243	на которые	1	1
244	его с	1	1
245	только к	1	1
246	только одно	1	1
247	к области	2	1
248	ни в	2	1
249	нет в	1	1
250	окружающих его	1	1
251	не было	1	1
252	рядом с	1	1
253	она и	1	1
254	и составляет	3	1
255	и вся	1	1
256	меньше и	1	1
257	жизни но	2	1
258	должно быть	1	1
259	обратимся к	1	1
260	в связи	1	1
261	и становится	1	1
262	том что	9	1
263	нет никаких	1	1
264	не способна	1	1
265	таким же	1	1
266	заключать в	1	1
267	так же	2	1
268	и особенно	2	1
269	в такой	1	1
270	мы конечно	1	1
271	означало бы	1	1
272	мы говорим	1	1
273	неуверенности в	1	1
274	иного типа	1	1
275	а при	1	1
276	от его	1	1
277	в область	1	1
278	в данном	8	1
279	объективным как	1	1
280	но эта	1	1
281	которые в	1	1
282	по крайней	1	1
283	именно к	1	1
284	и более	1	1
285	мере в	1	1
286	жизни в	2	1
287	если нет	1	1
288	зрения и	2	1
289	по себе	1	1
290	в своем	4	1
291	ценность и	1	1
292	только о	1	1
293	она по	1	1
294	ни изменить	1	1
295	в любом	1	1
296	она не	1	1
