N	4gram	Bakhtin_Pr_3	Marksizm
1	бы то ни было	4	8
2	одного и того же	1	5
3	в то же время	12	3
4	один и тот же	1	3
5	на самом же деле	1	2
6	какого бы то ни	1	2
7	не может быть и	1	2
8	но в то же	3	2
9	может быть и речи	1	2
10	не может до конца	2	1
11	уже с самого начала	1	1
12	как к своему центру	1	1
13	они становятся как бы	1	1
14	и прежде всего в	1	1
15	и в другом направлении	1	1
16	может войти в мир	1	1
17	все более и более	1	1
18	не чем иным как	1	1
19	или во всяком случае	1	1
20	в большей или меньшей	1	1
21	как и во всякой	1	1
22	ибо как мы знаем	1	1
23	в прямо противоположных направлениях	1	1
24	какой бы то ни	1	1
