N	2gram	Bakhtin_sl_2	Analitik
1	в этом	16	18
2	не только	24	16
3	и в	39	16
4	в частности	1	16
5	так и	15	15
6	как и	6	14
7	но и	21	12
8	и не	22	12
9	том что	5	12
10	в том	5	12
11	в качестве	1	11
12	при этом	7	10
13	могут быть	7	10
14	а не	14	10
15	как бы	7	10
16	в этой	1	9
17	лишь в	3	9
18	ничего не	1	9
19	в пределах	13	9
20	и даже	7	9
21	то есть	26	9
22	в целом	1	8
23	в данном	2	8
24	и т.п	2	8
25	отнюдь не	1	8
26	особенно в	2	7
27	а также	3	7
28	о том	2	7
29	в себе	2	7
30	то что	2	7
31	в самом	1	6
32	и на	4	6
33	но в	6	6
34	в мире	1	6
35	говорить о	3	6
36	может быть	37	6
37	с другой	5	6
38	как это	3	6
39	в сторону	1	5
40	и к	6	5
41	произведения в	1	5
42	с одной	5	5
43	говорит о	1	5
44	в контексте	3	5
45	того же	1	4
46	между двумя	1	4
47	по преимуществу	1	4
48	в сущности	6	4
49	но не	6	4
50	по отношению	4	4
51	за пределы	2	4
52	как в	13	4
53	в своем	6	4
54	хотя и	2	4
55	в себя	2	4
56	он в	1	4
57	на этом	3	4
58	то же	4	4
59	не с	3	4
60	и тем	1	4
61	для него	7	4
62	точки зрения	8	4
63	не в	9	4
64	в конце	1	4
65	только не	1	4
66	не менее	4	4
67	во второй	1	4
68	можно сказать	1	4
69	во всех	12	4
70	композиционная форма	1	4
71	только в	5	4
72	и его	33	4
73	уже не	5	4
74	в сознании	1	4
75	у него	3	4
76	как раз	1	4
77	одной стороны	5	4
78	не может	20	4
79	и особенно	2	4
80	этом случае	6	4
81	все это	16	4
82	в один	1	4
83	отношению к	4	4
84	в их	2	3
85	высказывания в	1	3
86	проявляется в	1	3
87	не был	2	3
88	как уже	2	3
89	в нашем	2	3
90	на его	2	3
91	однако при	1	3
92	и сам	1	3
93	его от	3	3
94	попадает в	1	3
95	несмотря на	1	3
96	автора и	2	3
97	в эту	1	3
98	место в	1	3
99	не столько	3	3
100	на фоне	4	3
101	тем не	1	3
102	на себе	1	3
103	как о	2	3
104	никогда не	7	3
105	со своим	9	3
106	тем что	1	3
107	этом отношении	3	3
108	той или	5	3
109	как мы	7	3
110	приводит к	1	3
111	в результате	2	3
112	того или	1	3
113	борьба с	4	3
114	что и	3	3
115	и все	5	3
116	одной из	1	3
117	с ними	5	3
118	борьбы с	3	3
119	только на	1	3
120	или иной	5	3
121	именно в	2	3
122	в рамках	1	3
123	и за	1	3
124	или иного	1	3
125	этого слова	1	3
126	сюжета и	1	3
127	или в	2	3
128	романа в	5	3
129	прежде всего	8	3
130	а в	4	3
131	не знает	2	3
132	речь идет	1	2
133	отношения к	4	2
134	и до	1	2
135	ведь и	2	2
136	той же	3	2
137	а как	1	2
138	еще не	7	2
139	отличие от	13	2
140	в значительной	6	2
141	момент его	1	2
142	однако как	1	2
143	с их	3	2
144	диалог в	2	2
145	на то	1	2
146	вообще не	1	2
147	он не	2	2
148	что она	1	2
149	таким образом	8	2
150	значительной степени	6	2
151	них не	1	2
152	на этой	1	2
153	это было	1	2
154	в среднем	1	2
155	на протяжении	2	2
156	по себе	5	2
157	и романа	1	2
158	еще в	1	2
159	в этих	7	2
160	в своей	1	2
161	или точнее	1	2
162	с точки	3	2
163	в отличие	12	2
164	о себе	1	2
165	но эта	2	2
166	речи в	1	2
167	для нее	1	2
168	даже в	2	2
169	в таких	1	2
170	она не	6	2
171	в то	4	2
172	дело не	1	2
173	на котором	2	2
174	текста и	1	2
175	на него	2	2
176	же время	4	2
177	это именно	1	2
178	особого рода	1	2
179	или иных	1	2
180	в нас	1	2
181	роль в	2	2
182	с ее	2	2
183	языка и	9	2
184	те же	2	2
185	на которую	1	2
186	с ним	7	2
187	что в	3	2
188	за пределами	1	2
189	никак не	1	2
190	или их	1	2
191	его в	4	2
192	между тем	3	2
193	в его	7	2
194	вообще и	1	2
195	того что	1	2
196	с той	1	2
197	один из	5	2
198	себя в	8	2
199	от автора	1	2
200	для всех	4	2
201	в поэзии	2	2
202	одно из	1	2
203	и их	5	2
204	или даже	3	2
205	в одном	2	2
206	вовсе не	10	2
207	не о	1	2
208	здесь в	3	2
209	превращается в	1	2
210	его как	2	2
211	и слово	2	2
212	вступает в	1	2
213	вместе с	2	2
214	к его	2	2
215	к своему	9	2
216	этих случаях	2	2
217	высказывания и	1	2
218	тех или	1	2
219	и для	5	2
220	и другими	1	2
221	в двух	1	2
222	еще более	2	2
223	сказать что	3	2
224	другой стороны	1	2
225	и внутренне	2	2
226	речи и	3	2
227	выходят за	1	2
228	частности в	1	2
229	все что	2	2
230	к этому	1	2
231	в таком	4	2
232	и наиболее	1	1
233	как известно	1	1
234	этого в	1	1
235	и т	35	1
236	также и	2	1
237	идет о	1	1
238	можно лишь	1	1
239	мы уже	2	1
240	есть не	1	1
241	со всех	1	1
242	темы в	2	1
243	именно к	2	1
244	почти все	2	1
245	нечего делать	1	1
246	она вырождается	1	1
247	своему герою	1	1
248	которые при	2	1
249	диалога в	1	1
250	слова о	2	1
251	они были	1	1
252	всех сторон	2	1
253	то его	1	1
254	как миф	1	1
255	поэтического слова	4	1
256	как один	1	1
257	быть в	1	1
258	в чем	3	1
259	тем как	1	1
260	для жизни	1	1
261	совсем не	1	1
262	то он	1	1
263	в противовес	2	1
264	почти до	2	1
265	не все	2	1
266	из чужого	1	1
267	сама по	3	1
268	и должны	1	1
269	контексте и	1	1
270	независимо от	2	1
271	однако не	1	1
272	применении к	1	1
273	и наконец	5	1
274	а со	1	1
275	более или	2	1
276	есть на	2	1
277	следует говорить	1	1
278	себе как	2	1
279	не приходится	3	1
280	бы и	3	1
281	все эти	6	1
282	чужих слов	6	1
283	которые в	2	1
284	этом фоне	1	1
285	рассказ о	1	1
286	конкретное единство	1	1
287	его словесные	2	1
288	и те	1	1
289	как он	2	1
290	но на	1	1
291	так сказать	6	1
292	быть только	1	1
293	даны и	1	1
294	в нем	19	1
295	время и	1	1
296	оно в	1	1
297	всех этих	4	1
298	борьбу с	2	1
299	характер в	1	1
300	драме или	1	1
301	и по	1	1
302	конца и	1	1
303	человека в	5	1
304	в каждом	1	1
305	мне в	1	1
306	самого автора	2	1
307	об этом	1	1
308	однако такая	1	1
309	не выходят	2	1
310	от степени	1	1
311	входит в	4	1
312	это не	5	1
313	то все	1	1
314	ни в	4	1
315	в них	6	1
316	все равно	1	1
317	далеко не	2	1
318	но лишь	2	1
319	этого не	1	1
320	всегда и	1	1
321	прозы в	4	1
322	ведет к	1	1
323	воля и	1	1
324	такой же	1	1
325	нисколько не	1	1
326	сосредоточиться на	1	1
327	автором и	1	1
328	и при	2	1
329	в такой	1	1
330	с идеей	1	1
331	прийти к	1	1
332	на каждом	2	1
333	самого героя	1	1
334	стилизации и	1	1
335	от поэтического	1	1
336	далека от	1	1
337	и более	2	1
338	однако в	2	1
339	зрения и	2	1
340	форму в	1	1
341	и вся	1	1
342	до известной	1	1
343	на слова	1	1
344	тогда когда	2	1
345	одна из	4	1
346	которого он	2	1
347	материала в	2	1
348	облекается в	1	1
349	эта внутренняя	1	1
350	и имеет	1	1
351	для всего	1	1
352	смысл его	2	1
353	вне высказывания	1	1
354	путем его	1	1
