N	2gram	Tiupa_Narr_1	VerxiiNi
1	и в	19	26
2	таким образом	1	22
3	в этом	17	15
4	точки зрения	10	13
5	как бы	4	12
6	в том	18	11
7	из этих	3	10
8	не только	32	10
9	и с	4	10
10	может быть	25	10
11	после смерти	2	10
12	связи с	4	9
13	в области	2	9
14	но и	23	9
15	что в	3	9
16	но не	5	8
17	в общем	1	8
18	и у	1	8
19	с другой	8	8
20	и не	20	8
21	но в	6	7
22	но все	4	7
23	из них	3	7
24	том что	14	7
25	потому что	1	7
26	к нему	5	7
27	с одной	7	7
28	в религиозном	1	7
29	то что	11	7
30	а с	3	7
31	одной стороны	7	7
32	того же	1	6
33	все же	7	6
34	все эти	2	6
35	в себе	8	6
36	с точки	2	6
37	к тому	7	6
38	так и	9	6
39	и т.д	7	6
40	о том	6	6
41	в конце	1	6
42	что и	1	6
43	несмотря на	2	6
44	и потому	2	6
45	отношение к	2	5
46	сих пор	1	5
47	и к	1	5
48	тому же	5	5
49	в силу	4	5
50	в мире	9	5
51	лишь в	1	5
52	или менее	2	5
53	по крайней	1	5
54	не имеет	2	5
55	никогда не	3	5
56	с другом	1	5
57	в его	9	5
58	крайней мере	1	5
59	до сих	1	5
60	а не	12	5
61	к жизни	1	5
62	друг с	1	5
63	и для	2	5
64	так же	2	5
65	одной из	4	5
66	более или	2	5
67	том числе	6	5
68	в котором	1	4
69	то же	4	4
70	в самом	1	4
71	в этой	5	4
72	и по	1	4
73	что все	1	4
74	то есть	19	4
75	с другими	1	4
76	должен был	1	4
77	он не	3	4
78	далеко не	5	4
79	и тогда	1	4
80	в которых	1	4
81	в то	3	4
82	в нем	4	4
83	а в	11	4
84	числе и	4	4
85	что оно	1	4
86	и только	2	4
87	только в	4	4
88	ничем не	1	4
89	не может	10	4
90	из которых	4	4
91	в смысле	1	4
92	и от	1	4
93	что он	6	4
94	же как	3	3
95	если в	3	3
96	в своем	2	3
97	когда он	3	3
98	и как	5	3
99	за собой	4	3
100	что это	3	3
101	так или	2	3
102	при этом	9	3
103	и при	1	3
104	тем не	3	3
105	если бы	1	3
106	не менее	3	3
107	как о	1	3
108	представляет собой	13	3
109	к концу	1	3
110	но по	1	3
111	можно сказать	5	3
112	в значительной	2	3
113	того что	1	3
114	хотя бы	4	3
115	в качестве	21	3
116	уже не	5	3
117	для него	2	3
118	и даже	3	3
119	или иначе	3	3
120	в связи	2	3
121	в рамках	12	3
122	с этой	1	3
123	в результате	2	3
124	отношению к	6	3
125	в таком	2	3
126	точно так	2	3
127	одним из	2	2
128	и больше	1	2
129	мы имеем	2	2
130	надо было	1	2
131	грань между	1	2
132	еще не	7	2
133	и на	3	2
134	бы то	3	2
135	с его	6	2
136	во всех	1	2
137	в новом	1	2
138	или иное	2	2
139	что именно	2	2
140	некоторые из	1	2
141	и наконец	1	2
142	ни один	1	2
143	не могла	1	2
144	они в	2	2
145	не как	2	2
146	его от	1	2
147	состоит в	13	2
148	то ни	3	2
149	те же	4	2
150	в глазах	1	2
151	в них	1	2
152	не всегда	2	2
153	мы видели	1	2
154	и сейчас	2	2
155	признать что	1	2
156	не в	14	2
157	в россии	1	2
158	как от	1	2
159	вплоть до	2	2
160	и молитвы	1	2
161	не могло	2	2
162	в самой	1	2
163	же время	4	2
164	и является	1	2
165	и после	2	2
166	этом отношении	3	2
167	ему в	2	2
168	ли это	1	2
169	и здесь	1	2
170	начиная с	1	2
171	не могут	1	2
172	отличается от	4	2
173	той или	4	2
174	утверждать что	2	2
175	и сами	1	2
176	то или	3	2
177	приводит к	2	2
178	не с	3	2
179	особенно в	3	2
180	мысль о	1	2
181	в виду	1	2
182	а также	7	2
183	между тем	3	2
184	вслед за	4	2
