N	3gram	Trubetskoy_1	DiskursI
1	в данном случае	3	6
2	в том что	15	6
3	то же время	2	5
4	как и в	2	5
5	по отношению к	9	4
6	в то же	2	4
7	с одной стороны	2	4
8	не может быть	3	3
9	о том что	4	3
10	и того же	3	2
11	и может быть	2	2
12	состоит в том	1	2
13	в этом случае	4	2
14	а потом и	1	2
15	что же касается	2	2
16	с точки зрения	8	2
17	и не может	1	2
18	заключает в себе	2	2
19	одно и то	1	2
20	и то что	3	2
21	и то же	1	2
22	но при этом	1	2
23	дело в том	1	2
24	на первый взгляд	1	2
25	одного и того	3	2
26	не в состоянии	2	1
27	как сказано выше	3	1
28	время от времени	2	1
29	двух или нескольких	2	1
30	в самом деле	5	1
31	заключающие в себе	1	1
32	друг от друга	6	1
33	с другой стороны	4	1
34	из двух или	1	1
35	друг на друга	1	1
36	бы то ни	2	1
37	что как сказано	2	1
38	только то что	2	1
39	данном случае не	1	1
40	но для этого	1	1
41	при этом не	1	1
42	на каждом шагу	1	1
43	а с другой	2	1
44	в общих чертах	1	1
45	к одному из	1	1
46	что входит в	1	1
47	то ни было	2	1
48	мы все же	2	1
49	говоря уже о	1	1
50	одно из двух	1	1
51	каждый из них	1	1
52	не в том	1	1
53	быть и не	1	1
54	во всяком случае	2	1
55	и той же	1	1
56	между тем как	1	1
57	все же остается	1	1
58	та или иная	1	1
59	то есть в	1	1
60	с самого начала	1	1
61	мысль о том	1	1
62	не менее в	1	1
63	друг друга и	1	1
64	в том числе	1	1
65	одной и той	1	1
66	тем не менее	4	1
67	все то что	1	1
68	по крайней мере	1	1
69	том числе и	1	1
70	не говоря уже	1	1
