N	2gram	Nazirov_Tr_1	Myshleni
1	в том	2	42
2	том что	4	35
3	с помощью	1	31
4	таким образом	1	25
5	в развитии	1	25
6	в этом	9	24
7	и в	18	20
8	что в	4	19
9	заключается в	1	18
10	то же	5	16
11	не только	8	15
12	то что	4	15
13	как мы	1	13
14	при этом	3	12
15	может быть	7	12
16	потому что	2	12
17	в его	3	11
18	так же	4	11
19	этого слова	1	11
20	в целом	4	11
21	и то	2	10
22	в истории	1	10
23	в себе	4	10
24	того что	1	10
25	мы видим	1	10
26	только в	1	10
27	и как	3	9
28	как и	5	9
29	между тем	1	9
30	что и	2	9
31	с одной	1	9
32	слова в	1	9
33	ребенка и	2	9
34	как это	3	9
35	но и	4	9
36	понятие в	1	8
37	и что	4	8
38	взрослого человека	1	8
39	вместе с	1	8
40	и не	7	8
41	в результате	1	8
42	самом деле	1	7
43	в своей	1	7
44	тем самым	3	7
45	могут быть	1	7
46	того чтобы	1	7
47	тем что	2	7
48	а не	1	7
49	смысле этого	1	7
50	как бы	7	7
51	в самом	2	6
52	той же	1	6
53	и на	7	6
54	с тем	2	6
55	к одному	1	6
56	по своей	1	6
57	к тому	2	6
58	можно было	1	6
59	его в	2	6
60	что он	6	6
61	уже в	3	6
62	развития в	1	6
63	не может	5	6
64	между собой	1	5
65	как в	3	5
66	все же	5	5
67	перед нами	2	5
68	все эти	3	5
69	это не	5	5
70	только не	1	5
71	и его	6	5
72	не является	1	5
73	никогда не	2	5
74	так и	5	5
75	о том	2	5
76	говорит он	1	5
77	в частности	2	5
78	в своем	3	4
79	как он	1	4
80	и с	7	4
81	с этой	1	4
82	в ходе	2	4
83	и при	1	4
84	по сравнению	1	4
85	не в	2	4
86	тому что	1	4
87	что с	3	4
88	сходство с	1	4
89	что оно	1	4
90	роль в	1	4
91	все время	1	4
92	только что	1	4
93	друг друга	2	4
94	ребенка в	2	4
95	в области	1	4
96	обратимся к	1	4
97	для нас	1	4
98	во всяком	1	4
99	на деле	1	3
100	в виду	1	3
