N	2gram	Vinokur_St_2	PoTuStor
1	может быть	2	17
2	и в	29	16
3	и пр	8	12
4	в этом	21	9
5	и проч	1	9
6	таким образом	10	9
7	мы можем	1	9
8	прежде всего	5	9
9	и с	4	8
10	точки зрения	5	8
11	и его	6	8
12	не может	2	8
13	совершенно не	2	8
14	с его	2	7
15	не только	19	7
16	сказать что	2	7
17	самом деле	3	6
18	конечно не	1	6
19	при этом	2	6
20	с точки	2	6
21	и это	2	6
22	для него	4	6
23	и к	4	6
24	еще не	1	5
25	в чем	1	5
26	отношение к	1	5
27	все эти	2	5
28	что такое	2	5
29	ни в	3	5
30	нуждается в	1	5
31	как бы	5	5
32	на самом	3	4
33	и на	6	4
34	но в	8	4
35	в этой	2	4
36	в нем	4	4
37	его в	2	4
38	в один	2	4
39	все это	11	4
40	самого начала	3	4
41	как мы	1	4
42	с самого	3	4
43	так и	9	4
44	можно сказать	1	4
45	в его	13	4
46	с ними	1	4
47	только в	2	4
48	и их	1	4
49	так как	2	4
50	и даже	3	4
51	но и	19	4
52	и не	9	4
53	и все	1	4
54	хотя бы	3	4
55	все что	1	4
56	если б	4	3
57	едва ли	1	3
58	и значение	1	3
59	в общем	3	3
60	и как	2	3
61	с их	1	3
62	и теперь	2	3
63	на этом	1	3
64	на этой	1	3
65	этом смысле	1	3
66	том что	27	3
67	во время	2	3
68	сих пор	5	3
69	в одном	6	3
70	в основе	1	3
71	до сих	6	3
72	чем не	1	3
73	те же	1	3
74	по сравнению	1	3
75	с другими	1	3
76	в том	27	3
77	только на	1	3
78	всяком случае	3	3
79	даже не	1	3
80	в области	2	3
81	и др	2	3
82	но оно	1	3
83	вместе с	7	3
84	и потому	2	3
85	как это	2	3
86	сравнению с	1	3
87	что в	19	3
88	в этих	3	3
89	а в	1	3
90	то что	11	3
91	между ними	1	3
92	жизни и	1	3
93	во всяком	3	3
94	ту же	1	2
95	склонен к	1	2
96	же как	3	2
97	в самом	7	2
98	мы не	1	2
