N	3gram	Losev_Vlad_1	DiskursI
1	в том что	7	6
2	то же время	4	5
3	в этом отношении	1	4
4	в то же	4	4
5	с одной стороны	1	4
6	так и в	1	3
7	не может быть	3	3
8	о том что	7	3
9	что же касается	4	2
10	и не может	1	2
11	но в данном	1	2
12	одно и то	1	2
13	и то что	4	2
14	содержит в себе	1	2
15	и то же	1	2
16	дело в том	4	2
17	в свое время	5	2
18	при этом в	1	2
19	том что в	3	1
20	в чем не	1	1
21	мы имеем дело	1	1
22	потому что в	1	1
23	в самом деле	1	1
24	же время и	1	1
25	чего бы то	1	1
26	так и его	1	1
27	с другой стороны	3	1
28	в одних случаях	1	1
29	и в то	2	1
30	бы то ни	1	1
31	только то что	1	1
32	но и здесь	1	1
33	но это не	1	1
34	а с другой	1	1
35	и в частности	2	1
36	в это время	1	1
37	в целом и	1	1
38	с ней в	1	1
39	свободное отношение к	1	1
40	то ни было	1	1
41	говоря уже о	1	1
42	а также и	1	1
43	том что и	1	1
44	о чем не	1	1
45	с теми же	1	1
46	во всяком случае	2	1
47	и той же	1	1
48	ни в чем	1	1
49	мысль о том	1	1
50	можно сказать что	2	1
51	же касается самого	1	1
52	одной и той	1	1
53	тем не менее	2	1
54	лицом к лицу	1	1
55	в себе не	1	1
56	не говоря уже	1	1
