N	2gram	Tiupa_Anal_3	Mirosoze
1	может быть	9	30
2	не только	22	29
3	и в	18	28
4	не может	2	28
5	но и	13	25
6	а не	9	25
7	он не	6	24
8	в этом	14	20
9	не было	3	18
10	у него	1	17
11	не в	6	16
12	потому что	1	16
13	в ней	2	15
14	в своей	1	15
15	человека и	1	14
16	и есть	1	14
17	он был	1	14
18	никогда не	5	14
19	человека в	1	13
20	в нем	2	13
21	и он	2	12
22	в самом	5	11
23	для него	6	11
24	и не	12	11
25	в своем	4	10
26	было бы	3	10
27	что в	9	10
28	свободы и	1	10
29	в мире	5	10
30	прежде всего	5	10
31	что он	4	10
32	и потому	2	10
33	и все	2	10
34	с тем	2	9
35	и его	13	9
36	не есть	4	9
37	в его	7	9
38	есть лишь	1	9
39	из самых	1	8
40	в глубине	2	8
41	но не	7	8
42	но в	2	7
43	в себе	2	7
44	в конце	5	7
45	в самой	1	7
46	любви к	2	7
47	того что	1	7
48	в свободе	1	7
49	и на	4	6
50	он сам	1	6
51	лишь в	5	6
52	в этой	6	6
53	ведет к	1	6
54	свобода и	1	6
55	только в	2	6
56	вместе с	2	6
57	все это	3	6
58	в том	9	6
59	свободы но	1	5
60	это не	2	5
61	в самую	1	5
62	как и	14	5
63	у нас	1	5
64	не могут	1	5
65	то что	2	5
66	мира и	2	5
67	отношения к	2	4
68	свобода не	1	4
69	в христианском	1	4
70	или к	1	4
71	это и	2	4
72	есть не	2	4
73	был еще	1	4
74	к преступлению	1	4
75	отношение к	1	4
76	за пределы	1	4
77	чем у	1	4
78	не как	2	4
79	и по	2	4
80	в них	2	4
81	точки зрения	3	4
82	в их	6	4
83	мог бы	1	4
84	что и	5	4
85	один из	2	4
86	человеческой личности	1	4
87	уже не	5	4
88	уже в	3	4
89	а в	10	4
90	тем что	2	4
91	нет в	1	4
92	был в	1	4
93	с этой	1	4
94	на пути	2	4
95	от него	1	4
96	не знает	1	4
97	его не	3	3
98	с его	8	3
99	к богу	1	3
100	с этим	3	3
101	когда он	2	3
102	бы и	2	3
103	и еще	1	3
104	и вот	2	3
105	то есть	10	3
106	его в	3	3
107	в жизни	2	3
108	только одно	1	3
109	не мог	2	3
110	том что	12	3
111	но если	1	3
112	ничего не	3	3
113	в момент	2	3
114	к тому	6	3
115	в ее	3	3
116	особенно в	1	3
117	учение о	1	3
118	все его	1	3
119	себя в	4	3
120	одно из	1	3
121	и их	1	3
122	себя и	1	3
123	о себе	2	3
124	должно быть	1	3
125	в динамике	1	3
126	хотя бы	1	3
127	будто бы	1	3
128	в иной	2	3
129	есть и	1	3
130	с новыми	3	2
131	связана с	1	2
132	корней и	1	2
133	к чему	1	2
134	вопрос о	1	2
135	истории в	1	2
136	не все	1	2
137	по отношению	7	2
138	в истории	1	2
139	как в	3	2
140	все же	4	2
141	и как	4	2
142	и к	4	2
143	от этого	1	2
144	и у	1	2
145	все эти	2	2
146	бы не	1	2
147	приводит к	4	2
148	с их	3	2
149	пройти через	1	2
150	если бы	1	2
151	к миру	1	2
152	этом он	2	2
153	входит в	2	2
154	который и	1	2
155	с самим	2	2
156	самом центре	1	2
157	место в	1	2
158	мысли и	1	2
159	от его	2	2
160	сих пор	1	2
161	открывается в	1	2
162	в то	3	2
163	в основе	1	2
164	того чтобы	1	2
165	русский человек	1	2
166	по своей	2	2
167	личности в	3	2
168	когда мы	2	2
169	могут быть	2	2
170	и от	2	2
171	живет в	1	2
172	разного рода	1	2
173	с ним	1	2
174	о своей	2	2
175	о том	6	2
176	человека как	1	2
177	о своих	2	2
178	и мир	1	2
179	добрый и	2	2
180	жизни и	1	2
181	человека с	1	2
182	ведь это	1	2
183	отношению к	7	2
184	как будто	1	2
185	для того	1	2
186	от свободы	1	2
187	личность и	1	2
188	до сих	1	2
189	на этот	1	2
190	его как	3	2
191	о чем	4	2
192	его собственной	1	2
193	он и	3	2
194	порядку и	1	2
195	по своему	2	2
196	в той	2	2
197	как бы	10	2
198	бытия с	1	2
199	в начале	6	2
200	и для	2	2
201	бы в	1	2
202	своих героев	1	2
203	жизни в	1	2
204	в свою	5	2
205	сказать что	2	2
206	свободой и	1	2
207	к этой	1	2
208	к этому	3	2
209	все что	1	2
210	я и	3	1
211	обращено к	1	1
212	также что	1	1
213	у гоголя	1	1
214	сердце его	1	1
215	он равно	1	1
216	и ценностей	1	1
217	на самом	1	1
218	его внутреннюю	1	1
219	к другому	1	1
220	и до	1	1
221	жизни ее	1	1
222	в зависимости	1	1
223	мы имеем	5	1
224	мы не	3	1
225	ни у	1	1
226	он идет	1	1
227	самого ивана	2	1
228	начинается с	1	1
229	слово о	1	1
230	что иное	1	1
231	принадлежит к	4	1
232	оно есть	1	1
233	я не	1	1
234	бы ни	1	1
235	ему в	1	1
236	зависимости от	1	1
237	не способен	1	1
238	о судьбе	1	1
239	и был	1	1
240	себе а	1	1
241	стороны его	1	1
242	радикально меняется	1	1
243	еще не	6	1
244	как ему	1	1
245	иное как	1	1
246	себя а	1	1
247	во всех	2	1
248	тем как	1	1
249	то мы	1	1
250	самом деле	2	1
251	и л	1	1
252	если в	3	1
253	человеческих отношений	1	1
254	отличие от	2	1
255	новым словом	1	1
256	что они	3	1
257	как говорит	3	1
258	более чем	2	1
259	что во	1	1
260	опыта к	1	1
261	как к	2	1
262	в иную	1	1
263	во весь	1	1
264	говорит что	1	1
265	силе и	1	1
266	сам бог	1	1
267	в противоположность	2	1
268	со своей	8	1
269	пути но	1	1
270	и идет	1	1
271	идет не	1	1
272	между свободой	1	1
273	на могиле	1	1
274	культуры для	1	1
275	роль в	3	1
276	во многих	1	1
277	духовной культуры	1	1
278	в записках	1	1
279	кто бы	1	1
280	видел в	1	1
281	которой не	1	1
282	ключ к	3	1
283	судьбы но	1	1
284	всех этих	1	1
285	с именем	1	1
286	ним не	1	1
287	в силу	1	1
288	с таким	1	1
289	этой темы	1	1
290	ни был	1	1
291	значительной степени	2	1
292	в каждом	3	1
293	подход к	2	1
294	поистине можно	1	1
295	верно по	1	1
296	он ничего	1	1
297	явившийся в	1	1
298	широк человек	1	1
299	это было	1	1
300	не умеет	1	1
301	от одного	1	1
302	центральное место	1	1
303	в иные	1	1
304	искусство никогда	1	1
305	человек который	1	1
306	мировой литературы	1	1
307	которой он	1	1
308	хотя в	2	1
309	с еще	1	1
310	же есть	1	1
311	от своего	1	1
312	свободы я	1	1
313	и без	3	1
314	три искушения	1	1
315	это верно	1	1
316	не от	2	1
317	в отличие	2	1
318	есть явление	1	1
319	и ту	2	1
320	не путем	1	1
321	должны были	1	1
322	то от	1	1
323	мир и	1	1
324	войти в	1	1
325	не должно	3	1
326	бы быть	1	1
327	вовсе не	1	1
328	а от	1	1
329	не менее	4	1
330	вплоть до	2	1
331	два полюса	1	1
332	занимает центральное	1	1
333	в русской	7	1
334	весь смысл	1	1
335	на два	2	1
336	у кого	1	1
337	миру но	1	1
338	руку а	1	1
339	ставит его	1	1
340	не могло	1	1
341	себе самом	1	1
342	миром с	1	1
343	казалось бы	1	1
344	с одним	1	1
345	многих отношениях	1	1
346	у шекспира	1	1
347	во всем	3	1
348	а лишь	1	1
349	к себе	1	1
350	и всех	1	1
351	лишь один	1	1
352	все еще	1	1
353	бы это	1	1
354	творчества не	1	1
355	оно не	1	1
356	и открывает	1	1
357	и о	1	1
358	культуры и	1	1
359	в пределах	4	1
360	так в	3	1
361	встреча с	1	1
362	не столько	3	1
363	это путь	1	1
364	шекспира и	4	1
365	природе своей	1	1
366	и сам	4	1
367	есть поистине	2	1
368	так и	14	1
369	по природе	1	1
370	и каждый	1	1
371	существенным для	1	1
372	жизнь и	3	1
373	является в	1	1
374	поэтому в	2	1
375	имя которых	1	1
376	и даже	8	1
377	об этом	2	1
378	именно потому	1	1
379	его была	1	1
380	является на	1	1
381	при котором	1	1
382	в глаза	2	1
383	одного из	1	1
384	в значительной	2	1
385	заключается в	1	1
386	путь к	3	1
387	от них	1	1
388	во всей	1	1
389	восходит к	3	1
390	и только	1	1
391	в описании	1	1
392	мы уже	1	1
393	в сферу	1	1
394	мы читаем	1	1
395	одной из	1	1
396	этот вопрос	1	1
397	между тем	5	1
398	и ее	2	1
399	индивидуальности к	1	1
400	так что	1	1
401	завершение в	1	1
402	с нею	2	1
403	литературы в	1	1
404	против собственной	1	1
405	ответ на	3	1
406	его и	1	1
407	себе в	1	1
408	всяком случае	2	1
409	что она	2	1
410	цели и	1	1
411	в одном	4	1
412	произведения и	2	1
413	и утверждение	1	1
414	к ним	1	1
415	рода это	1	1
416	ему казалось	1	1
417	и никогда	1	1
418	в новый	1	1
419	всего двух	1	1
420	рядом с	1	1
421	обращением к	1	1
422	русской поэзии	2	1
423	как у	1	1
424	к порядку	1	1
425	а именно	1	1
426	к которому	1	1
427	чем он	1	1
428	свободы неизбежно	1	1
429	он во	1	1
430	мира это	1	1
431	и др	1	1
432	что не	3	1
433	говорит о	2	1
434	свой путь	1	1
435	жизнь в	1	1
436	для их	1	1
437	культуры он	1	1
438	не видит	1	1
439	мог быть	1	1
440	есть бог	1	1
441	вступает в	3	1
442	в частности	12	1
443	в старом	1	1
444	все основные	1	1
445	к его	1	1
446	на периферии	1	1
447	в столь	1	1
448	к жизни	3	1
449	и остроте	1	1
450	в течение	1	1
451	связаны с	1	1
452	есть на	1	1
453	это его	1	1
454	да и	2	1
455	потому и	1	1
456	отречение от	1	1
457	что мы	2	1
458	было сказано	1	1
459	своей жизни	1	1
460	но это	1	1
461	о его	2	1
462	от нас	1	1
463	уже на	1	1
464	отношений и	1	1
465	и литературные	1	1
466	бы он	1	1
467	тем более	1	1
468	не должен	2	1
469	о двух	1	1
470	я в	5	1
471	личности и	2	1
472	но всегда	2	1
473	к ее	1	1
474	он же	1	1
475	это все	1	1
476	от всех	1	1
477	впервые в	3	1
478	не что	1	1
479	ко всему	1	1
480	та же	1	1
481	лишь для	1	1
482	в искусстве	2	1
483	в своих	1	1
484	пришел в	1	1
485	и свою	1	1
486	во всяком	2	1
487	они не	1	1
488	слова это	1	1
