N	3gram	Potebnia_M_1	SlovoVZh
1	по отношению к	13	11
2	не может быть	9	7
3	дело в том	2	4
4	как если бы	1	4
5	в том что	13	4
6	тем не менее	6	3
7	бы то ни	2	3
8	этой точки зрения	1	3
9	до сих пор	1	3
10	то ни было	1	3
11	это не так	1	2
12	зависит от того	2	2
13	на самом деле	1	2
14	с другой стороны	5	2
15	что не может	3	2
16	одной стороны и	1	2
17	с точки зрения	3	2
18	но тем не	3	2
19	вместе со словом	1	2
20	с этой стороны	1	2
21	с одной стороны	3	2
22	но все же	1	1
23	а между тем	3	1
24	и в этом	6	1
25	в нашем же	1	1
26	и потому не	1	1
27	имеет дело с	1	1
28	только в нем	1	1
29	все более и	2	1
30	бы они ни	2	1
31	более или менее	1	1
32	во всяком случае	1	1
33	так как в	2	1
34	как одно из	1	1
35	в этом смысле	4	1
36	между тем как	1	1
37	по себе не	1	1
38	и таким образом	1	1
39	в то время	1	1
40	в словах и	1	1
41	убедиться в этом	1	1
42	так относится к	1	1
43	и степень его	1	1
44	могут быть только	2	1
45	как в жизни	1	1
46	что мы имеем	1	1
47	сам по себе	1	1
48	сами по себе	1	1
49	таким образом мы	1	1
50	не имеют общего	1	1
51	то что мы	1	1
52	в свою очередь	4	1
53	во всех языках	1	1
54	сказать что и	1	1
55	но и в	4	1
56	же время не	1	1
57	на этом основании	1	1
58	и независимо от	1	1
59	о том что	1	1
60	в нем находит	1	1
61	только то что	1	1
62	в этом отношении	1	1
63	что не только	2	1
64	с самого начала	3	1
65	только там где	1	1
66	связь слова с	1	1
67	более и более	2	1
68	можно было бы	1	1
69	если бы не	2	1
70	то же время	3	1
71	подобно тому как	3	1
72	но в них	1	1
73	не может стать	1	1
74	в противном случае	3	1
75	они ни были	2	1
76	и в истории	1	1
77	может быть только	1	1
78	по крайней мере	2	1
79	в то же	3	1
80	бы даже и	1	1
81	и грамматических форм	1	1
82	в том и	2	1
83	сама по себе	3	1
84	чтобы убедиться в	1	1
85	том что все	1	1
86	так же как	1	1
87	не совпадает с	1	1
88	не может получить	1	1
89	для нас не	1	1
90	она не может	1	1
91	как и в	2	1
92	мы увидим что	3	1
