N	2gram	Bakhtin_Fr_5	Psycholo
1	то что	2	44
2	и в	45	33
3	в этом	14	28
4	и что	2	25
5	как бы	12	25
6	потому что	7	24
7	для того	6	23
8	том что	7	22
9	того чтобы	6	22
10	может быть	2	22
11	что в	12	21
12	в том	10	21
13	о том	4	20
14	что он	6	20
15	сейчас же	1	16
16	и мы	1	15
17	как это	4	14
18	что это	2	13
19	таким образом	8	13
20	то есть	25	13
21	так же	8	13
22	и не	15	13
23	все это	7	13
24	сказать что	4	13
25	самом деле	5	12
26	в самом	4	12
27	было бы	2	12
28	все то	1	12
29	к тому	2	12
30	и все	7	12
31	если мы	2	12
32	так как	6	12
33	он не	6	11
34	что все	2	11
35	на то	1	10
36	что она	3	10
37	если бы	1	10
38	в его	13	10
39	как она	1	10
40	не может	5	10
41	то же	11	9
42	в этой	6	9
43	и если	2	9
44	как раз	5	9
45	в конце	7	8
46	как будто	1	8
47	для этого	1	8
48	вместе с	3	8
49	характера и	1	8
50	в своем	11	7
51	раз в	2	7
52	не только	14	7
53	в нем	10	7
54	и только	2	7
55	до конца	1	7
56	же точно	1	7
57	когда он	2	7
58	на самом	5	6
59	в сущности	4	6
60	в ней	8	6
61	что они	1	6
62	перед нами	4	6
63	все эти	5	6
64	в себе	1	6
65	и вот	3	6
66	во время	12	6
67	точки зрения	4	6
68	но он	3	6
69	что эта	2	6
70	тому что	1	6
71	в самой	8	6
72	же самое	2	6
73	никак не	1	6
74	это не	3	6
75	мы видим	5	6
76	у него	4	6
77	а не	4	6
78	совершенно верно	1	6
79	шекспира и	2	6
80	как на	4	6
81	это и	5	5
82	мы уже	4	5
83	полагает что	1	5
84	мы не	4	5
85	в целом	2	5
86	и на	5	5
87	с этим	4	5
88	все же	2	5
89	целый ряд	1	5
90	и как	5	5
91	как он	3	5
92	как и	10	5
93	нисколько не	3	5
94	никогда не	1	5
95	и его	13	5
96	и это	4	5
97	казалось бы	1	5
98	с ним	5	5
99	что для	1	5
100	вовсе не	8	5
101	мы можем	2	5
102	связь с	3	5
103	из этого	1	5
104	и есть	2	4
105	той же	4	4
106	говорит о	1	4
107	что автор	1	4
108	не будет	1	4
109	это было	4	4
110	с тем	2	4
111	слова и	2	4
112	смысл и	1	4
113	в своей	3	4
114	с точки	2	4
115	одна из	1	4
116	ее с	1	4
117	на него	2	4
118	а в	4	4
119	с другом	2	4
120	у нас	1	4
121	так например	2	4
122	как мы	8	4
123	и о	4	4
124	что у	1	4
125	можно было	4	4
126	жизнь и	2	4
127	этой жизни	3	4
128	об этом	4	4
129	о нем	1	4
130	не просто	1	4
131	того что	3	4
132	в двух	1	4
133	только в	4	4
134	себя в	1	4
135	в жизни	1	4
136	из них	1	4
137	реального времени	1	4
138	по поводу	4	4
139	что не	1	4
140	в частности	1	4
141	друг с	2	4
142	жизни и	8	4
143	ее в	1	4
144	это в	2	4
145	к этому	2	4
146	в таком	1	4
147	например в	5	3
148	же как	4	3
149	и сюжет	1	3
150	и до	2	3
151	и этот	1	3
152	и за	2	3
153	говорить о	2	3
154	как я	1	3
155	то это	1	3
156	и он	3	3
157	но не	4	3
158	в сторону	2	3
159	значение имеет	1	3
160	как в	3	3
161	от этого	2	3
162	не можем	1	3
163	та же	1	3
164	он все	1	3
165	на этом	5	3
166	в основу	1	3
167	его в	5	3
168	должен был	1	3
169	ни в	3	3
170	этого слова	1	3
171	ни одной	1	3
172	далеко не	1	3
173	обратимся к	1	3
174	всех этих	6	3
175	и сейчас	1	3
176	в которых	3	3
177	их в	1	3
178	что этот	1	3
179	этих событий	1	3
180	в то	11	3
181	в основе	4	3
182	эпизод с	1	3
183	мы все	1	3
184	больше того	1	3
185	и для	3	3
186	нет ни	2	3
187	во все	2	3
188	с ее	5	3
189	нам о	2	3
190	и говорит	1	3
191	в пределах	2	3
192	в мире	1	3
193	так и	6	3
194	понятно что	1	3
195	и здесь	4	3
196	это то	1	3
197	которой мы	1	3
198	что и	7	3
199	во всей	1	3
200	вслед за	1	3
201	том как	2	3
202	в уста	2	3
203	конечно не	2	3
204	на сцене	1	3
205	в виде	1	3
206	тому же	4	3
207	в одном	3	3
208	из нее	1	3
209	тем что	1	3
210	и из	1	3
211	до сих	3	3
212	но и	10	3
213	на этот	3	3
214	здесь в	4	3
215	не было	3	3
216	в той	1	3
217	да и	1	3
218	еще раз	1	3
219	сих пор	3	3
220	указывает на	1	3
221	тот же	1	3
222	во всяком	1	3
223	убийства и	2	2
224	также и	7	2
225	он может	1	2
226	из его	2	2
227	почти всегда	3	2
228	сам автор	1	2
229	все те	1	2
230	жизни для	1	2
231	всей ее	1	2
232	а как	1	2
233	нам в	1	2
234	принадлежит к	1	2
235	и ее	1	2
236	это время	2	2
237	столь же	1	2
238	с его	7	2
239	во всех	13	2
240	же самые	1	2
241	они действительно	1	2
242	в одной	3	2
243	чем мы	1	2
244	и наконец	2	2
245	не в	7	2
246	и к	5	2
247	в каком-то	1	2
248	но в	14	2
249	бы и	1	2
250	бы не	1	2
251	автором как	1	2
252	из этих	3	2
253	нами в	1	2
254	при этом	2	2
255	одной и	1	2
256	никому не	1	2
257	он полагает	1	2
258	в нее	1	2
259	на все	2	2
260	будем еще	1	2
261	в них	6	2
262	о которых	1	2
263	он знает	2	2
264	такой же	4	2
265	в котором	1	2
266	в их	4	2
267	что всякий	1	2
268	и той	1	2
269	даже в	2	2
270	надо было	1	2
271	что ему	1	2
272	не имеет	3	2
273	не по	1	2
274	взглянуть на	2	2
275	больше чем	2	2
276	затем чтобы	1	2
277	же время	9	2
278	и является	1	2
279	свидетельствуют о	1	2
280	но все	1	2
281	чтобы сделать	1	2
282	как только	1	2
283	и другим	1	2
284	в пьесе	2	2
285	что при	1	2
286	ни одно	1	2
287	без всякого	1	2
288	то время	3	2
289	и когда	1	2
290	то как	1	2
291	те же	1	2
292	времени и	1	2
293	и с	10	2
294	пьесы в	1	2
295	ничего не	4	2
296	можно сказать	2	2
297	образом в	1	2
298	и та	2	2
299	но мы	2	2
300	и она	2	2
301	один из	2	2
302	отца и	1	2
303	у шекспира	1	2
304	ли он	2	2
305	почти все	3	2
306	верно и	1	2
307	построения и	1	2
308	связи с	6	2
309	не все	1	2
310	себе автор	1	2
311	его и	1	2
312	мы знаем	1	2
313	одно из	2	2
314	этой пьесе	1	2
315	видим что	2	2
316	именно в	3	2
317	стороны он	1	2
318	несколько дней	1	2
319	прежде всего	10	2
320	одна и	1	2
321	ни на	1	2
322	до этого	1	2
323	и потому	1	2
324	над ним	1	2
325	по существу	3	2
326	для понимания	1	2
327	который он	1	2
328	он начинает	1	2
329	в это	1	2
330	и формы	1	2
331	она дает	2	2
332	стоит только	1	2
333	видят в	1	2
334	на одной	1	2
335	со всей	1	2
336	на самой	1	2
337	и от	4	2
338	его не	4	2
339	ее и	1	2
340	хотя бы	2	2
341	все они	4	2
342	слово в	1	2
343	и эта	1	2
344	этой цели	1	2
345	с жизнью	1	1
346	связана с	1	1
347	того же	3	1
348	не остается	1	1
349	на другой	1	1
350	в средние	2	1
351	тем же	1	1
352	из самых	1	1
353	не хочет	2	1
354	не имеют	1	1
355	в какой-то	1	1
356	случае нельзя	1	1
357	в несколько	1	1
