N	4gram	Vinokur_St_2	KulturaY
1	в той мере в	2	5
2	той мере в какой	2	5
3	в том что он	2	3
4	то обстоятельство что в	1	2
5	обратить внимание на то	1	2
6	заключается в том что	1	2
7	в то же время	1	2
8	одно и то же	1	1
9	для того чтобы можно	1	1
10	в начале xix века	1	1
11	в этом отношении между	1	1
12	следует обратить внимание на	1	1
13	поскольку речь идет о	1	1
14	точно так же как	1	1
15	о том что он	3	1
16	свидетельствуют о том что	1	1
17	именно в той мере	1	1
18	не подлежит однако сомнению	1	1
19	и вместе с тем	1	1
20	подлежит однако сомнению что	1	1
21	в том-то и дело	1	1
22	не в том что	1	1
23	в том что она	1	1
24	так что в ней	1	1
25	но уже без кавычек	1	1
26	совсем не в том	1	1
27	в том смысле что	1	1
28	того чтобы можно было	1	1
29	чтобы сделать свою мысль	1	1
30	не сказал бы что	1	1
