N	3gram	Losev_Dial_3	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	14	6
3	во всяком случае	2	6
4	более или менее	1	5
5	до сих пор	1	5
6	по крайней мере	5	5
7	о том что	5	4
8	к тому же	2	4
9	так или иначе	2	3
10	а так как	1	3
11	точно так же	2	3
12	так же как	2	3
13	в связи с	1	3
14	и таким образом	1	3
15	тем не менее	10	3
16	в том что	3	3
17	то ясно что	3	2
18	то же самое	1	2
19	друг на друга	1	2
20	в этом отношении	1	2
21	с тех пор	2	2
22	с этой точки	2	2
23	то ни было	1	2
24	бы то ни	1	2
25	так и от	1	2
26	должны признать что	1	2
27	то же время	1	2
28	этой точки зрения	2	2
29	той или иной	2	2
30	на то что	3	2
31	в то же	1	2
32	и в этом	2	2
33	и есть то	1	1
34	таком случае эта	1	1
35	о мире как	1	1
36	есть не более	1	1
37	ничем не отличаются	1	1
38	в силу этого	2	1
39	пор как этот	1	1
40	иметь в виду	2	1
41	точки зрения подлинной	1	1
42	чем именно заключается	1	1
43	имеем в виду	1	1
44	в самом деле	5	1
45	то в силу	1	1
46	крайней мере в	3	1
47	а потому что	1	1
48	оно превращается в	1	1
49	из двух или	2	1
50	не отличаются от	1	1
51	а следовательно и	1	1
52	одно из таких	1	1
53	в таком случае	10	1
54	и в то	1	1
55	сами по себе	3	1
56	тех пор как	1	1
57	но они не	2	1
58	и ничто не	1	1
59	чтобы она была	2	1
60	до самого основания	1	1
61	в данном случае	1	1
62	тот факт что	1	1
63	что он существует	1	1
64	одно из двух	2	1
65	или по крайней	1	1
66	потому что в	1	1
67	не в том	1	1
68	не имеет никакого	1	1
69	с другой стороны	2	1
70	речь идет о	1	1
71	что учение о	2	1
72	не может быть	6	1
73	к чему не	1	1
74	в то время	4	1
75	и что она	2	1
76	это и есть	2	1
77	из себя не	1	1
78	ни к чему	1	1
79	в одном из	1	1
80	и живых существ	1	1
81	и никогда не	1	1
82	не только не	7	1
83	в чем именно	1	1
84	да и сами	1	1
85	только он один	2	1
86	что это есть	2	1
87	не более как	1	1
88	мы имеем в	1	1
89	том что все	1	1
90	отдельных единиц в	1	1
91	это есть продукт	1	1
92	самом деле если	1	1
93	и что он	1	1
94	как на нечто	1	1
95	в себе не	1	1
96	что и в	1	1
97	только тогда когда	3	1
