N	4gram	Losev_Prob_2	DiskursI
1	в том что в	1	2
2	с одной стороны и	3	2
3	в том числе и	2	2
4	не говоря уже о	4	2
5	и не может быть	1	1
6	с самого начала мы	1	1
7	только в том случае	2	1
8	подобно тому как мы	1	1
9	в том или ином	1	1
10	которые лежат в основе	1	1
11	в том случае если	1	1
12	с одной стороны это	1	1
13	заключается в том что	2	1
14	ни о чем не	1	1
15	свидетельствует о том что	1	1
16	одним и тем же	1	1
17	внимание на то что	1	1
18	и в то же	1	1
19	но в таком случае	3	1
20	в том что всякое	1	1
