N	3gram	Vygotskiy__4	Narrotol
1	в том что	31	8
2	в данном случае	2	6
3	не только в	1	6
4	по отношению к	1	5
5	в отличие от	2	5
6	с одной стороны	9	5
7	состоит в том	3	4
8	о том что	3	4
9	к тому же	1	4
10	тем не менее	1	4
11	в этом отношении	7	3
12	можно сказать что	1	3
13	к тому что	1	3
14	по своей природе	1	2
15	с точки зрения	11	2
16	мы имеем дело	1	2
17	мы узнаем что	1	2
18	на самом деле	1	2
19	подобно тому как	2	2
20	именно то что	2	2
21	но и в	2	2
22	у нас нет	1	2
23	точно так же	3	2
24	имеем дело с	1	2
25	так же как	5	2
26	и тем самым	4	2
27	не только не	5	2
28	не может быть	1	2
29	как бы в	1	2
30	таким образом что	4	1
31	и того же	5	1
32	в том виде	2	1
33	на том что	1	1
34	что иное как	1	1
35	не может не	2	1
36	сомневаться в том	1	1
37	одной стороны и	2	1
38	в обоих случаях	3	1
39	узнаем что в	1	1
40	нас нет никаких	1	1
41	смысле как мы	1	1
42	одним и тем	3	1
43	мыслит его как	1	1
44	как бы не	1	1
45	в самом деле	6	1
46	в этом смысле	8	1
47	то же самое	7	1
48	по сравнению с	3	1
49	в зависимости от	1	1
50	не входит в	1	1
51	вступает в противоречие	1	1
52	что все эти	1	1
53	и т.п но	1	1
54	вместо того чтобы	1	1
55	к тому или	2	1
56	что с точки	1	1
57	виде в каком	1	1
58	можно было бы	5	1
59	фаза в развитии	1	1
60	а с другой	2	1
61	и здесь мы	1	1
62	том смысле как	1	1
63	до сих пор	1	1
64	неизмеримо более сложного	1	1
65	то время как	1	1
66	здесь мы имеем	1	1
67	в противоречие с	2	1
68	далеко не всегда	1	1
69	и тем же	3	1
70	тому или иному	2	1
71	по своему происхождению	1	1
72	в интересующей нас	1	1
73	а также и	1	1
74	в связи с	3	1
75	не только к	1	1
76	и что в	2	1
77	означает что в	1	1
78	нет никаких оснований	1	1
79	во всяком случае	3	1
80	этой точки зрения	4	1
81	том виде в	1	1
82	отнюдь не означает	1	1
83	едва ли не	1	1
84	имеет место в	1	1
85	только в качестве	1	1
86	в то время	1	1
87	с этой точки	4	1
88	никогда не бывает	2	1
89	одного и того	5	1
90	в том смысле	2	1
91	проявляет себя в	1	1
92	не что иное	1	1
93	но и что	1	1
94	для того чтобы	5	1
95	и для другого	1	1
96	но и к	1	1
