N	3gram	Medvedev_F_3	Sovremen
1	мы не можем	2	6
2	с точки зрения	14	5
3	в зависимости от	5	4
4	не может быть	14	4
5	мы видели что	2	3
6	с самого начала	1	3
7	тем не менее	2	2
8	друг с другом	1	2
9	во всяком случае	6	2
10	в отличие от	2	2
11	так как он	1	2
12	в настоящее время	1	2
13	то же самое	3	2
14	времени не может	1	1
15	можно говорить об	1	1
16	если мы оторвем	1	1
17	и не было	1	1
18	уже знаем что	2	1
19	она в такой	1	1
20	роль в пьесе	1	1
21	он отвлекается от	1	1
22	в такой же	1	1
23	через известный промежуток	1	1
24	не в том	1	1
25	одни и те	3	1
26	в связи с	4	1
27	ровно ничего не	2	1
28	все более и	1	1
29	какой бы то	1	1
30	дело в том	2	1
31	по отношению к	3	1
32	равно как и	2	1
33	первый период развития	1	1
34	на самом деле	12	1
35	в этом смысле	2	1
36	и той же	1	1
37	так же как	1	1
38	не вытекает из	1	1
39	а не только	1	1
40	в этом случае	1	1
41	один и тот	1	1
42	в жизненной практике	1	1
43	и все же	1	1
44	совершенно независимо от	1	1
45	до сих пор	1	1
46	равны между собой	1	1
47	то же время	7	1
48	тот или иной	1	1
49	они не могут	1	1
50	раз и навсегда	3	1
51	и в то	2	1
52	сами по себе	2	1
53	друг на друга	1	1
54	может иметь место	1	1
55	ни одного из	1	1
56	бы то ни	4	1
57	мы без труда	2	1
58	таким образом все	1	1
59	но отнюдь не	1	1
60	и те же	3	1
61	более и более	1	1
62	между собой но	1	1
63	можно было бы	1	1
64	и не может	4	1
65	в самом деле	4	1
66	той или иной	1	1
67	но все же	1	1
68	одна из них	1	1
69	в первый период	1	1
70	сводится только к	1	1
71	но уже в	2	1
72	может быть только	2	1
73	в то же	7	1
74	лишь там где	1	1
75	одной и той	1	1
76	его в ту	1	1
77	самом деле все	1	1
78	известный промежуток времени	1	1
79	мы уже знаем	2	1
80	в том что	3	1
81	в данном случае	4	1
82	она не может	1	1
83	без труда узнаем	1	1
84	то ни было	4	1
85	в предыдущей главе	1	1
86	ясно что при	1	1
87	с одной стороны	1	1
88	тот факт что	1	1
89	и тот же	1	1
