N	3gram	Tiupa_Disk_2	Myslijsy
1	в том что	6	16
2	и то же	2	5
3	по отношению к	4	5
4	заключает в себе	2	5
5	по крайней мере	1	5
6	одно и то	2	5
7	не в том	1	5
8	то же время	5	5
9	в то же	4	5
10	с другой стороны	1	4
11	с одной стороны	4	3
12	тем не менее	1	3
13	не может быть	3	3
14	и может быть	2	2
15	подобно тому как	2	2
16	в этом отношении	4	2
17	не могут быть	1	2
18	и той же	1	2
19	так и в	3	2
20	как и в	5	2
21	можно сказать что	1	2
22	одной и той	1	2
23	упускать из виду	1	2
24	в себе не	1	2
25	одной стороны и	2	1
26	в чем не	1	1
27	в свое время	2	1
28	и столь же	1	1
29	отношению к субъекту	1	1
30	потому что в	1	1
31	равно как и	1	1
32	не говоря уже	1	1
33	в себе самом	1	1
34	то есть по	1	1
35	в самом деле	1	1
36	же время и	1	1
37	заключающие в себе	1	1
38	и там где	1	1
39	говоря уже о	1	1
40	того и другого	1	1
41	на каждом шагу	1	1
42	и то что	2	1
43	в целом и	1	1
44	и не дает	1	1
45	в общих чертах	1	1
46	в данном случае	6	1
47	из виду что	1	1
48	или по крайней	1	1
49	а не как	1	1
50	лично для себя	1	1
51	так и на	2	1
52	может быть названо	1	1
53	приходит в голову	1	1
54	только то что	1	1
55	о том что	3	1
56	прежде всего он	1	1
57	но и от	1	1
58	друг от друга	1	1
59	только это в	1	1
60	легко может быть	2	1
61	не только от	1	1
62	все то что	1	1
63	здесь как и	1	1
64	на первый взгляд	2	1
65	том что и	1	1
66	слово стремится к	1	1
