N	2gram	Nazirov_Tv_1	Myshleni
1	и в	21	28
2	в том	7	28
3	то что	8	28
4	в этом	6	27
5	того что	3	24
6	потому что	5	22
7	том что	11	19
8	не может	4	19
9	таким образом	5	18
10	что он	6	18
11	только в	5	18
12	что в	12	17
13	не только	7	16
14	так же	3	15
15	к объекту	1	14
16	может быть	5	13
17	с помощью	1	13
18	сказать что	2	13
19	в сфере	1	12
20	в школе	1	12
21	тому что	1	11
22	и не	7	11
23	как бы	17	11
24	но не	3	10
25	по отношению	1	10
26	отношений между	2	10
27	в отношении	1	10
28	к тому	2	10
29	так как	3	10
30	но и	3	10
31	отношению к	1	10
32	было бы	1	9
33	в процессе	1	9
34	между собой	1	9
35	в самом	3	8
36	тем самым	7	8
37	никогда не	3	8
38	тем что	1	8
39	еще не	1	8
40	как известно	1	7
41	того же	2	7
42	то же	13	7
43	в сущности	1	7
44	в своем	4	7
45	в которой	3	7
46	с самого	3	7
47	он не	8	7
48	в нем	3	7
49	заключается в	1	7
50	показывает что	1	7
51	самого начала	3	7
52	и других	3	7
53	мышления и	1	7
54	вместе с	2	7
55	что оно	1	7
56	же как	1	6
57	в чем	2	6
58	и как	4	6
59	и к	1	6
60	как и	12	6
61	для него	6	6
62	к предмету	1	6
63	не имеет	1	6
64	и отношений	2	6
65	же самое	1	6
66	с развитием	1	6
67	приводит к	2	6
68	так и	2	6
69	и что	1	6
70	можно сказать	2	6
71	его в	1	6
72	так что	2	6
73	как раз	1	6
74	развития в	1	6
75	в области	1	6
76	в то	15	6
77	том же	1	5
78	время как	1	5
79	частный случай	1	5
80	и на	7	5
81	но в	7	5
82	то в	2	5
83	умственного развития	1	5
84	в этой	5	5
85	что все	3	5
86	на этой	1	5
87	и тем	2	5
88	с тем	1	5
89	один раз	1	5
90	не могут	1	5
91	могут быть	2	5
92	это не	4	5
93	сверху вниз	1	5
94	и все	6	5
95	и развитие	1	4
96	переход от	1	4
97	в первом	2	4
98	той же	3	4
99	мы имеем	1	4
100	я не	3	4
101	во всех	1	4
102	в одной	2	4
103	с этим	1	4
104	в мысли	1	4
105	целый ряд	1	4
106	в себе	2	4
107	своем развитии	1	4
108	на этом	1	4
109	показал что	1	4
110	родной язык	1	4
111	и того	2	4
112	одного и	1	4
113	но если	3	4
114	от одной	1	4
115	не в	2	4
116	что на	1	4
117	оно не	1	4
118	как по	1	4
119	связь между	1	4
