N	3gram	Medvedev_F_1	UchenyiS
1	не может быть	5	4
2	с другой стороны	1	3
3	то же время	8	3
4	бы то ни	3	3
5	в то же	8	3
6	то ни было	1	3
7	но даже и	1	2
8	в этом смысле	1	2
9	до сих пор	6	2
10	хотя бы и	1	2
11	в этом отношении	1	2
12	в художественном произведении	2	2
13	в том что	1	2
14	в противном случае	1	2
15	и в частности	2	2
16	тех или иных	1	2
17	и истории литературы	2	1
18	художественное произведение как	2	1
19	мы полагаем что	2	1
20	в своей работе	2	1
21	так или иначе	1	1
22	и в их	2	1
23	формальным методом и	1	1
24	более или менее	6	1
25	метода в россии	2	1
26	в точном смысле	1	1
27	в современном европейском	1	1
28	органического единства и	1	1
29	в широком смысле	1	1
30	искусства в его	1	1
31	не может пройти	1	1
32	этом смысле можно	1	1
33	может пройти мимо	1	1
34	и в то	1	1
35	таком понимании форма	1	1
36	от произведения искусства	1	1
37	в той же	1	1
38	же время не	1	1
39	поэтика должна быть	2	1
40	общих принципов и	1	1
41	в процессе художественного	1	1
42	точном смысле этого	1	1
43	самое ее существование	1	1
44	при таком понимании	2	1
45	то что было	1	1
46	это в совокупности	1	1
47	формального метода в	4	1
48	как на элемент	1	1
49	содержания в искусстве	1	1
50	все это в	1	1
51	формального метода не	1	1
52	не связанных и	1	1
53	в данном случае	1	1
54	произведения искусства как	1	1
55	но в то	2	1
56	с одной стороны	4	1
57	в отдельности и	1	1
