1	в то же время	3	5
2	с одной стороны и	2	3
3	заключается в том что	1	2
4	одного и того же	2	2
5	состоит в том что	1	2
6	дело в том что	1	2
7	в соответствии с правилами	1	1
8	в том или ином	1	1
9	с данной точки зрения	1	1
10	в том что в	2	1
11	в большей или меньшей	1	1
12	одно и то же	1	1
13	в том что с	1	1
14	только в том что	1	1
15	в том что не	1	1
16	это как будто бы	1	1
17	не только в том	1	1
18	не говоря уже о	2	1
19	в принципе не может	1	1
20	в тех или иных	1	1
21	большей или меньшей степени	1	1
22	тех или иных отношениях	1	1
23	мы имеем дело с	1	1
